goos: darwin
goarch: amd64
pkg: github.com/pingcap/tidb/expression
BenchmarkVectorizedBuiltinArithmeticFunc
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  429408	      2724 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  435884	      2719 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  429872	      2724 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  437107	      2715 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  435128	      2707 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  432346	      2797 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  431368	      2711 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  432486	      2700 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  440449	      2720 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  398692	      2710 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  440551	      2742 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  429998	      2716 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  439182	      2709 ns/op	       0 B/op	       0 allocs/op
BenchmarkVectorizedBuiltinArithmeticFunc/builtinArithmeticPlusIntSig-VecBuiltinFunc-8       	  438178	      2725 ns/op	       0 B/op	       0 allocs/op
