ID,CalculatedPriority,TableSize,Changes,TimeSinceLastAnalyze,ChangeRatio
60,2.0994,1000,3000,259200,3.0000
56,2.0730,1000,3000,172800,3.0000
120,2.0295,5000,15000,259200,3.0000
52,2.0280,1000,3000,86400,3.0000
116,2.0032,5000,15000,172800,3.0000
180,1.9994,10000,30000,259200,3.0000
48,1.9830,1000,3000,43200,3.0000
176,1.9731,10000,30000,172800,3.0000
112,1.9582,5000,15000,86400,3.0000
44,1.9568,1000,3000,28800,3.0000
240,1.9295,50000,150000,259200,3.0000
172,1.9281,10000,30000,86400,3.0000
59,1.9196,1000,1500,259200,1.5000
108,1.9132,5000,15000,43200,3.0000
40,1.9119,1000,3000,14400,3.0000
236,1.9032,50000,150000,172800,3.0000
303,1.8994,100000,300000,259200,3.0000
55,1.8933,1000,1500,172800,1.5000
104,1.8869,5000,15000,28800,3.0000
168,1.8831,10000,30000,43200,3.0000
299,1.8731,100000,300000,172800,3.0000
36,1.8672,1000,3000,7200,3.0000
232,1.8582,50000,150000,86400,3.0000
164,1.8568,10000,30000,28800,3.0000
119,1.8498,5000,7500,259200,1.5000
51,1.8483,1000,1500,86400,1.5000
100,1.8421,5000,15000,14400,3.0000
367,1.8295,500000,1500000,259200,3.0000
295,1.8281,100000,300000,86400,3.0000
115,1.8234,5000,7500,172800,1.5000
32,1.8227,1000,3000,3600,3.0000
179,1.8197,10000,15000,259200,1.5000
228,1.8132,50000,150000,43200,3.0000
160,1.8120,10000,30000,14400,3.0000
47,1.8033,1000,1500,43200,1.5000
363,1.8032,500000,1500000,172800,3.0000
431,1.7994,1000000,3000000,259200,3.0000
96,1.7974,5000,15000,7200,3.0000
175,1.7933,10000,15000,172800,1.5000
224,1.7869,50000,150000,28800,3.0000
291,1.7831,100000,300000,43200,3.0000
111,1.7784,5000,7500,86400,1.5000
43,1.7770,1000,1500,28800,1.5000
427,1.7731,1000000,3000000,172800,3.0000
156,1.7673,10000,30000,7200,3.0000
359,1.7582,500000,1500000,86400,3.0000
287,1.7568,100000,300000,28800,3.0000
92,1.7528,5000,15000,3600,3.0000
239,1.7498,50000,75000,259200,1.5000
171,1.7483,10000,15000,86400,1.5000
220,1.7421,50000,150000,14400,3.0000
107,1.7334,5000,7500,43200,1.5000
39,1.7322,1000,1500,14400,1.5000
495,1.7295,5000000,15000000,259200,3.0000
423,1.7281,1000000,3000000,86400,3.0000
235,1.7234,50000,75000,172800,1.5000
152,1.7227,10000,30000,3600,3.0000
302,1.7197,100000,150000,259200,1.5000
355,1.7132,500000,1500000,43200,3.0000
283,1.7120,100000,300000,14400,3.0000
103,1.7072,5000,7500,28800,1.5000
24,1.7071,1000,2700,900,2.7000
167,1.7033,10000,15000,43200,1.5000
491,1.7032,5000000,15000000,172800,3.0000
560,1.6994,10000000,30000000,259200,3.0000
216,1.6974,50000,150000,7200,3.0000
298,1.6933,100000,150000,172800,1.5000
35,1.6875,1000,1500,7200,1.5000
351,1.6869,500000,1500000,28800,3.0000
58,1.6835,1000,600,259200,0.6000
419,1.6831,1000000,3000000,43200,3.0000
231,1.6784,50000,75000,86400,1.5000
163,1.6771,10000,15000,28800,1.5000
556,1.6731,10000000,30000000,172800,3.0000
99,1.6623,5000,7500,14400,1.5000
487,1.6582,5000000,15000000,86400,3.0000
54,1.6571,1000,600,172800,0.6000
415,1.6568,1000000,3000000,28800,3.0000
212,1.6528,50000,150000,3600,3.0000
366,1.6498,500000,750000,259200,1.5000
294,1.6483,100000,150000,86400,1.5000
28,1.6459,1000,1800,1800,1.8000
31,1.6429,1000,1500,3600,1.5000
347,1.6421,500000,1500000,14400,3.0000
84,1.6373,5000,13500,900,2.7000
227,1.6334,50000,75000,43200,1.5000
159,1.6322,10000,15000,14400,1.5000
625,1.6295,50000000,150000000,259200,3.0000
552,1.6281,10000000,30000000,86400,3.0000
362,1.6234,500000,750000,172800,1.5000
430,1.6197,1000000,1500000,259200,1.5000
95,1.6176,5000,7500,7200,1.5000
118,1.6136,5000,3000,259200,0.6000
483,1.6132,5000000,15000000,43200,3.0000
50,1.6121,1000,600,86400,0.6000
411,1.6120,1000000,3000000,14400,3.0000
144,1.6072,10000,27000,900,2.7000
223,1.6072,50000,75000,28800,1.5000
290,1.6033,100000,150000,43200,1.5000
621,1.6032,50000000,150000000,172800,3.0000
23,1.6020,1000,1800,900,1.8000
690,1.5994,100000000,300000000,259200,3.0000
279,1.5946,100000,226785,7200,2.2679
426,1.5933,1000000,1500000,172800,1.5000
155,1.5875,10000,15000,7200,1.5000
114,1.5872,5000,3000,172800,0.6000
479,1.5869,5000000,15000000,28800,3.0000
178,1.5835,10000,6000,259200,0.6000
548,1.5831,10000000,30000000,43200,3.0000
358,1.5784,500000,750000,86400,1.5000
286,1.5771,100000,150000,28800,1.5000
88,1.5760,5000,9000,1800,1.8000
686,1.5731,100000000,300000000,172800,3.0000
91,1.5731,5000,7500,3600,1.5000
46,1.5671,1000,600,43200,0.6000
219,1.5623,50000,75000,14400,1.5000
617,1.5582,50000000,150000000,86400,3.0000
174,1.5571,10000,6000,172800,0.6000
544,1.5568,10000000,30000000,28800,3.0000
275,1.5501,100000,226784,3600,2.2678
494,1.5498,5000000,7500000,259200,1.5000
422,1.5483,1000000,1500000,86400,1.5000
148,1.5459,10000,18000,1800,1.8000
339,1.5435,500000,1447236,3600,2.8945
151,1.5430,10000,15000,3600,1.5000
110,1.5422,5000,3000,86400,0.6000
475,1.5421,5000000,15000000,14400,3.0000
42,1.5408,1000,600,28800,0.6000
204,1.5373,50000,135000,900,2.7000
354,1.5334,500000,750000,43200,1.5000
282,1.5322,100000,150000,14400,1.5000
83,1.5321,5000,9000,900,1.8000
682,1.5281,100000000,300000000,86400,3.0000
490,1.5234,5000000,7500000,172800,1.5000
559,1.5197,10000000,15000000,259200,1.5000
215,1.5176,50000,75000,7200,1.5000
238,1.5136,50000,30000,259200,0.6000
613,1.5132,50000000,150000000,43200,3.0000
170,1.5121,10000,6000,86400,0.6000
350,1.5072,500000,750000,28800,1.5000
57,1.5071,1000,300,259200,0.3000
418,1.5033,1000000,1500000,43200,1.5000
143,1.5020,10000,18000,900,1.8000
540,1.4993,10000000,28573218,14400,2.8573
106,1.4972,5000,3000,43200,0.6000
38,1.4960,1000,600,14400,0.6000
403,1.4954,1000000,2700000,3600,2.7000
555,1.4933,10000000,15000000,172800,1.5000
234,1.4872,50000,30000,172800,0.6000
609,1.4869,50000000,150000000,28800,3.0000
301,1.4835,100000,60000,259200,0.6000
678,1.4831,100000000,300000000,43200,3.0000
343,1.4829,500000,964825,7200,1.9297
53,1.4807,1000,300,172800,0.3000
486,1.4784,5000000,7500000,86400,1.5000
414,1.4771,1000000,1500000,28800,1.5000
208,1.4760,50000,90000,1800,1.8000
211,1.4731,50000,75000,3600,1.5000
102,1.4710,5000,3000,28800,0.6000
166,1.4671,10000,6000,43200,0.6000
27,1.4667,1000,900,1800,0.9000
346,1.4623,500000,750000,14400,1.5000
297,1.4571,100000,60000,172800,0.6000
674,1.4568,100000000,300000000,28800,3.0000
536,1.4546,10000000,28573218,7200,2.8573
34,1.4513,1000,600,7200,0.6000
624,1.4498,50000000,75000000,259200,1.5000
551,1.4483,10000000,15000000,86400,1.5000
230,1.4422,50000,30000,86400,0.6000
162,1.4409,10000,6000,28800,0.6000
338,1.4383,500000,964824,3600,1.9296
117,1.4372,5000,1500,259200,0.3000
49,1.4357,1000,300,86400,0.3000
407,1.4347,1000000,1800000,7200,1.8000
482,1.4334,5000000,7500000,43200,1.5000
410,1.4322,1000000,1500000,14400,1.5000
203,1.4321,50000,90000,900,1.8000
270,1.4313,100000,170088,1800,1.7009
98,1.4261,5000,3000,14400,0.6000
620,1.4234,50000000,75000000,172800,1.5000
22,1.4228,1000,900,900,0.9000
689,1.4197,100000000,150000000,259200,1.5000
278,1.4152,100000,113392,7200,1.1339
365,1.4136,500000,300000,259200,0.6000
293,1.4121,100000,60000,86400,0.6000
113,1.4109,5000,1500,172800,0.3000
478,1.4072,5000000,7500000,28800,1.5000
177,1.4071,10000,3000,259200,0.3000
30,1.4068,1000,600,3600,0.6000
547,1.4033,10000000,15000000,43200,1.5000
226,1.3972,50000,30000,43200,0.6000
87,1.3968,5000,4500,1800,0.9000
158,1.3960,10000,6000,14400,0.6000
685,1.3933,100000000,150000000,172800,1.5000
45,1.3907,1000,300,43200,0.3000
402,1.3902,1000000,1800000,3600,1.8000
605,1.3875,50000000,121560420,14400,2.4312
361,1.3872,500000,300000,172800,0.6000
467,1.3836,5000000,11486739,3600,2.2973
429,1.3835,1000000,600000,259200,0.6000
94,1.3814,5000,3000,7200,0.6000
173,1.3808,10000,3000,172800,0.3000
616,1.3784,50000000,75000000,86400,1.5000
543,1.3771,10000000,15000000,28800,1.5000
222,1.3710,50000,30000,28800,0.6000
274,1.3706,100000,113392,3600,1.1339
289,1.3671,100000,60000,43200,0.6000
147,1.3667,10000,9000,1800,0.9000
109,1.3658,5000,1500,86400,0.3000
41,1.3644,1000,300,28800,0.3000
474,1.3623,5000000,7500000,14400,1.5000
425,1.3571,1000000,600000,172800,0.6000
18,1.3543,1000,900,300,0.9000
82,1.3529,5000,4500,900,0.9000
154,1.3513,10000,6000,7200,0.6000
681,1.3483,100000000,150000000,86400,1.5000
601,1.3428,50000000,121560420,7200,2.4312
357,1.3422,500000,300000,86400,0.6000
285,1.3409,100000,60000,28800,0.6000
670,1.3394,100000000,226785788,14400,2.2679
237,1.3372,50000,15000,259200,0.3000
90,1.3369,5000,3000,3600,0.6000
169,1.3357,10000,3000,86400,0.3000
531,1.3354,10000000,21429912,3600,2.1430
612,1.3334,50000000,75000000,43200,1.5000
269,1.3264,100000,113392,1800,1.1339
218,1.3261,50000,30000,14400,0.6000
471,1.3230,5000000,7657826,7200,1.5316
142,1.3228,10000,9000,900,0.9000
105,1.3209,5000,1500,43200,0.3000
539,1.3196,10000000,14286609,14400,1.4287
37,1.3196,1000,300,14400,0.3000
333,1.3195,500000,723618,1800,1.4472
493,1.3136,5000000,3000000,259200,0.6000
421,1.3121,1000000,600000,86400,0.6000
233,1.3109,50000,15000,172800,0.3000
608,1.3072,50000000,75000000,28800,1.5000
300,1.3071,100000,30000,259200,0.3000
150,1.3068,10000,6000,3600,0.6000
342,1.3036,500000,482412,7200,0.9648
677,1.3033,100000000,150000000,43200,1.5000
353,1.2972,500000,300000,43200,0.6000
207,1.2969,50000,45000,1800,0.9000
281,1.2960,100000,60000,14400,0.6000
666,1.2946,100000000,226785788,7200,2.2679
101,1.2946,5000,1500,28800,0.3000
165,1.2908,10000,3000,43200,0.3000
489,1.2872,5000000,3000000,172800,0.6000
78,1.2844,5000,4500,300,0.9000
558,1.2835,10000000,6000000,259200,0.6000
214,1.2814,50000,30000,7200,0.6000
296,1.2808,100000,30000,172800,0.3000
466,1.2785,5000000,7657826,3600,1.5316
673,1.2771,100000000,150000000,28800,1.5000
535,1.2749,10000000,14286609,7200,1.4287
33,1.2749,1000,300,7200,0.3000
397,1.2714,1000000,1350000,1800,1.3500
349,1.2710,500000,300000,28800,0.6000
417,1.2671,1000000,600000,43200,0.6000
229,1.2658,50000,15000,86400,0.3000
161,1.2645,10000,3000,28800,0.3000
337,1.2591,500000,482412,3600,0.9648
554,1.2571,10000000,6000000,172800,0.6000
406,1.2556,1000000,900000,7200,0.9000
138,1.2543,10000,9000,300,0.9000
202,1.2529,50000,45000,900,0.9000
17,1.2500,1000,600,300,0.6000
97,1.2497,5000,1500,14400,0.3000
21,1.2450,1000,450,900,0.4500
485,1.2422,5000000,3000000,86400,0.6000
413,1.2409,1000000,600000,28800,0.6000
364,1.2372,500000,150000,259200,0.3000
210,1.2369,50000,30000,3600,0.6000
292,1.2357,100000,30000,86400,0.3000
26,1.2322,1000,360,1800,0.3600
530,1.2304,10000000,14286608,3600,1.4287
29,1.2304,1000,300,3600,0.3000
345,1.2261,500000,300000,14400,0.6000
596,1.2237,50000000,91170315,3600,1.8234
225,1.2209,50000,15000,43200,0.3000
157,1.2196,10000,3000,14400,0.3000
332,1.2148,500000,482412,1800,0.9648
623,1.2136,50000000,30000000,259200,0.6000
550,1.2121,10000000,6000000,86400,0.6000
401,1.2110,1000000,900000,3600,0.9000
360,1.2109,500000,150000,172800,0.3000
264,1.2082,100000,85044,900,0.8504
604,1.2079,50000000,60780210,14400,1.2156
428,1.2071,1000000,300000,259200,0.3000
93,1.2050,5000,1500,7200,0.3000
481,1.1972,5000000,3000000,43200,0.6000
409,1.1960,1000000,600000,14400,0.6000
221,1.1946,50000,15000,28800,0.3000
273,1.1923,100000,56696,3600,0.5670
288,1.1908,100000,30000,43200,0.3000
619,1.1872,50000000,30000000,172800,0.6000
198,1.1844,50000,45000,300,0.9000
688,1.1835,100000000,60000000,259200,0.6000
424,1.1808,1000000,300000,172800,0.3000
77,1.1802,5000,3000,300,0.6000
277,1.1798,100000,45357,7200,0.4536
661,1.1755,100000000,170089341,3600,1.7009
81,1.1752,5000,2250,900,0.4500
153,1.1749,10000,3000,7200,0.3000
477,1.1710,5000000,3000000,28800,0.6000
546,1.1671,10000000,6000000,43200,0.6000
396,1.1668,1000000,900000,1800,0.9000
356,1.1658,500000,150000,86400,0.3000
284,1.1645,100000,30000,28800,0.3000
600,1.1632,50000000,60780210,7200,1.2156
86,1.1623,5000,1800,1800,0.3600
89,1.1605,5000,1500,3600,0.3000
669,1.1599,100000000,113392894,14400,1.1339
461,1.1598,5000000,5743368,1800,1.1487
684,1.1571,100000000,60000000,172800,0.6000
137,1.1501,10000,6000,300,0.6000
217,1.1498,50000,15000,14400,0.3000
268,1.1480,100000,56696,1800,0.5670
141,1.1451,10000,4500,900,0.4500
470,1.1441,5000000,3828913,7200,0.7658
615,1.1422,50000000,30000000,86400,0.6000
542,1.1409,10000000,6000000,28800,0.6000
