# lockdown-inventory-v1
# owning-go-source	pkg/sessionctx/vardef/runtime.go
# source-sha256	77d37b0f27ee7eef86e81368ceff99fdf9d8297c0672946faa7813deeb63d95a
# owning-go-test	pkg/sessionctx/vardef/runtime_test.go
# test-sha256	a9530339c5d9bbb741e978ca8dc029868832f36aa9dedb68de9a69f774141f20
# package-claim	Partial file LOCKDOWN only; pkg/sessionctx/vardef is not claimed complete
id	category	go_item	status	rust_symbol	evidence
D01	declaration	schemaLease process-global int64	DECLINED	-	declined_lease_runtime_seams_are_explicit: Rust owns schema lease in tidb-server NodeConfig and passes it explicitly
D02	declaration	statsLease process-global int64	DECLINED	-	declined_lease_runtime_seams_are_explicit: Rust has no periodic stats-table reload worker consuming this global
D03	declaration	planReplayerGCLease process-global int64	DECLINED	-	declined_lease_runtime_seams_are_explicit: Rust has no plan-replayer GC worker consuming this global
R01	rule	schemaLease defaults to one second	DECLINED	-	Go oracle printed schema=1000000000; Rust NodeConfig independently defaults its schema lease and has no vardef global
R02	rule	statsLease defaults to three seconds	DECLINED	-	Go oracle printed stats=3000000000; Rust has no corresponding reload worker
R03	rule	planReplayerGCLease defaults to ten minutes	DECLINED	-	Go oracle printed plan_replayer_gc=600000000000; Rust has no corresponding GC worker
F01	function	SetSchemaLease(lease time.Duration)	DECLINED	-	Go call-site scan found server/session/domain mutation; Rust passes immutable per-node config instead of mutating a process global
R04	rule	SetSchemaLease atomically stores every int64 duration bit pattern	DECLINED	-	Go oracle round-tripped -1 zero one MinInt64 and MaxInt64; Rust has no vardef global
F02	function	GetSchemaLease() time.Duration	DECLINED	-	Go call-site scan found session/domain reads; Rust consumers read NodeConfig schema_lease
R05	rule	GetSchemaLease atomically loads the current int64 duration	DECLINED	-	Go oracle round-tripped every measured boundary; Rust has no vardef global
F03	function	SetStatsLease(lease time.Duration)	DECLINED	-	Go call-site scan found server/test mutation; Rust has no periodic stats-table reload worker
R06	rule	SetStatsLease atomically stores every int64 duration bit pattern	DECLINED	-	Go oracle round-tripped -1 zero one MinInt64 and MaxInt64; Rust has no stats lease consumer
F04	function	GetStatsLease() time.Duration	DECLINED	-	Go call-site scan found session/test reads; Rust has no stats lease consumer
R07	rule	GetStatsLease atomically loads the current int64 duration	DECLINED	-	Go oracle round-tripped every measured boundary; Rust has no stats lease consumer
F05	function	SetPlanReplayerGCLease(lease time.Duration)	DECLINED	-	Go server startup mutates this global; Rust has no plan-replayer GC worker
R08	rule	SetPlanReplayerGCLease atomically stores every int64 duration bit pattern	DECLINED	-	Go oracle round-tripped -1 zero one MinInt64 and MaxInt64; Rust has no plan-replayer GC worker
F06	function	GetPlanReplayerGCLease() time.Duration	DECLINED	-	Go session startup reads this global; Rust has no plan-replayer GC worker
R09	rule	GetPlanReplayerGCLease atomically loads the current int64 duration	DECLINED	-	Go oracle round-tripped every measured boundary; Rust has no plan-replayer GC worker
F07	function	IsReadOnlyVarInNextGen(name string) bool	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
R10	rule	IsReadOnlyVarInNextGen applies Unicode strings.ToLower before matching	PORTED	is_read_only_var_in_nextgen	unicode_lowering_happens_before_exact_membership
B01	branch	lowercased TiDBEnableMDL returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B02	branch	lowercased TiDBMaxDistTaskNodes returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B03	branch	lowercased TiDBDDLReorgMaxWriteSpeed returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B04	branch	lowercased TiDBDDLDiskQuota returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B05	branch	lowercased TiDBEnableDistTask returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B06	branch	lowercased TiDBDDLEnableFastReorg returns true	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
B07	branch	all unmatched lowercased names return false	PORTED	is_read_only_var_in_nextgen	nextgen_readonly_variable_predicate_matches_source
T01	test	TestIsReadOnlyVarInNextGen	PORTED	nextgen_readonly_variable_predicate_matches_source	lockdown_inventory_matches_go_source_test_and_rust_symbols
TB01	test_branch	classic-kernel build skips TestIsReadOnlyVarInNextGen	DECLINED	-	Rust exposes this next-generation leaf without Go build-tag kernel selection; the predicate stays directly testable
TC01	test_case	abc returns false	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC02	test_case	TiDBEnableMDL constant returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC03	test_case	uppercase TIDB_ENABLE_METADATA_LOCK returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC04	test_case	TiDBMaxDistTaskNodes returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC05	test_case	TiDBDDLReorgMaxWriteSpeed returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC06	test_case	TiDBDDLDiskQuota returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC07	test_case	TiDBDDLEnableFastReorg returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
TC08	test_case	TiDBEnableDistTask returns true	PORTED	nextgen_readonly_variable_predicate_matches_source	nextgen_readonly_variable_predicate_matches_source
