# pkg-session-upgrade-def-mutation-results-v1
mutation_id	suite_id	baseline_commit	source_file	source_sha256	variant	command	named_test	exit_code	status	restore_status	old_seed_status
M01	S_SOURCE_DRIFT	a7b1d34893abfb88bcde667fcac460e441623809	pkg/session/upgrade_def.go	4ddb36207bd851d6cbee45f81e32396241065af4f7249ce0b2c0d2781a59d8b5	currentBootstrapVersion version263 to version262	python3 rust/scripts/pkg-session-upgrade-def-lockdown.py --inventory-only	upgrade_def source/test artifact manifest drifted	1	KILLED	PASS	PASS old Rust test exited 0
M02	S_SOURCE_DRIFT	a7b1d34893abfb88bcde667fcac460e441623809	pkg/session/upgrade_def.go	4ddb36207bd851d6cbee45f81e32396241065af4f7249ce0b2c0d2781a59d8b5	registry terminal version263 changed to version262	python3 rust/scripts/pkg-session-upgrade-def-lockdown.py --inventory-only	upgrade_def source/test artifact manifest drifted	1	KILLED	PASS	NOT_RUN
M03	S_DECLARED	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	remove declared version92	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 67 declared length	101	KILLED	PASS	NOT_RUN
M04	S_DECLARED	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	change declared terminal 263 to 264	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 73 declared-only set	101	KILLED	PASS	NOT_RUN
M05	S_REGISTERED	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	remove registered version80	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 28 registry length	101	KILLED	PASS	NOT_RUN
M06	S_REGISTERED	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	register declaration-only version92	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 28 registry length	101	KILLED	PASS	NOT_RUN
M07	S_CURRENT	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	current bootstrap constant 263 to 264	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 32 terminal equality	101	KILLED	PASS	NOT_RUN
M08	S_LOOKUP	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	return a function name for unregistered versions	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 75 invalid lookup	101	KILLED	PASS	NOT_RUN
M09	S_NAME	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	upgradeToVer changed to upgradeToVersion	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 44 function name	101	KILLED	PASS	NOT_RUN
M10	S_VALIDATOR	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	weaken exact validator to ascending terminal only	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 64 missing entry	101	KILLED	PASS	NOT_RUN
M11	S_VALIDATOR	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	validator always true	cargo test -p tidb-exec --test all upgrade_versions_source::upgrade_registry_preserves_order_gaps_and_function_names -- --exact	upgrade_registry_preserves_order_gaps_and_function_names line 56 out-of-order	101	KILLED	PASS	NOT_RUN
M12	S_RECEIPT	a7b1d34893abfb88bcde667fcac460e441623809	rust/crates/tidb-exec/src/upgrade_versions.rs	332ddf78856cdbaf9b422715236296b6021d29899bd285dd39d7b27748e52aab	mutation-plan source_file changed to missing path	python3 rust/scripts/pkg-session-upgrade-def-lockdown.py	mutation plan source is not a repository-relative file	1	KILLED	PASS	NOT_RUN
