# find-best-task-go-lockdown-inventory-v1
# owning-go-source	pkg/planner/core/find_best_task.go
# source-sha256	4f98311980c38ca56f98e21925c45e4a412c1481f61bd33711ca31058eabf25d
# source-bytes	136221
# source-lines	3329
# owning-go-test	pkg/planner/core/find_best_task_test.go
# test-sha256	be9adaa1527557fdb9a7dbac3d270139493b709a6beb15dfac8e4b44401e5612
# test-bytes	6089
# test-lines	171
# production-obligations	1667
# direct-test-support-obligations	61
# explicitly-unclaimed-source	pkg/executor/distsql.go
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence
Odb58eb35885d772c	function	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan	398597d63b8b4dd9c92aee5eb890361b8fcfe06240540dd84dd4e5f25c4beaff	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O8199b6c1e7b71012	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:1/false	25714cb39d40a4f250e3f86068d6bca6e541790a2d47a1997fdb20297410eea7	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Oede25a35ac60ec49	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:1/true	25714cb39d40a4f250e3f86068d6bca6e541790a2d47a1997fdb20297410eea7	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Oa1b7626b48657f74	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:2/false	2ac8ba2a6bee1949b74f63f5cb81841b9fdfc2792944ede39fc78468c19308d2	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O6cd42beee922f70d	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:2/true	2ac8ba2a6bee1949b74f63f5cb81841b9fdfc2792944ede39fc78468c19308d2	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Oc2e941f2cccd39d3	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:3/false	2ec77e48b0c86d2129bbdedc4c62ee60e6dd6b1ec4bfcfda3caa332a2b238e6c	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Oac2a9799fb02dc89	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:3/true	2ec77e48b0c86d2129bbdedc4c62ee60e6dd6b1ec4bfcfda3caa332a2b238e6c	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Oe682cd50a01b9f10	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:4/false	ccbfff61a53835c501fd80d25d68010153bbb5b6fe3196cc888f7e855e0e7fa3	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O85d05d4a90d29277	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:4/true	ccbfff61a53835c501fd80d25d68010153bbb5b6fe3196cc888f7e855e0e7fa3	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O5eac5b8952ff16bc	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:5/false	c8e7cc68296872209abf791e6e8cd64b64ce61ee280ada6450262bfdbc7e1f20	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O50d320a4dc2d37eb	branch	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/if:5/true	c8e7cc68296872209abf791e6e8cd64b64ce61ee280ada6450262bfdbc7e1f20	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O82c9bd47aba02730	short_circuit	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/logical:1:&&/lhs_short_circuits	b8dd4c73cddb8bdbbb06115671d38c668841156f59e94b77bd33d40d95384e3a	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
O35f7ff6147a52801	short_circuit	pkg/planner/core/find_best_task.go	ExhaustPhysicalPlans4MockLogicalPlan/logical:1:&&/rhs_evaluated	b8dd4c73cddb8bdbbb06115671d38c668841156f59e94b77bd33d40d95384e3a	ExhaustPhysicalPlans4MockLogicalPlan	UNREACHABLE	-	U_GO_TEST_MOCK
Obb11b3b1b6fc0fa1	function	pkg/planner/core/find_best_task.go	GroupRangesByCols	722d3700f388cb53d76be3eb9c7a758ee9d7e35a66f86f7f1e66dda6de7e89d7	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O67287e9e9ca34762	branch	pkg/planner/core/find_best_task.go	GroupRangesByCols/if:1/false	4db7a62f64b9fa1d326ef227373f28fdfcfc732397e4498ecdb5cbf18352c35c	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O51b400c9afc28e37	branch	pkg/planner/core/find_best_task.go	GroupRangesByCols/if:1/true	4db7a62f64b9fa1d326ef227373f28fdfcfc732397e4498ecdb5cbf18352c35c	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O56073f7195bc24c8	loop	pkg/planner/core/find_best_task.go	GroupRangesByCols/loop:1/enters	dda0a3caf749f2c6a796031d33fc3f09986d2d2a0c5be6c1a0c6014ca270b1f0	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O4d691f6397165456	loop	pkg/planner/core/find_best_task.go	GroupRangesByCols/loop:1/zero_iterations	dda0a3caf749f2c6a796031d33fc3f09986d2d2a0c5be6c1a0c6014ca270b1f0	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O675395cf929f579b	loop	pkg/planner/core/find_best_task.go	GroupRangesByCols/loop:2/enters	9315977f27285676ac72e7e3483215db8347924d5a9e84d5ca29ed2ca2c9431b	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
O78cb7ab83d8c267f	loop	pkg/planner/core/find_best_task.go	GroupRangesByCols/loop:2/zero_iterations	9315977f27285676ac72e7e3483215db8347924d5a9e84d5ca29ed2ca2c9431b	GroupRangesByCols	DECLINED	-	D_MERGE_SORT
Oa9a04b6f9e2b74c1	function	pkg/planner/core/find_best_task.go	addPushedDownSelection4PhysicalIndexScan	84d660cbf42542703110ed85385c94b5b1d642424161396c0611d7b159172f2f	addPushedDownSelection4PhysicalIndexScan	PORTED	driver::access::negotiate_scan_filter	R_FILTER_SPLIT
Od20bb4e4d1a4f11b	branch	pkg/planner/core/find_best_task.go	addPushedDownSelection4PhysicalIndexScan/if:1/false	e412352897223fcc4bff974db4d00ed543dc0b4bc1e366453d3da060b620f4f4	addPushedDownSelection4PhysicalIndexScan	PORTED	driver::access::negotiate_scan_filter	R_FILTER_SPLIT
O427ff1fb0259f192	branch	pkg/planner/core/find_best_task.go	addPushedDownSelection4PhysicalIndexScan/if:1/true	e412352897223fcc4bff974db4d00ed543dc0b4bc1e366453d3da060b620f4f4	addPushedDownSelection4PhysicalIndexScan	PORTED	driver::access::negotiate_scan_filter	R_FILTER_SPLIT
