# lockdown-inventory-v1
# owning-go-source	pkg/util/ranger/ranger.go
# source-sha256	7d9203f1e676fd5cb0bd753fff760360661d5370202b29ed590c96d7229261e0
# owning-go-test	pkg/util/ranger/ranger_test.go
# test-sha256	5be676a3ef5191a419c3a5288bcc20fd5db34637e259ac7ab7537c74e481c9ed
# package-claim	File-level LOCKDOWN for pkg/util/ranger/ranger.go; points.go/detacher.go, memory quota, and renderer seams remain explicit.
id	category	go_item	status	rust_symbol	evidence
F001	function	validInterval:43	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B001	branch	if err != nil:46	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B002	branch	if low.excl:49	PORTED	valid_interval	rust_source_and_source_backed_boundary_tests
B003	branch	if err != nil:54	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B004	branch	if !high.excl:57	PORTED	valid_interval	rust_source_and_source_backed_boundary_tests
F002	function	convertPointsInPlace:65	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B005	branch	if tableRange:69	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B006	branch	if isUnsigned:72	DECLINED	-	rust_handle_range_refuses_unsigned_handle_domain
L001	loop	for j < numPoints:80	PORTED	convert_points_in_place	rust_source_and_source_backed_boundary_tests
B007	branch	if err != nil:82	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B008	branch	if tableRange:85	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B009	branch	if startPoint.value.Kind() == types.KindNull:86	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B010	branch	if startPoint.value.Kind() == types.KindMinNotNull:89	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B011	branch	if err != nil:94	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B012	branch	if tableRange:97	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B013	branch	if endPoint.value.Kind() == types.KindMaxValue:98	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B014	branch	if skipNull && endPoint.value.Kind() == types.KindNull:102	PORTED	build_handle_ranges	rust_source_and_source_backed_boundary_tests
B015	branch	if err != nil:106	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B016	branch	if !less:109	PORTED	points_to_ranges	rust_source_and_source_backed_boundary_tests
F003	function	estimateMemUsageForPoints2Ranges:120	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
F004	function	points2Ranges:129	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B017	branch	if err != nil:131	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B018	branch	if rangeMaxSize > 0 && estimateMemUsageForPoints2Ranges(rangePoints) > rangeMaxSize:135	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
B019	branch	if mysql.HasNotNullFlag(newTp.GetFlag()):137	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
L002	loop	range rangeCount:153	PORTED	points_to_ranges	rust_source_and_source_backed_boundary_tests
F005	function	convertPointInPlace:177	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B020	branch	case types.KindMaxValue, types.KindMinNotNull:179	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B021	branch	if err != nil:183	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B022	branch	if newTp.GetType() == mysql.TypeYear && terror.ErrorEqual(err, types.ErrWarnDataOutOfRange):188	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B023	branch	if newTp.GetType() == mysql.TypeBit && terror.ErrorEqual(err, types.ErrDataTooLong):190	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B024	branch	if (newTp.GetType() == mysql.TypeNewDecimal || mysql.IsIntegerType(newTp.GetType()) || newTp.GetType() == mysql.TypeFloat) && terror.ErrorEqual(err, types.ErrOverflow):192	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B025	branch	if p.value.Kind() == types.KindMysqlTime && newTp.GetType() == mysql.TypeTimestamp && terror.ErrorEqual(err, types.ErrWrongValue):197	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B026	branch	if newTp.GetType() == mysql.TypeEnum && terror.ErrorEqual(err, types.ErrTruncated):200	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B027	branch	if p.value.GetInt64() > 0:203	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B028	branch	if err != nil:205	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B029	branch	if terror.ErrorEqual(err, charset.ErrInvalidCharacterString):210	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B030	branch	if err != nil:221	DECLINED	-	go_errctx_and_best_effort_cast_error_identity_not_exposed_by_rust_range_api
B031	branch	if valCmpCasted == 0:225	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B032	branch	if p.start:228	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B033	branch	if p.excl:229	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B034	branch	if valCmpCasted < 0:230	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B035	branch	if valCmpCasted > 0:235	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B036	branch	if p.excl:241	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B037	branch	if valCmpCasted > 0:242	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
B038	branch	if valCmpCasted < 0:247	PORTED	convert_point_in_place	rust_source_and_source_backed_boundary_tests
F006	function	getRangesTotalDatumSize:256	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
L003	loop	range ranges:257	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
L004	loop	range ran.LowVal:258	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
L005	loop	range ran.HighVal:261	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
F007	function	getPointsTotalDatumSize:268	DECLINED	-	rust_range_api_has_no_go_range_max_size_byte_budget
