# executor-point-get-file-lockdown-inventory-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	reason	mutation_policy
O15e9d52337180700	test	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
O4127901d89a03ee9	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:1:NoError	3299ddb365880a3d2a0d1c46b35037a6976604105839152d129b870d8fcc0669	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:1:NoError;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:3299ddb365880a3d2a0d1c46b35037a6976604105839152d129b870d8fcc0669	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
Oc521705f3f3de24d	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:2:NoError	57a9b8a06c8f25be88a1f67c324bbf9edcab686a7fcc25d90864f4f255078635	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:2:NoError;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:57a9b8a06c8f25be88a1f67c324bbf9edcab686a7fcc25d90864f4f255078635	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
O65075870d2e1a863	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:3:NoError	2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:3:NoError;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
Oedbd88de8b6bb9aa	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:4:Check	38b7088483b3151d96e57c19cba6ed7d2b9e11a99fcc5074ebbd682052ba2a19	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:4:Check;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:38b7088483b3151d96e57c19cba6ed7d2b9e11a99fcc5074ebbd682052ba2a19	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
O1d70cbdc334f0148	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:5:NoError	fedec3aca7fadad74350db041b0dd887be2d13ff505b7f3428fecf1d4ccca22a	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:5:NoError;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:fedec3aca7fadad74350db041b0dd887be2d13ff505b7f3428fecf1d4ccca22a	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
Obb987544b2d8c38f	test_assertion	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/assertion:6:NoError	e4e7b48525aaa8cf53e48fcea9810498a303ba28373b516b7f449a9796a6ddfd	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/assertion:6:NoError;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:e4e7b48525aaa8cf53e48fcea9810498a303ba28373b516b7f449a9796a6ddfd	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
Oe726bc6537600013	test_helper_closure	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/closure:1	68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/closure:1;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
O7d7e55845cb7e79d	test_helper_closure	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/closure:2	53f1e54452bcdd485ef5005cbfbe36918ef9819be8b57b5dda359be5826022ee	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/closure:2;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:53f1e54452bcdd485ef5005cbfbe36918ef9819be8b57b5dda359be5826022ee	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
Ofe2a050827250015	test_short_circuit	pkg/executor/executor_failpoint_test.go	TestPointGetRepeatableRead/logical:1:||/lhs_short_circuits	b1bb001d1a8f3b9c4fee6397fcf0d88870cf2a8610a24e7e07be94d674514689	TestPointGetRepeatableRead	DECLINED	-	go-ast-quote:pkg/executor/executor_failpoint_test.go#TestPointGetRepeatableRead/logical:1:||/lhs_short_circuits;measured-gap:Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary@sha256:b1bb001d1a8f3b9c4fee6397fcf0d88870cf2a8610a24e7e07be94d674514689	Rust lacks Go's two-stage unique-index snapshot repeatable-read failpoint boundary	promotion-mutation-required-before-PORTED
