# executor-point-get-file-lockdown-mutation-plan-v1
suite_id	rule	mutation_count	baseline_commit	source_file	source_sha256	named_test	boundary
R_PHYSICAL_ID	GetPhysID logical fallback, partition lookup, ordinal selection, and bounds	4	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.rs	5c042b32a97655c976b1dfbe0cb504cca913d71d6d70355b7747328d911e5271	point_get::tests::physical_id	None/no-metadata/first/last/out-of-range
R_PARTITION_NAMES	matchPartitionNames empty, pid, casefold, first-pid, and missing-pid rules	5	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.rs	5c042b32a97655c976b1dfbe0cb504cca913d71d6d70355b7747328d911e5271	point_get::tests::partition_names	Empty/nonempty/Unicode/mismatch/duplicate-pid/missing-metadata
R_CHECKSUM_COLUMN	shouldFillRowChecksum id and first-match rules	2	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.rs	5c042b32a97655c976b1dfbe0cb504cca913d71d6d70355b7747328d911e5271	point_get::tests::checksum_and_column_lookup	Empty/absent/present/duplicate-first
R_PREFIX_COLUMN	notPKPrefixCol membership polarity and miss rules	2	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.rs	5c042b32a97655c976b1dfbe0cb504cca913d71d6d70355b7747328d911e5271	point_get::tests::primary_prefix_membership	Empty/hit/miss
R_COLUMN_BY_ID	getColInfoByID id equality and first-match rules	2	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.rs	5c042b32a97655c976b1dfbe0cb504cca913d71d6d70355b7747328d911e5271	point_get::tests::checksum_and_column_lookup	Empty/absent/present/duplicate-first
G_PATH	Repository-relative owned-source path gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/scripts/pkg-executor-point-get-lockdown.py	bdc2139d8882bd55e3dbe0fdc4cf8c83596d435742d4b304e96dea3859880511	pkg-executor-point-get-lockdown.py	Absolute and missing path rejected
G_HASH	Owned-source SHA-256, byte, and line gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/scripts/pkg-executor-point-get-lockdown.py	bdc2139d8882bd55e3dbe0fdc4cf8c83596d435742d4b304e96dea3859880511	pkg-executor-point-get-lockdown.py	Stale artifact metadata rejected
G_AST	Go AST obligation drift gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	pkg/executor/point_get.go	8bde7bb7507d17129b8fd829a2078878d5303bf4b86aad939b6be576f775be93	pkg-executor-point-get-lockdown.py	Refreshed file manifest cannot hide AST drift
G_CENSUS	Missing obligation row gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.inventory.tsv	f45e0546ebbbff30eb417f1f4a094bdd1420f6720620976a21f588a9912a81ac	pkg-executor-point-get-lockdown.py	Deleted row rejected
G_VERDICT	Blank verdict gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.inventory.tsv	f45e0546ebbbff30eb417f1f4a094bdd1420f6720620976a21f588a9912a81ac	pkg-executor-point-get-lockdown.py	Blank classification rejected
G_SYMBOL	Compiled PORTED symbol allowlist gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/crates/tidb-executor/src/point_get.inventory.tsv	f45e0546ebbbff30eb417f1f4a094bdd1420f6720620976a21f588a9912a81ac	point_get_lockdown_symbols_compile_and_inventory_is_exact	Fabricated Rust symbol rejected
G_RECEIPT	Content-addressed receipt gate	1	566c460c26d5019fd32ce157531bcf431a8ce447	rust/scripts/pkg-executor-point-get-lockdown.py	bdc2139d8882bd55e3dbe0fdc4cf8c83596d435742d4b304e96dea3859880511	pkg-executor-point-get-lockdown.py	Stale receipt count rejected
