# executor-point-get-file-lockdown-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001	R_PHYSICAL_ID	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::physical_id_uses_the_logical_or_selected_partition_id	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M002	R_PHYSICAL_ID	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::physical_id_uses_the_logical_or_selected_partition_id	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M003	R_PHYSICAL_ID	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::physical_id_uses_the_logical_or_selected_partition_id	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M004	R_PHYSICAL_ID	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::physical_id_preserves_the_out_of_range_definition_panic	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M005	R_PARTITION_NAMES	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::partition_names_preserve_empty_casefold_and_first_pid_rules	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M006	R_PARTITION_NAMES	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::partition_names_preserve_empty_casefold_and_first_pid_rules	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M007	R_PARTITION_NAMES	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::partition_names_preserve_empty_casefold_and_first_pid_rules	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M008	R_PARTITION_NAMES	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::partition_names_preserve_empty_casefold_and_first_pid_rules	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M009	R_PARTITION_NAMES	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::partition_names_preserve_empty_casefold_and_first_pid_rules	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
M010	R_CHECKSUM_COLUMN	KILLED	566c460c26d5019fd32ce157531bcf431a8ce447	point_get::tests::checksum_and_column_lookup_choose_the_first_matching_id	101	rust/crates/tidb-executor/src/point_get.rs	62bf005745295f5f51bebee168cf22ce8fd7d41bd8e76364a9dd88333b8205c9	PASS
