# pkg-util-ranger-detacher-file-lockdown-mutation-results-v1
mutation_id	suite_id	baseline_commit	source_file	source_sha256	operator	named_test	exit_code	status	restore_status
M_CNF_DROP_RESERVED_ACCESS	R_CNF	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	expect only exact access and drop access-and-reserve atom	cnf_detachment_preserves_access_filter_and_order	101	KILLED	PASS
M_CNF_ACCEPT_FILTER_OR_BRANCH	R_CNF	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change unusable OR branch decision from filter to access	cnf_detachment_preserves_access_filter_and_order	101	KILLED	PASS
M_DNF_ACCEPT_ZERO_ACCESS_BRANCH	R_DNF	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change the filter-only DNF branch to access	dnf_detachment_rejects_filter_only_branch	101	KILLED	PASS
M_DNF_DROP_RESIDUAL_FLAG	R_DNF	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change access-and-reserve DNF atom to exact access	dnf_detachment_rebuilds_and_tracks_residual	101	KILLED	PASS
M_INDEX_OR_TO_AND	R_INDEX	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change a=1 OR a=2 boundary to contradictory AND	executor_index_detacher_keeps_dnf_and_prefix_boundaries	101	KILLED	PASS
M_INDEX_EXCLUSIVE_TO_INCLUSIVE	R_INDEX	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change composite tail b>2 to b>=2	executor_index_detacher_keeps_dnf_and_prefix_boundaries	101	KILLED	PASS
M_COLUMN_INCLUSIVE_TO_EXCLUSIVE	R_COLUMN	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change lower endpoint a>=3 to a>3	executor_column_detacher_intersects_and_retains_residual	101	KILLED	PASS
M_COLUMN_CONSUME_OTHER_COLUMN	R_COLUMN	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	change residual b=9 into access predicate a=9	executor_column_detacher_intersects_and_retains_residual	101	KILLED	PASS
M_LIST_REMOVE_NOTHING	R_LIST	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	remove absent 4 instead of repeated 1	condition_list_helpers_match_go_existing_slice_semantics	101	KILLED	PASS
M_LIST_DROP_DUPLICATE_CANDIDATE	R_LIST	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	remove the second new candidate from append input	condition_list_helpers_match_go_existing_slice_semantics	101	KILLED	PASS
M_LIST_DEDUPE_AGAINST_RESULT	R_LIST	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	check append candidates against the growing result instead of original conditions	condition_list_helpers_match_go_existing_slice_semantics	101	KILLED	PASS
M_WIRING_MISSING_INDEX_SYMBOL	R_WIRING	6fa49fb9112c850ffd9861651792cd043b830a8d	rust/crates/tidb-executor/src/ranger_detacher_lockdown.rs	1f85329bf536b804d0792d49a4803840f84437b27e25476ea355cc2b5c6f001d	rename executor index detacher compile anchor to a missing symbol	executor_index_detacher_keeps_dnf_and_prefix_boundaries	101	KILLED	PASS
