# builtin-cast-lockdown-v1
# verdicts PORTED=631 DECLINED=2264 UNREACHABLE=292
obligation_id	category	source_path	ast_anchor	node_sha256	go_owner	status	rust_symbol	evidence
Oc8d94cd8b4fbb0ba	function	pkg/expression/builtin_cast.go	BuildCastCollationFunction	4771f6b3f9890aa6409f88c5230d89d93b1ad7a03c54df291fbc1e48199f486a	BuildCastCollationFunction	DECLINED	-	D_COLLATION
Oa1763da4a3594da8	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:1/false	0ec639f211fe8d1c3b5da948f60c1973d7301500945b5e20512277dd416fdd2d	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O7563a06823a31e49	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:1/true	0ec639f211fe8d1c3b5da948f60c1973d7301500945b5e20512277dd416fdd2d	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O30f895dee5c857db	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:2/false	34d6d5738c97099c62cf86e7adcf2347d5f51977762cc15258bf7aec51eff77e	BuildCastCollationFunction	DECLINED	-	D_COLLATION
Od4ffc991b3372f70	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:2/true	34d6d5738c97099c62cf86e7adcf2347d5f51977762cc15258bf7aec51eff77e	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O7aef15eb0c20a11a	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:3/false	3817075472d8089b47ab3ed25a29b0045b34171ae0f8ad5ee08e2cf679cf65a8	BuildCastCollationFunction	DECLINED	-	D_COLLATION
Oa545e4bd0804e164	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:3/true	3817075472d8089b47ab3ed25a29b0045b34171ae0f8ad5ee08e2cf679cf65a8	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O37585685813de3da	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:4/false	9c2541228920e36017bd1e029ffda40751e755cdc7f67df0855f69ece88123b0	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O5a179bdce21604ec	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:4/true	9c2541228920e36017bd1e029ffda40751e755cdc7f67df0855f69ece88123b0	BuildCastCollationFunction	DECLINED	-	D_COLLATION
Oce95c668227fef26	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:5/false	9ab6b48e17fcdce57abc64b05f4861e1f67cc1aec8f0dfb6700098ab0f1fdcc9	BuildCastCollationFunction	DECLINED	-	D_COLLATION
O8e011fd8297d2f71	branch	pkg/expression/builtin_cast.go	BuildCastCollationFunction/if:5/true	9ab6b48e17fcdce57abc64b05f4861e1f67cc1aec8f0dfb6700098ab0f1fdcc9	BuildCastCollationFunction	DECLINED	-	D_COLLATION
Ob0ff32f580e65d2e	function	pkg/expression/builtin_cast.go	BuildCastFunction	94b2d2c7ac25f731a2069959fc9a6069dc3afc8aeb669528ee53bb5116ce196f	BuildCastFunction	PORTED	builtin_cast_lockdown::CAST_REWRITE	P_CAST_REWRITE
O767da84429a6afec	function	pkg/expression/builtin_cast.go	BuildCastFunction4Union	94b2d2c7ac25f731a2069959fc9a6069dc3afc8aeb669528ee53bb5116ce196f	BuildCastFunction4Union	DECLINED	-	D_UNION
O17dfa2cc06cde6d3	function	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck	0bd16c425fcc7c0097ffcdc6c3fc15a116701d59abd2e8e5d7ef156e999850c9	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Of78ecbfe97fffaa9	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:1/false	5c1bc5b21a6849eb91f8dbcd423d586f40f2a7911542d3070a0d903d5add96b2	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O33c09e75fb60af58	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:1/true	5c1bc5b21a6849eb91f8dbcd423d586f40f2a7911542d3070a0d903d5add96b2	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Odc4f6ce82ddad595	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:2/false	b0ab650e5fee6f172d77f283cf1d05ab7112a272e1eb054befc6ddcd5d4fa358	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O45ae6e358d975b0d	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:2/true	b0ab650e5fee6f172d77f283cf1d05ab7112a272e1eb054befc6ddcd5d4fa358	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oa98ac63502f40d22	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:3/false	545a03dec7d5592dc1785e09f3c367c3b94f002b8578dd595e80977a3d8b376f	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oc92b1b0916eacaf9	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:3/true	545a03dec7d5592dc1785e09f3c367c3b94f002b8578dd595e80977a3d8b376f	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Ob9bd0c35f8a556a2	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:4/false	04f1a41108f3b49eff4394b0dcad685e02a93fd84204037c59a57b1f097c9f85	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O5ae27278df87d65a	branch	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/if:4/true	04f1a41108f3b49eff4394b0dcad685e02a93fd84204037c59a57b1f097c9f85	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Of377d884dcfd0386	short_circuit	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/logical:1:&&/lhs_short_circuits	a9b3965ed5f12e88191f6117b09bc7ca93419e9b479ac7401f5f04fe041bf217	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Of8c2468a304635cb	short_circuit	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/logical:1:&&/rhs_evaluated	a9b3965ed5f12e88191f6117b09bc7ca93419e9b479ac7401f5f04fe041bf217	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O76ad9759340799c0	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:1	62b4efa4ea643ad07b69f84c3af060b28c323adeabe70b99048b967a181f381a	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O8d47bf73e3f153d1	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:2	5e3e236eef44952b410d3eba970d185f6036241df2a8fae5c7e5f3622e6b3cbb	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O33b479668676c25a	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:3	e9cc15d4045e60a1b34042255c8101feb1eb9a84f85526f22e652b41cb008aeb	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oeda1489f2a73e5b9	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:4	d0af30a7f4c8c8c3b2c076277122d26006c7d5874ee4f7d4be7cff42eeb0df89	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oc28a7aab0d1c2851	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:5	04242d4de583911c5d60fc127f80dcc70baaae659008a42c897c6a79cbbdcd93	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oe7c1aa426985341b	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:6	4efec6b6235f737aad6c7279cc50e642edb9a5175b1c801d6c04f483a276a27f	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Of32b70a2edb82565	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:7	7d708668cf912338ca8b81a48c25b86b151622efc9ee17308528e42cc9a5e030	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
O8caf2bdb0788a938	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/case:8	7bd5480b573060b854cf9a2a739d9145b3288ebe488a32bead12e78baed38e20	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oea5e0f323296cbf7	switch_case	pkg/expression/builtin_cast.go	BuildCastFunctionWithCheck/switch:1/default:9	df74ad90634e9c135bc1a90d26fe01182b11203004882e39bc22078cd828f979	BuildCastFunctionWithCheck	DECLINED	-	D_UNION
Oe6a27e9a160d9c09	function	pkg/expression/builtin_cast.go	CanImplicitEvalInt	5c84040acda5d84762909c5c09c7f0dc3e9419c8dac60ab16f135197d649d45f	CanImplicitEvalInt	DECLINED	-	D_IMPLICIT_EVAL
O3691a2c6d9e380ac	branch	pkg/expression/builtin_cast.go	CanImplicitEvalInt/if:1/false	512ce4cac10d8b464cbbaf544d8e8fb0343a0d59d10511f6b18e71c5e62e88dc	CanImplicitEvalInt	DECLINED	-	D_IMPLICIT_EVAL
O3d24ededc16f41d6	branch	pkg/expression/builtin_cast.go	CanImplicitEvalInt/if:1/true	512ce4cac10d8b464cbbaf544d8e8fb0343a0d59d10511f6b18e71c5e62e88dc	CanImplicitEvalInt	DECLINED	-	D_IMPLICIT_EVAL
Oa0e430e4c4d10976	function	pkg/expression/builtin_cast.go	CanImplicitEvalReal	5c84040acda5d84762909c5c09c7f0dc3e9419c8dac60ab16f135197d649d45f	CanImplicitEvalReal	DECLINED	-	D_IMPLICIT_EVAL
Off8ea1c7bac5ce6a	branch	pkg/expression/builtin_cast.go	CanImplicitEvalReal/if:1/false	512ce4cac10d8b464cbbaf544d8e8fb0343a0d59d10511f6b18e71c5e62e88dc	CanImplicitEvalReal	DECLINED	-	D_IMPLICIT_EVAL
Of458d90189eb6d9c	branch	pkg/expression/builtin_cast.go	CanImplicitEvalReal/if:1/true	512ce4cac10d8b464cbbaf544d8e8fb0343a0d59d10511f6b18e71c5e62e88dc	CanImplicitEvalReal	DECLINED	-	D_IMPLICIT_EVAL
O1e5c5d19d7dfcefc	function	pkg/expression/builtin_cast.go	ConvertJSON2Tp	aadbf7927aea1550d8812ac2b990925ecc42facc5532a2e073d637d11b5d996b	ConvertJSON2Tp	PORTED	builtin_cast_lockdown::CAST_JSON	P_NATIVE_JSON
O7aa07a0aad9a66f4	branch	pkg/expression/builtin_cast.go	ConvertJSON2Tp/if:1/false	8d1dd34954e2f4d8ffc45ba908dbe1f9168a8f312925bf1538bb618cc79dbaf6	ConvertJSON2Tp	PORTED	builtin_cast_lockdown::CAST_JSON	P_NATIVE_JSON
O4e00a4752123196e	branch	pkg/expression/builtin_cast.go	ConvertJSON2Tp/if:1/true	8d1dd34954e2f4d8ffc45ba908dbe1f9168a8f312925bf1538bb618cc79dbaf6	ConvertJSON2Tp	PORTED	builtin_cast_lockdown::CAST_JSON	P_NATIVE_JSON
