# infer-pushdown-lockdown-v1
# verdicts PORTED=140 DECLINED=856 UNREACHABLE=0
obligation_id	category	source_path	ast_anchor	node_sha256	go_owner	status	rust_symbol	evidence
O90bb73094802e5fc	test	pkg/expression/expr_to_pb_test.go	TestColumn2Pb	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Odd2a3537e367085f	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:10:Len	e69a6eb6864ce86b94633ba26d7ceb279d02d1722449b80e0c9e5263799c07bd	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O0dc6fa465d17aee7	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:1:Len	e630023d716d3dbb31569730261dae02bc3f4a7205ec4ba952a0478f8325e083	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O87afb5ac40b74e2f	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:2:Len	84147961ef9b63a17d2a6001c42e1179e8b5cac16aa749590afc6e90f26f10f1	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O660591e79d1e4fec	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:3:Error	6760becb4cb6b1c48af294a45f020735b0e94bab62f8cbe7af4f1a0d4e71e61d	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Od0370aabfc9f0563	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:4:Len	eea19805fc1cea4fce948adebae196e57d51ab4aea7c431bfc4e5a2a01f3555a	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O86f44a5dc5436dcd	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:5:Len	e69a6eb6864ce86b94633ba26d7ceb279d02d1722449b80e0c9e5263799c07bd	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Ofc23023bf6209426	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:6:NoError	2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Of815a3278b11af9e	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:7:NotNil	7dfe0832a8b7348a7346d1ba21e6b94cc6f215b63ebb349659ce5ce4043af6b5	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O5efc2f56b65075cf	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:8:NoError	2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O1c4af4bf975a8af9	test_assertion	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/assertion:9:Len	eea19805fc1cea4fce948adebae196e57d51ab4aea7c431bfc4e5a2a01f3555a	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oc3155251ba2dbe74	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:1/element:0	8bb966fe2d6d81b14d6612b32cf6cbbeb66027d353bb31075b53102768d62158	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oc08697e0259b3565	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:0	8a73f1e7dabcf2b3ce2d09c14d1f54bbe91fc91bcb672d4da4f1752a561a6477	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Off403f825b00d9c6	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:1	15db4585d8066bf4e3e7dc4c5b06754fe365960a7a928479bd6ba4b3641aba8a	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O47f5e906f563c2dd	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:10	05194889d0676ec4f1c87de23c47450e7b0a5334d8f871ba1390c408458ce890	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O7c6be835f10e97ff	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:11	4b1afcc103c4893a20f1169bb5141a0c75966fba9c2840258e50f7f256e9e6b4	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oe5223aa353b1a2ba	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:12	3724151869fedb4bd75895c1ce5e66a9523de9d674e6d7adb73f8e5552d6395e	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O5ff186774066f249	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:13	dcf1b8e073b6cc3818d932a4a1aeeaf9ce7f87392de1ea049218e68737d52b25	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O06adc937f0902361	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:14	7d0c3c3c1e3cc15690a2958f7f2a511d2155c8aa78aaf62fa5963e24e9794bb4	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oea343a93ead60194	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:15	97bd797be6843ca3586edd688ccd2516299856f3f9b24a866c0d33847d6908bb	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O2dab9a07a760ca0b	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:16	a31838b9fae8e3d8bd171dff94587298446ab38c0bea86dfd6a7c7d15146c5c0	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O3aaa94063645f398	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:17	85d88ab73ebe38bbf3ca512be17a7ac92b3a60e23dba21b09e40cec661c767f4	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O0f7d68a420b31adf	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:18	f9d7538ece92df3e7c0933e2d27f3ee27b924dfaf08b7609e2ba8b36c7ec62f8	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O435a87ee2374f702	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:19	045062bf69ad987c7a74449a26b42d51d8c036f439742efa7110e0259c31dc0d	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O18d7eea5c2deabb4	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:2	a88512804f3b5868bf643dcaf5e568515eaa5781aac64f54c3420b7c3f909b27	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O69cdb864392a41d2	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:20	c225939932c891cebe93dd412433df4b51d68244cf1c93cd61a9e4d46ad8049b	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oac0d6c1cc972a732	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:21	bc3e0b8d19afe27e54d2e9c7ef15bfe1fd364f96a549dda2cf7441dc629bc5ca	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O3fadf9f38ac23f03	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:22	281601abc878f8849c7971b32954b0c3ef0263e567ea93bad14c02bf5be47db3	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O1233383c223ea833	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:23	512b1de47cc8c63a9ef7d9bde3420c77578cf7f78c3afa5826dfe6cb212c91c0	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O45d63eb61657440d	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:3	8204958372bc2c9d86a69f20fc8eb90d0a55510be0b39d9dc57181632ef82367	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O752cff6b6f1be97c	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:4	da06514625595ada8cf74b08c1da775df3ff0dd62e0404b2cda231eb19b12113	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O8f56e9586f656f90	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:5	d6f1ce735ca007b0292811e5ca999f1493ab8c7e5bc7cefb4694bec01e5db76f	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O88f26f77e2f210f2	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:6	d481f7971aea6022d34f5aff639cc5c48cbf30f56c562bbea50cf603c9a963e3	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oe4f752b7c81e3262	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:7	fa1cbf03231a5fb2f061c4b4da66675e9c8bf0212f77231fae811e8083e7fb40	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
Oc7fc3c065c7259a1	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:8	b9cb183ad573e319c4296bde0de293d34cb2d98e0b7d1b27a682159ab688d9fe	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O47ec2f88b1bd2404	test_row	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/composite:2/element:9	fd00b46237c00e850620ebf093b115053056ecedf4dcdd1980e839a196a31873	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O7b80ceea2ed5108c	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:1/enters	34e7513b8fd80ba2eec461742e41cc25a907083b3f861ccc9b3662233b6dd13c	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O6d264e1b3b771bf9	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:1/zero_iterations	34e7513b8fd80ba2eec461742e41cc25a907083b3f861ccc9b3662233b6dd13c	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O882fb682b06fa3f9	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:2/enters	da1d4fdc54f299d0f80e35ce335a544ac7312150da77c38f93d5842a15b154e6	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O320ef4bdeb77f907	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:2/zero_iterations	da1d4fdc54f299d0f80e35ce335a544ac7312150da77c38f93d5842a15b154e6	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O6190ebff581c8963	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:3/enters	68887a8819571e97a9b248b23d4e02c998d461830a19f83513e72375a9343302	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O948072a88275d595	test_loop	pkg/expression/expr_to_pb_test.go	TestColumn2Pb/loop:3/zero_iterations	68887a8819571e97a9b248b23d4e02c998d461830a19f83513e72375a9343302	TestColumn2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O057a08a9ec123b38	test	pkg/expression/expr_to_pb_test.go	TestCompareFunc2Pb	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestCompareFunc2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O0251ed56bc13bfca	test_assertion	pkg/expression/expr_to_pb_test.go	TestCompareFunc2Pb/assertion:1:NoError	2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	TestCompareFunc2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O9d9190c7fad9fdd6	test_assertion	pkg/expression/expr_to_pb_test.go	TestCompareFunc2Pb/assertion:2:Len	30ecd0ea73f53c0a61416c6a0f2d939d32499df10fd04f0d48b8b4b3265e82f9	TestCompareFunc2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O9d596a2cc693e7f4	test_assertion	pkg/expression/expr_to_pb_test.go	TestCompareFunc2Pb/assertion:3:Len	e69a6eb6864ce86b94633ba26d7ceb279d02d1722449b80e0c9e5263799c07bd	TestCompareFunc2Pb	DECLINED	-	D_GO_TEST_RUNTIME
O83b8c4f6e7be9290	test_assertion	pkg/expression/expr_to_pb_test.go	TestCompareFunc2Pb/assertion:4:NoError	2533591873206020de2e212d9cc9309533eab53115af1664f24a3c685463018c	TestCompareFunc2Pb	DECLINED	-	D_GO_TEST_RUNTIME
