# Go source: pkg/meta/meta.go
# SHA-256: d0e948b97582b9f1e43ed98f6e3c2664ab71a0051161b5152768c439b0129083
# bytes: 68013
# lines: 2219
# Test/support: pkg/meta/meta_test.go, pkg/meta/main_test.go, pkg/meta/BUILD.bazel
# Columns: class source_identity source_line verdict rust_symbol evidence
class	source_identity	source_line	verdict	rust_symbol	evidence
PRODUCTION_DECLARATION	var:globalIDMutex	54	PORTED	transaction::GLOBAL_ID_MUTEX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:policyIDMutex	55	PORTED	transaction::POLICY_ID_MUTEX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:maskingPolicyIDMutex	56	PORTED	transaction::MASKING_POLICY_ID_MUTEX	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_DECLARATION	var:mMetaPrefix	79	PORTED	tidb_codec::table_key::META_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mNextGlobalIDKey	81	PORTED	key::NEXT_GLOBAL_ID	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_DECLARATION	var:mSchemaVersionKey	82	PORTED	key::SCHEMA_VERSION	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_DECLARATION	var:mDBs	83	PORTED	key::DBS	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mDBPrefix	84	PORTED	key::DB_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mTablePrefix	85	PORTED	key::TABLE_PREFIX	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:mSequencePrefix	86	PORTED	key::SEQUENCE_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mSeqCyclePrefix	87	PORTED	key::SEQUENCE_CYCLE_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mTableIDPrefix	88	PORTED	key::AUTO_TABLE_ID_PREFIX	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:mIncIDPrefix	89	PORTED	key::AUTO_INCREMENT_ID_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mRandomIDPrefix	90	PORTED	key::AUTO_RANDOM_ID_PREFIX	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mBootstrapKey	91	PORTED	key::BOOTSTRAP	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_DECLARATION	var:mSchemaDiffPrefix	92	PORTED	key::SCHEMA_DIFF_PREFIX	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_DECLARATION	var:mPolicies	93	PORTED	key::POLICIES	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mPolicyPrefix	94	PORTED	key::POLICY_PREFIX	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:mMaskingPolicies	95	PORTED	key::MASKING_POLICIES	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mMaskingPolicyPrefix	96	PORTED	key::MASKING_POLICY_PREFIX	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:mResourceGroups	97	PORTED	key::RESOURCE_GROUPS	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:mResourceGroupPrefix	98	PORTED	key::RESOURCE_GROUP_PREFIX	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:mPolicyGlobalID	99	PORTED	key::POLICY_GLOBAL_ID	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_DECLARATION	var:mMaskingPolicyGlobalID	100	PORTED	key::MASKING_POLICY_GLOBAL_ID	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_DECLARATION	var:mPolicyMagicByte	101	PORTED	value::CURRENT_MAGIC_BYTE_VER	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:mDDLTableVersion	102	PORTED	key::DDL_TABLE_VERSION	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:mBootTableVersion	105	PORTED	key::BOOT_TABLE_VERSION	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:mBDRRole	106	PORTED	key::BDR_ROLE	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_DECLARATION	var:mMetaDataLock	107	PORTED	key::METADATA_LOCK	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mSchemaCacheSize	108	PORTED	key::SCHEMA_CACHE_SIZE	transaction_source::malformed_scalar_storage_returns_the_source_parse_error_class
