# owner_sha256 job_args.go da1b59226cb2d3a05bbb65c945709088a33fac605237b4e195377c10ebec27bf bytes=65331 lines=1917
# support_sha256 job_args_test.go 7647a990a36ff19f4bc1e56ed915466c6be7c87c32bd0c68a443e24378edb382 bytes=39148 lines=1242
# obligation_id	category	source_path	ast_anchor	node_sha256	owner	verdict	rust_symbol	evidence
O101d84eebea5b987	function	pkg/meta/model/job_args.go	AddCheckConstraintArgs.decodeV1	1861f90210133a55665c5dbf0ab60206a373b627dc27407f5140722302f41d30	AddCheckConstraintArgs.decodeV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
Oac453ba6e7636add	function	pkg/meta/model/job_args.go	AddCheckConstraintArgs.getArgsV1	228b08c3b135ff9cfe8b30b1ab950acfd79fd8f3edf5e5dcb8db308152e8b99d	AddCheckConstraintArgs.getArgsV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
O8d5c3c26a1113745	function	pkg/meta/model/job_args.go	AddForeignKeyArgs.decodeV1	1861f90210133a55665c5dbf0ab60206a373b627dc27407f5140722302f41d30	AddForeignKeyArgs.decodeV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
O769cc7e55b39761c	function	pkg/meta/model/job_args.go	AddForeignKeyArgs.getArgsV1	228b08c3b135ff9cfe8b30b1ab950acfd79fd8f3edf5e5dcb8db308152e8b99d	AddForeignKeyArgs.getArgsV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
O4a8a06f11f1833e2	function	pkg/meta/model/job_args.go	AlterIndexVisibilityArgs.decodeV1	1861f90210133a55665c5dbf0ab60206a373b627dc27407f5140722302f41d30	AlterIndexVisibilityArgs.decodeV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
Of6eb875a993618b6	function	pkg/meta/model/job_args.go	AlterIndexVisibilityArgs.getArgsV1	228b08c3b135ff9cfe8b30b1ab950acfd79fd8f3edf5e5dcb8db308152e8b99d	AlterIndexVisibilityArgs.getArgsV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
O2b70178b7928efaf	function	pkg/meta/model/job_args.go	AlterSequenceArgs.decodeV1	1861f90210133a55665c5dbf0ab60206a373b627dc27407f5140722302f41d30	AlterSequenceArgs.decodeV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
O600362001a85c02e	function	pkg/meta/model/job_args.go	AlterSequenceArgs.getArgsV1	228b08c3b135ff9cfe8b30b1ab950acfd79fd8f3edf5e5dcb8db308152e8b99d	AlterSequenceArgs.getArgsV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
Oa9eadebe5fb0bf98	function	pkg/meta/model/job_args.go	AlterTTLInfoArgs.decodeV1	1861f90210133a55665c5dbf0ab60206a373b627dc27407f5140722302f41d30	AlterTTLInfoArgs.decodeV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
Ocd7291a774c5aec5	function	pkg/meta/model/job_args.go	AlterTTLInfoArgs.getArgsV1	228b08c3b135ff9cfe8b30b1ab950acfd79fd8f3edf5e5dcb8db308152e8b99d	AlterTTLInfoArgs.getArgsV1	DECLINED	-	Measured boundary: generic Job and raw JSON envelope encode/decode are native in job.rs, but typed JobArgs and FinishedJobArgs structures plus their source-specific getArgsV1, decodeV1, Get, FillArgs, and FillFinishedArgs rules remain absent; no source-equivalent typed entry point exists.
