# lockdown-inventory-v1
# owning-go-source	pkg/statistics/histogram.go
# source-sha256	1233e0a3430067400eaee5d562772cc83541fce8ae8b3e4579895a574c8c1024
# owning-go-test	pkg/statistics/histogram_test.go
# test-sha256	8adb0d249a37ffa08c859ea1709426cfc0e98c4fc5a7ff689726fce0a1904a7a
# adjacent-go-test	pkg/statistics/statistics_test.go
# adjacent-test-sha256	2252313be49f161986afe7a94c379ca875bf79930b4f6c52a0b5e3cd9ffafe35
# package-claim	File-level LOCKDOWN for pkg/statistics/histogram.go; split leaf modules are named by PORTED symbols and unowned integrations remain explicit.
id	category	go_item	status	rust_symbol	evidence
D01	declaration	outOfRangeBetweenRate:53 const	PORTED	OUT_OF_RANGE_BETWEEN_RATE	histogram_source_tests_and_ported_symbol_gate
D02	declaration	globalPseudoChunkOnce:58 var	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
D03	declaration	globalPseudoChunk:59 var	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
D04	declaration	Histogram:63 type	PORTED	Histogram	histogram_source_tests_and_ported_symbol_gate
D05	declaration	EmptyHistogramSize:98 const	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
D06	declaration	Bucket:101 type	PORTED	Bucket	histogram_source_tests_and_ported_symbol_gate
D07	declaration	EmptyBucketSize:113 const	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
D08	declaration	scalar:115 type	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
D09	declaration	EmptyScalarSize:122 const	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
F01	function	initGlobalPseudoChunk:125 	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
F02	function	getGlobalPseudoChunk:134 	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
F03	function	prepareFieldTypeForHistogram:142 	DECLINED	-	dependency_or_runtime_contract_outside_dependency_closed_tidb_stats_owner
