# histogram-lockdown-mutation-plan-v1
mutation_id	rule_family	target_path	target_symbol	mutation	expected_test	expected_outcome
M01	go_source_drift	pkg/statistics/histogram.go	Go source receipt	append one ASCII space to a source comment	histogram_source::lockdown_histogram_sources_match_pinned_sha256	assertion_failure
M02	inventory_shape	rust/crates/tidb-stats/src/histogram.inventory.tsv	O7938e004d4ddc7ae	delete one obligation row	histogram_source::lockdown_histogram_inventory_has_complete_shape_and_allowed_statuses	assertion_failure
M03	ported_symbol_registry	rust/crates/tidb-stats/tests/histogram_source.rs	COMPILE_ANCHORED_SYMBOLS	remove Histogram::less_row_count registry entry	histogram_source::lockdown_every_ported_histogram_symbol_still_exists	assertion_failure
M04	ported_test_evidence	rust/crates/tidb-stats/src/histogram.inventory.tsv	Histogram::less_row_count	replace one rust-test identity with a nonexistent test	histogram_source::lockdown_every_ported_histogram_obligation_names_an_existing_boundary_test	assertion_failure
M05	equality_and_order_queries	rust/crates/tidb-stats/src/histogram.rs	Histogram::equal_row_count	add one to the upper-bound repeat estimate	histogram_source::source_int_histogram_equal_less_greater_probes	assertion_failure
M06	between_row_count	rust/crates/tidb-stats/src/histogram.rs	Histogram::between_row_count	add rather than subtract the lower less-count	histogram_source::source_int_histogram_between_row_count_probes	assertion_failure
M07	topn_removal	rust/crates/tidb-stats/src/histogram.rs	Histogram::binary_search_remove_value	preserve bucket NDV after a found value	histogram_source::source_topn_removal_matches_go_boundaries	assertion_failure
M08	out_of_range_estimation	rust/crates/tidb-stats/src/histogram.rs	Histogram::out_of_range_row_count	change the default changed-row multiplier from 0.5 to 1.0	histogram_source::source_out_of_range_estimation_matches_go_boundaries	assertion_failure
M09	histogram_merge	rust/crates/tidb-stats/src/histogram.rs	merge_histograms	subtract rather than add the right histogram NDV	histogram_source::source_merge_histograms_matches_go_cases	assertion_failure
M10	partition_merge	rust/crates/tidb-stats/src/histogram.rs	merge_partition_histograms	skip the final global-bucket reversal	histogram_source::source_merge_partition_level_hist_matches_all_go_cases	assertion_failure
M11	bucket_ndv_merge	rust/crates/tidb-stats/src/histogram.rs	merge_bucket_ndv	keep the smaller NDV for identical bounds	histogram::tests::source_merge_bucket_ndv_matches_all_go_cases	assertion_failure
M12	v2_index_standardization	rust/crates/tidb-stats/src/histogram.rs	Histogram::standardize_for_v2_analyze_index	require both positive count and repeat to retain a bucket	histogram_source::source_standardize_v2_index_matches_all_go_tables	assertion_failure
M13	row_estimate_arithmetic	rust/crates/tidb-stats/src/row_estimate.rs	RowEstimate::add	subtract rather than add max_est	row_estimate_source::source_arithmetic_methods_update_all_fields_in_place	assertion_failure
M14	stats_load_status	rust/crates/tidb-stats/src/status.rs	StatsLoadedStatus::is_load_needed	treat ALL_LOADED as requiring reload	status_source::source_full_load_status_is_initialized_without_reload	assertion_failure
M15	stats_version_predicate	rust/crates/tidb-stats/src/stats_version.rs	is_analyzed	treat only VERSION_0 as analyzed	stats_version_source::source_version_constants_and_analyzed_predicate_match	assertion_failure
M16	overlap_geometry	rust/crates/tidb-stats/src/overlap_geometry.rs	left_overlap_percent	add rather than subtract the left triangle area	overlap_geometry_source::source_left_overlap_clips_to_histogram_triangle	assertion_failure
M17	average_count	rust/crates/tidb-stats/src/average_count.rs	avg_count_per_not_null_value	multiply rather than divide by current NDV	average_count_source::source_average_scales_nonnull_count_and_ndv_together	assertion_failure
M18	declined_evidence	rust/crates/tidb-stats/src/histogram.inventory.tsv	GetIndexPrefixLens	reference an unknown decline evidence ID	histogram_source::lockdown_declined_histogram_evidence_is_source_backed	assertion_failure
M19	unreachable_proof	rust/crates/tidb-stats/src/histogram.inventory.tsv	TopNMeta.buildBucket4Merging/closure:1	replace the measured unreachable proof	histogram_source::lockdown_unreachable_histogram_obligation_has_measured_proof	assertion_failure
M20	rust_source_drift	rust/crates/tidb-stats/src/histogram.rs	Rust source receipt	append one ASCII space to a source comment	histogram_source::lockdown_histogram_sources_match_pinned_sha256	assertion_failure
M21	ported_symbol_disappearance	rust/crates/tidb-stats/src/histogram.rs	Histogram::upper_to_datum	rename the PORTED method without updating compile anchors	histogram_source::lockdown_public_and_test_histogram_symbols_compile	compilation_failure
