# histogram-lockdown-mutation-results-v1
# provisional-sha	4576fa8aea3a0d713d66b403aaad381331fc1c83
# disposable-worktree	/tmp/tidb-task325-histogram-mutation.gZ0zyz/repo
# exclusive-target	/tmp/tidb-task325-histogram-mutation.gZ0zyz/target
mutation_id	provisional_sha	test_identity	command	exit_code	decisive_failure	result	restoration	clean_status
M01	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_histogram_sources_match_pinned_sha256	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_histogram_sources_match_pinned_sha256 -- --exact	101	SHA drift: pkg/statistics/histogram.go; actual 311f0caa32c11a5625e0923d9aaa7a367799ea786a21f42ce04f4fd548dc0ffc; expected 1233e0a3430067400eaee5d562772cc83541fce8ae8b3e4579895a574c8c1024	KILLED	RESTORED	CLEAN
M02	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_histogram_inventory_has_complete_shape_and_allowed_statuses	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_histogram_inventory_has_complete_shape_and_allowed_statuses -- --exact	101	assertion left == right failed; inventory rows 667; expected 668	KILLED	RESTORED	CLEAN
M03	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_every_ported_histogram_symbol_still_exists	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_every_ported_histogram_symbol_still_exists -- --exact	101	assertion left == right failed; inventory symbols include Histogram::less_row_count; compile-anchor registry does not	KILLED	RESTORED	CLEAN
M04	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_every_ported_histogram_obligation_names_an_existing_boundary_test	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_every_ported_histogram_obligation_names_an_existing_boundary_test -- --exact	101	wrong PORTED evidence: nonexistent_boundary_test; expected source_int_histogram_equal_less_greater_probes	KILLED	RESTORED	CLEAN
M05	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_int_histogram_equal_less_greater_probes	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_int_histogram_equal_less_greater_probes -- --exact	101	equal(9): expected 2; got 3	KILLED	RESTORED	CLEAN
M06	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_int_histogram_between_row_count_probes	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_int_histogram_between_row_count_probes -- --exact	101	between[5,15): expected 9.444444444444445; got 18.333333333333336	KILLED	RESTORED	CLEAN
M07	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_topn_removal_matches_go_boundaries	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_topn_removal_matches_go_boundaries -- --exact	101	bucket 0 NDV expected 7; got 8	KILLED	RESTORED	CLEAN
M08	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_out_of_range_estimation_matches_go_boundaries	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_out_of_range_estimation_matches_go_boundaries -- --exact	101	out-of-range estimate expected 2.399000416493128; got 4.798000832986256	KILLED	RESTORED	CLEAN
M09	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_merge_histograms_matches_go_cases	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_merge_histograms_matches_go_cases -- --exact	101	merged NDV expected 400; got 0	KILLED	RESTORED	CLEAN
M10	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_merge_partition_level_hist_matches_all_go_cases	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_merge_partition_level_hist_matches_all_go_cases -- --exact	101	first lower bound expected encoded 1; got encoded 11	KILLED	RESTORED	CLEAN
M11	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram::tests::source_merge_bucket_ndv_matches_all_go_cases	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram::tests::source_merge_bucket_ndv_matches_all_go_cases -- --exact	101	assertion left == right failed; actual NDV 2; expected 3	KILLED	RESTORED	CLEAN
