# pkg-arena-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
Od8482d33979ac4cb	function	pkg/util/arena/arena.go	NewAllocator	0fff72f1d11e70b244289e9ee104f399014326df5a6e5dbe8befac37e3a12f2a	NewAllocator	PORTED	SimpleAllocator::new	rust-test:source_strict_exact_fit_and_reset_contracts	compile-owner-gate
O765b4b241320ff6f	function	pkg/util/arena/arena.go	SimpleAllocator.Alloc	5166da1cf54555602d6bd2531c578195b4beed06fdc1fa358404618f0332e7a8	SimpleAllocator.Alloc	DECLINED	-	go-probe:reset-reuse_bytes=[7_8];rust-owned-vec	source-measured-decline
O4eb7ba001a269b24	branch	pkg/util/arena/arena.go	SimpleAllocator.Alloc/if:1/false	c141b4560fc54ea79c4488c972df5e2feb119cf9c6533769e3ee44446de5d736	SimpleAllocator.Alloc	PORTED	SimpleAllocator::alloc	rust-test:source_strict_exact_fit_and_reset_contracts	probe:P001-simple-fit-offset
Odf088594e6892823	branch	pkg/util/arena/arena.go	SimpleAllocator.Alloc/if:1/true	c141b4560fc54ea79c4488c972df5e2feb119cf9c6533769e3ee44446de5d736	SimpleAllocator.Alloc	DECLINED	-	go-probe:reset-reuse_bytes=[7_8];rust-owned-vec	source-measured-decline
Oa4c15572890cfa8e	function	pkg/util/arena/arena.go	SimpleAllocator.AllocWithLen	858f57121a55e9c30780af118231f521904c2aa28f6eb3b5c3e3548ce258ebb6	SimpleAllocator.AllocWithLen	DECLINED	-	go-probe:reset-reuse_bytes=[7_8];rust-owned-vec	source-measured-decline
O852df5f6b9785d2e	function	pkg/util/arena/arena.go	SimpleAllocator.Reset	68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	SimpleAllocator.Reset	PORTED	SimpleAllocator::reset	rust-test:source_strict_exact_fit_and_reset_contracts	compile-owner-gate
O9a29a0b44c021dbd	function	pkg/util/arena/arena.go	stdAllocator.Alloc	5166da1cf54555602d6bd2531c578195b4beed06fdc1fa358404618f0332e7a8	stdAllocator.Alloc	PORTED	StdAllocator::alloc	rust-test:std_allocator	compile-owner-gate
O0cdd2940f265a708	function	pkg/util/arena/arena.go	stdAllocator.AllocWithLen	858f57121a55e9c30780af118231f521904c2aa28f6eb3b5c3e3548ce258ebb6	stdAllocator.AllocWithLen	PORTED	StdAllocator::alloc_with_len	rust-test:source_std_length_over_capacity_panics	compile-owner-gate
Ofef01640096669c6	function	pkg/util/arena/arena.go	stdAllocator.Reset	68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	stdAllocator.Reset	PORTED	StdAllocator::reset	rust-test:std_allocator	compile-owner-gate
O3d476b484446659b	declaration	pkg/util/arena/arena.go	type:Allocator	0e19abff5ab4ca3f016f0bd4d2c3595587b353348918ef75dcda88bb8e523f25	type:Allocator	PORTED	Allocator	rust-test:simple_arena_allocator	compile-owner-gate
O2f07d6e6c3a3ea1d	field	pkg/util/arena/arena.go	type:Allocator/field:0:Alloc	0981e6042dc326729467b6a0f00a5e61a4aa9c4aa5b152ca8339be63b47cbe01	type:Allocator	PORTED	Allocator	rust-test:simple_arena_allocator	compile-owner-gate
