# pkg-arena-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001	P001-simple-fit-offset	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_strict_exact_fit_and_reset_contracts	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M002	P001-simple-fit-offset	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_strict_exact_fit_and_reset_contracts	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M003	P001-simple-fit-offset	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	simple_arena_allocator	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M004	P001-simple-fit-offset	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_strict_exact_fit_and_reset_contracts	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M005	P001-simple-fit-offset	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_strict_exact_fit_and_reset_contracts	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M006	P002-invalid-length	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_simple_length_over_capacity_panics_after_allocating_capacity	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M007	P002-invalid-length	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_simple_length_over_capacity_panics_after_allocating_capacity	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M008	P002-invalid-length	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	simple_arena_allocator	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M009	P003-standard	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	std_allocator	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M010	P003-standard	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	source_std_length_over_capacity_panics	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M011	P003-standard	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	std_allocator	100	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M012	P004-decline-gate	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	arena_lockdown_inventory_and_symbols	100	rust/crates/tidb-util/src/arena.inventory.tsv	b7b04f08e57e00c86e036e79592216387da4e5800009ba47d2914aebf73a40d3	PASS
M013	P005-source-drift	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	pkg-arena-lockdown.py	1	pkg/util/arena/arena.go	2e3dc44c7791b08740f594e961fb145852c0927db65c94b4cbf0cfe02683931b	PASS
M014	P006-symbol-gate	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	arena_lockdown_inventory_and_symbols	101	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
M015	P006-symbol-gate	KILLED	4f47cc1b194b5438ae9f1d6950aa84a628b2ad3e	arena_lockdown_inventory_and_symbols	101	rust/crates/tidb-util/src/arena.rs	7ea04faa37fd2b7d2b2b00032231d0844d1e6ceaa35abffe63e5af81339d6632	PASS
