# pkg-intset-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
O42a22c8d661a43b4	function	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange	4c2983ac93baff8cd8bff48348a70af10257a30faa6c6f039cbc047d0e2421a3	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	compile-owner-gate
Of0ba5a06f4381c1d	branch	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/if:1/false	d1ce10395022a27dc17559f4a93f83c3682db79077923da38816579657402a45	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
O869daddd5f693b0f	branch	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/if:1/true	d1ce10395022a27dc17559f4a93f83c3682db79077923da38816579657402a45	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Oaec49641b49bc75b	branch	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/if:2/false	ac86b3eded9753359858356a0690dd89a6bc9ed6a6d6a9000c4fe4fec0939d63	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
O6b2fc19dd0b74b17	branch	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/if:2/true	ac86b3eded9753359858356a0690dd89a6bc9ed6a6d6a9000c4fe4fec0939d63	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Oe9012127050bb7af	short_circuit	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/logical:1:&&/lhs_short_circuits	c916f614c39c3fcc214803816075f051fb03acc9dc931368ce5d24f40f5011b5	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Ob9d581c7d85beb8b	short_circuit	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/logical:1:&&/rhs_evaluated	c916f614c39c3fcc214803816075f051fb03acc9dc931368ce5d24f40f5011b5	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Oa1c4bb9691c1493b	short_circuit	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/logical:2:&&/lhs_short_circuits	8b4c6d875c8c0f92b5261ad7db431f02e4186d95ef9657975d05b6b5068d6171	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
O08054ab14a79edda	short_circuit	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/logical:2:&&/rhs_evaluated	8b4c6d875c8c0f92b5261ad7db431f02e4186d95ef9657975d05b6b5068d6171	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Od3370df61bcedf93	loop	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/loop:1/enters	a6ac70d15be0c8a85fc33710aec82c8afad2821553c48ccd07f156a1849b1d68	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
Obf94b962c1972666	loop	pkg/util/intset/fast_int_set.go	FastIntSet.AddRange/loop:1/zero_iterations	a6ac70d15be0c8a85fc33710aec82c8afad2821553c48ccd07f156a1849b1d68	FastIntSet.AddRange	PORTED	FastIntSet::add_range	rust-test:source_range_and_error_contracts	probe:P004-range-errors
O7daa09ca0cbb7537	function	pkg/util/intset/fast_int_set.go	FastIntSet.Clear	68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	FastIntSet.Clear	PORTED	FastIntSet::clear	rust-test:source_bitmap_transition_contracts	compile-owner-gate
Obe6026b5814e22b0	branch	pkg/util/intset/fast_int_set.go	FastIntSet.Clear/if:1/false	c4446b39e0a56fdc28fef502382fdf57f8aa795f504d290cf7e30ff7d5e4a9d5	FastIntSet.Clear	PORTED	FastIntSet::clear	rust-test:source_bitmap_transition_contracts	probe:P001-representation
O60e2b7b9a90bc11c	branch	pkg/util/intset/fast_int_set.go	FastIntSet.Clear/if:1/true	c4446b39e0a56fdc28fef502382fdf57f8aa795f504d290cf7e30ff7d5e4a9d5	FastIntSet.Clear	PORTED	FastIntSet::clear	rust-test:source_bitmap_transition_contracts	probe:P001-representation
O20761db7e8dccf08	function	pkg/util/intset/fast_int_set.go	FastIntSet.Copy	73911bc86a494d8fc36704ba6c414f16014b853db60ff9b2027b2c09b7bf69dc	FastIntSet.Copy	PORTED	FastIntSet::copy	rust-test:source_bitmap_transition_contracts	compile-owner-gate
