# pkg-intset-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001	P001-representation	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_bitmap_transition_contracts	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M002	P001-representation	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_max_int_sentinel_contract	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M003	P001-representation	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_max_int_sentinel_contract	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M004	P001-representation	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_copy_from_preserves_go_representation	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M005	P001-representation	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_range_and_error_contracts	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M006	P002-set-algebra	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_mixed_representation_set_algebra	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M007	P002-set-algebra	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	two_set_ops	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M008	P002-set-algebra	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_mixed_representation_set_algebra	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M009	P003-shift-overflow	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_shift_wraps_like_go_int	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M010	P003-shift-overflow	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_shift_wraps_like_go_int	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M011	P003-shift-overflow	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	two_set_ops	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M012	P004-range-errors	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	add_range	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M013	P004-range-errors	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_range_and_error_contracts	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M014	P004-range-errors	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	add_range	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M015	P005-string-format	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	source_string_pair_and_sentinel_contracts	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M016	P005-string-format	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	string_format	100	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
M017	P006-source-drift	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	pkg-intset-lockdown.py	1	pkg/util/intset/fast_int_set.go	f6d209b6d683a08076254e0e34c5456b4aad91214d2632322907375042fca0fb	PASS
M018	P007-symbol-gate	KILLED	8e67f298381c390b12d8642761351cfd6f1a72f6	intset_lockdown_inventory_and_symbols	101	rust/crates/tidb-util/src/intset.rs	7a29edcf517f9a309a98d52c61b10a5bc28b629d2e3757fab8d6a8c8f26c59ed	PASS
