# lockdown-inventory-v1
# owning-go-source	pkg/util/mvmap/fnv.go
# source-sha256	751533a97a8383c70a9d94200838c71061fbea9a1c95d9a40b53b53058098414
id	category	go_item	status	rust_symbol	evidence
D01	declaration	offset64 uint64 constant	PORTED	OFFSET64	source_constants_and_boundary_vectors_are_exact
D02	declaration	prime64 uint64 constant	PORTED	PRIME64	source_constants_and_boundary_vectors_are_exact
F01	function	fnvHash64(data []byte) uint64	PORTED	fnv_hash64	lockdown_inventory_matches_go_source_and_rust_symbols
B01	branch	for loop visits every input byte in order	PORTED	fnv_hash64	source_constants_and_boundary_vectors_are_exact
B02	branch	nil or empty input executes zero iterations	PORTED	fnv_hash64	source_constants_and_boundary_vectors_are_exact
R01	rule	the accumulator starts at offset64	PORTED	fnv_hash64	source_constants_and_boundary_vectors_are_exact
R02	rule	each step multiplies by prime64 before XOR	PORTED	fnv_hash64	source_step_order_and_wrapping_are_exact
R03	rule	uint64 multiplication wraps modulo 2^64	PORTED	fnv_hash64	source_step_order_and_wrapping_are_exact
R04	rule	each byte is widened to uint64 without sign extension	PORTED	fnv_hash64	source_constants_and_boundary_vectors_are_exact
R05	rule	all hash state is call-local and concurrent calls are safe	PORTED	fnv_hash64	source_step_order_and_wrapping_are_exact
R06	rule	the final accumulator is returned after all bytes	PORTED	fnv_hash64	source_constants_and_boundary_vectors_are_exact
