# pkg-paging-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
O82f84871f03955d7	test_main	pkg/util/paging/main_test.go	TestMain	d11620807604065247ad8929750f05253ac5709d14da04be7888aa128c70c1a8	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O0cc99455f883173f	test_row	pkg/util/paging/main_test.go	TestMain/composite:1/element:0	02c5b54baa79aa721ac0d8ae08c21fea4842beccff6bedfbf4d58dd3bc65ac11	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Ofd575f047812b33c	test_row	pkg/util/paging/main_test.go	TestMain/composite:1/element:1	7dff9b05a1b906df6f04cdbed1cf6ed5e3b3071d1d11b406c39e111901f12bd0	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Of1839aaf41afc97d	test_row	pkg/util/paging/main_test.go	TestMain/composite:1/element:2	f98532b02d1e36b1082d611b087502514ad461824a4defeb28c01ac47c49546b	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Ode41efb1c6923b58	test_row	pkg/util/paging/main_test.go	TestMain/composite:1/element:3	3b68f0438d52cb12418c036d95b9fdf80880b5908d4d3c40ee17e9d83fec15b5	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O5450f11c521cc4be	function	pkg/util/paging/paging.go	CalculateSeekCnt	5074825cc95d5780385a8ed2e6c54ac769990d69d308c24d23c4e3b545fd25c8	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O5f9276e1fe832090	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:1/false	303febe4a66601e087ba1abfc69cc2108b675be383a3e4874a6b9112699f22fc	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
O9eb86e08385fad88	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:1/true	303febe4a66601e087ba1abfc69cc2108b675be383a3e4874a6b9112699f22fc	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
O967773e1cb627c27	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:2/false	fcddf43b1d8763478c3aa8b569b2d64beff57eafc3ec429f8d296f6cbff2b363	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
Od28fdbda27ab9e42	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:2/true	fcddf43b1d8763478c3aa8b569b2d64beff57eafc3ec429f8d296f6cbff2b363	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
O4e0c430877f55b07	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:3/false	ddbb3a96967053d8db701bf91ea9d8cece16b7ae4488980441c2c4adbb319460	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
Oc13f9b9b1bf7f616	branch	pkg/util/paging/paging.go	CalculateSeekCnt/if:3/true	ddbb3a96967053d8db701bf91ea9d8cece16b7ae4488980441c2c4adbb319460	CalculateSeekCnt	PORTED	calculate_seek_cnt	rust-test:calculate_seek_cnt_preserves_source_piecewise_boundaries	behavior-mutation
O307a9de13b9cab45	function	pkg/util/paging/paging.go	GrowPagingSize	5f794a0e6d884299c6c13417cf5995bcf0e66e69a92ff00330f31cd4feb278a0	GrowPagingSize	PORTED	grow_paging_size	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O5f6c74acda0f03a8	branch	pkg/util/paging/paging.go	GrowPagingSize/if:1/false	de411d3b495fbe039e56f5695be75b8348a1aa178a68f6232676242bcbf03914	GrowPagingSize	PORTED	grow_paging_size	rust-test:grow_paging_size_preserves_source_wrapping_and_cap_order	behavior-mutation
O7dd9da4e7ea7359c	branch	pkg/util/paging/paging.go	GrowPagingSize/if:1/true	de411d3b495fbe039e56f5695be75b8348a1aa178a68f6232676242bcbf03914	GrowPagingSize	PORTED	grow_paging_size	rust-test:grow_paging_size_preserves_source_wrapping_and_cap_order	behavior-mutation
Oda58bfdef502c278	branch	pkg/util/paging/paging.go	GrowPagingSize/if:2/false	f3bda6764ba95367544ec8eb4ec134b814424e4bbf7a6d7333bf235c5d555a91	GrowPagingSize	PORTED	grow_paging_size	rust-test:grow_paging_size_preserves_source_wrapping_and_cap_order	behavior-mutation
O39faca82d72aaee6	branch	pkg/util/paging/paging.go	GrowPagingSize/if:2/true	f3bda6764ba95367544ec8eb4ec134b814424e4bbf7a6d7333bf235c5d555a91	GrowPagingSize	PORTED	grow_paging_size	rust-test:grow_paging_size_preserves_source_wrapping_and_cap_order	behavior-mutation
O5de3e51d2968a972	const	pkg/util/paging/paging.go	const:MinAllowedMaxPagingSize:0	13111b856374ee9b5c12530b7905632e48b1f2f0494af6df4f9e37a3af168596	const:MinAllowedMaxPagingSize:0	PORTED	MIN_ALLOWED_MAX_PAGING_SIZE	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O2c31471627a762f7	const	pkg/util/paging/paging.go	const:MinPagingSize:0	c6ba3c3435dbae3b2fcf78a5ca988cd220d0da6ddb324de93c6bc109ed566228	const:MinPagingSize:0	PORTED	MIN_PAGING_SIZE	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O7588e30b6267e039	const	pkg/util/paging/paging.go	const:Threshold:0	558a483bc8f15dd3076a2b177ed62da8b1356a5d5347356f7cd95a3014f5302d	const:Threshold:0	PORTED	THRESHOLD	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O219600fe95e2f64b	const	pkg/util/paging/paging.go	const:maxPagingSizeShift:0	529e5785176011464846845b0ce2567cc0f8dab71f932b573a64ebf9d9f58bcd	const:maxPagingSizeShift:0	PORTED	MAX_PAGING_SIZE_SHIFT	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O20cfd5736262db22	const	pkg/util/paging/paging.go	const:pagingGrowingSum:0	9074b20083701ec61b4e15c5e744cce361cd90f42186ec5cc6a5bc73ca1d1efc	const:pagingGrowingSum:0	PORTED	PAGING_GROWING_SUM	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O62deb4da25079c67	const	pkg/util/paging/paging.go	const:pagingSizeGrow:0	12bdb1fc6e1f7b18454678dd46bd51213ffb8baf6afaf593fd8d0fc04b1c6a86	const:pagingSizeGrow:0	PORTED	PAGING_SIZE_GROW	rust-test:paging_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
Ob11dac76d6bd6fb0	test	pkg/util/paging/paging_test.go	TestCalculateSeekCnt	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestCalculateSeekCnt	PORTED	calculate_seek_cnt_test	rust-test:calculate_seek_cnt_test	test-evidence-gate
O94f43efd60059757	test	pkg/util/paging/paging_test.go	TestGrowPagingSize	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestGrowPagingSize	PORTED	grow_paging_size_test	rust-test:grow_paging_size_test	test-evidence-gate
O71c1e9222208fabc	test_assertion	pkg/util/paging/paging_test.go	TestGrowPagingSize/assertion:1:Equal	3134a9d95bcf0d6c283b0f427d6f63058683763211355312c802681e2dd2363c	TestGrowPagingSize	PORTED	grow_paging_size_test	rust-test:grow_paging_size_test	test-evidence-gate
Oba3bf941aa6d4722	test_assertion	pkg/util/paging/paging_test.go	TestGrowPagingSize/assertion:2:Equal	de4a702e6837c24e831ea39806c922020ff8fdd59b4bced7b207dc98760fb102	TestGrowPagingSize	PORTED	grow_paging_size_test	rust-test:grow_paging_size_test	test-evidence-gate
O8873ef06845b5ce5	test_assertion	pkg/util/paging/paging_test.go	TestGrowPagingSize/assertion:3:Equal	580b7dd9bdc2fc190f7e2b67461e32b6f443ca4678f254d11f7fa3cb599dddad	TestGrowPagingSize	PORTED	grow_paging_size_test	rust-test:grow_paging_size_test	test-evidence-gate
