# pkg-paging-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001-min-paging	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M002-max-shift	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M003-growth-factor	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M004-minimum-max	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M005-growing-sum	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M006-threshold	P001-constants	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::paging_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M007-grow-min-normalization	P002-grow-rules	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::grow_paging_size_preserves_source_wrapping_and_cap_order	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M008-grow-wrapping-double	P002-grow-rules	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::grow_paging_size_preserves_source_wrapping_and_cap_order	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M009-grow-cap-return	P002-grow-rules	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::grow_paging_size_preserves_source_wrapping_and_cap_order	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
M010-grow-uncapped-return	P002-grow-rules	KILLED	4e5f29b58742c9304564a11da0271f415147c39a	paging::tests::grow_paging_size_preserves_source_wrapping_and_cap_order	101	rust/crates/tidb-util/src/paging.rs	882d559a5990663af97e5436fa7be2403b5fea12cd9890dc343a8e42cfe07855	PASS
