# pkg-queue-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
O51f497cc47ea2c61	function	pkg/util/queue/queue.go	NewQueue	cc8a0dc80deec88f35941e7b0d7528f7438a29ea452dcf708322e68077a99505	NewQueue	PORTED	Queue::new	rust-test:source_default_and_zero_capacity_constructor_are_distinct	compile-owner-gate
Oe850d4b4b4907b51	function	pkg/util/queue/queue.go	Queue[T].Cap	27aca1c50acc4ddae7a0c3a51f8c90d522828bf7751413c0b177c7e231975cd7	Queue[T].Cap	PORTED	Queue::cap	rust-test:basic_operations	compile-owner-gate
Obf396536e795094b	function	pkg/util/queue/queue.go	Queue[T].Clear	68c515f82c8ec56c30833d428bae4214f78a7ada86af7f110938c9a0a6e42f91	Queue[T].Clear	PORTED	Queue::clear	rust-test:source_clear_retains_slots_until_overwrite_or_expand	compile-owner-gate
O1f12e422992f678e	function	pkg/util/queue/queue.go	Queue[T].ClearAndExpandIfNeed	68de98f8c8d4bf79b026184ab1f68eb181047f1e1b83c14f125dbb6d013001fc	Queue[T].ClearAndExpandIfNeed	PORTED	Queue::clear_and_expand_if_need	rust-test:source_clear_and_expand_contracts	compile-owner-gate
Oa9b082c0cc2fa94b	branch	pkg/util/queue/queue.go	Queue[T].ClearAndExpandIfNeed/if:1/false	486c3717c3645011cbe5923bd8b174f04f3a56d06114711a7c7d8d6d42e8775b	Queue[T].ClearAndExpandIfNeed	PORTED	Queue::clear_and_expand_if_need	rust-test:source_clear_and_expand_contracts	probe:P004-clear-expand
Oc4e61d5201fb9404	branch	pkg/util/queue/queue.go	Queue[T].ClearAndExpandIfNeed/if:1/true	486c3717c3645011cbe5923bd8b174f04f3a56d06114711a7c7d8d6d42e8775b	Queue[T].ClearAndExpandIfNeed	PORTED	Queue::clear_and_expand_if_need	rust-test:source_clear_and_expand_contracts	probe:P004-clear-expand
Oa3d5fad99c3483b2	function	pkg/util/queue/queue.go	Queue[T].IsEmpty	67350d3980809361b0cde81cf3ba4a5e30b997e1a0e7ea19b03a116dde33240d	Queue[T].IsEmpty	PORTED	Queue::is_empty	rust-test:basic_operations	compile-owner-gate
Od11f44f72bb97ea1	function	pkg/util/queue/queue.go	Queue[T].Len	27aca1c50acc4ddae7a0c3a51f8c90d522828bf7751413c0b177c7e231975cd7	Queue[T].Len	PORTED	Queue::len	rust-test:basic_operations	compile-owner-gate
O4722c1b0161a8b0d	function	pkg/util/queue/queue.go	Queue[T].Pop	db39790e545585a5a8cef9a87bd6f3c7e32bbd0b6a4474f74dab275baa35d51c	Queue[T].Pop	PORTED	Queue::pop	rust-test:source_wrapped_growth_preserves_fifo_order	compile-owner-gate
O04f63394b0a66d42	branch	pkg/util/queue/queue.go	Queue[T].Pop/if:1/false	4a5edff4effff50b43a128f2aafe3df71f5c50e692742d80364c430ff5907a04	Queue[T].Pop	PORTED	Queue::pop	rust-test:source_wrapped_growth_preserves_fifo_order	probe:P003-pop
O0ed591b4c2152c88	branch	pkg/util/queue/queue.go	Queue[T].Pop/if:1/true	4a5edff4effff50b43a128f2aafe3df71f5c50e692742d80364c430ff5907a04	Queue[T].Pop	PORTED	Queue::pop	rust-test:panic_on_empty_pop	probe:P003-pop
O20e2004d409fbdaf	function	pkg/util/queue/queue.go	Queue[T].Push	2efc388c993093892505c3a26cff86e701d7a895a49bd1f20cadf04123363a2a	Queue[T].Push	PORTED	Queue::push	rust-test:source_wrapped_growth_preserves_fifo_order	compile-owner-gate
O334365e111312aa1	branch	pkg/util/queue/queue.go	Queue[T].Push/if:1/false	065e9017b9c75bfd36130fa1e0040a763733d15e8384b11328a53d7b4f41f4e2	Queue[T].Push	PORTED	Queue::push	rust-test:source_default_and_zero_capacity_constructor_are_distinct	probe:P001-construction-state
O1e93a20d4163d76d	branch	pkg/util/queue/queue.go	Queue[T].Push/if:1/true	065e9017b9c75bfd36130fa1e0040a763733d15e8384b11328a53d7b4f41f4e2	Queue[T].Push	PORTED	Queue::push	rust-test:source_default_and_zero_capacity_constructor_are_distinct	probe:P001-construction-state
Oaec236f617e160d1	branch	pkg/util/queue/queue.go	Queue[T].Push/if:2/false	f0f59e2cf912eebde43b7605d78b922f3a63121faf0e1ec3b0a0d064ea1c044e	Queue[T].Push	PORTED	Queue::push	rust-test:source_wrapped_growth_preserves_fifo_order	probe:P002-fifo-growth
Oad8bec7a992b1411	branch	pkg/util/queue/queue.go	Queue[T].Push/if:2/true	f0f59e2cf912eebde43b7605d78b922f3a63121faf0e1ec3b0a0d064ea1c044e	Queue[T].Push	PORTED	Queue::push	rust-test:source_wrapped_growth_preserves_fifo_order	probe:P002-fifo-growth
O7d89f8ff5ef0e592	loop	pkg/util/queue/queue.go	Queue[T].Push/loop:1/enters	0abf3b152f58cf1cf8ce6c341f9c670e571927adfdc27db330a49fff1b7e8495	Queue[T].Push	PORTED	Queue::push	rust-test:source_wrapped_growth_preserves_fifo_order	probe:P002-fifo-growth
Oe51dcdec20744d6a	loop	pkg/util/queue/queue.go	Queue[T].Push/loop:1/zero_iterations	0abf3b152f58cf1cf8ce6c341f9c670e571927adfdc27db330a49fff1b7e8495	Queue[T].Push	PORTED	Queue::push	rust-test:source_wrapped_growth_preserves_fifo_order	probe:P002-fifo-growth
O6451da8fcb2d4790	declaration	pkg/util/queue/queue.go	type:Queue	18e094e4155e1bbb70598f244bc656e4f03a646dd2944c789617188a5994f71b	type:Queue	PORTED	Queue	rust-test:basic_operations	compile-owner-gate
Oae8cd7573f02a448	field	pkg/util/queue/queue.go	type:Queue/field:0:elements	cfdf06b3adcf3086eb592a84dc26665d4165465b9cb82b69603ab6c3c02d5338	type:Queue	PORTED	Queue	rust-test:basic_operations	compile-owner-gate
O4d7015d4b2da431a	field	pkg/util/queue/queue.go	type:Queue/field:1:head	a056c72aa0f33f7c4ca4cb10ae07c3543e8535a9f6bf53b70c8fbc488c24a8b3	type:Queue	PORTED	Queue	rust-test:basic_operations	compile-owner-gate
O392ca97ae195140d	field	pkg/util/queue/queue.go	type:Queue/field:2:tail	e90c941e7253f8d18bb29cd866c497ee28a5b5473afb69f899d08031f93cdc37	type:Queue	PORTED	Queue	rust-test:basic_operations	compile-owner-gate
Obecad3c8cba002a8	field	pkg/util/queue/queue.go	type:Queue/field:3:size	9c5c52091d9a4dd213c532e943b7ac75c69c3052179ec3df34033e66e0a82d10	type:Queue	PORTED	Queue	rust-test:basic_operations	compile-owner-gate
Oaff87a9205ed3a59	test	pkg/util/queue/queue_test.go	TestQueue	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestQueue	PORTED	Queue	rust-test:basic_operations	source-row-hash
