# pkg-queue-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001	P001-construction-state	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_default_and_zero_capacity_constructor_are_distinct	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M002	P001-construction-state	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_default_and_zero_capacity_constructor_are_distinct	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M003	P001-construction-state	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::basic_operations	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M004	P001-construction-state	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::basic_operations	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M005	P001-construction-state	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::basic_operations	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M006	P002-fifo-growth	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M007	P002-fifo-growth	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M008	P002-fifo-growth	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M009	P002-fifo-growth	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M010	P002-fifo-growth	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M011	P003-pop	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::panic_on_empty_pop	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M012	P003-pop	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_wrapped_growth_preserves_fifo_order	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M013	P003-pop	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::basic_operations	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M014	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_and_expand_contracts	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M015	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_and_expand_contracts	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M016	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_and_expand_contracts	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M017	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_retains_slots_until_overwrite_or_expand	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M018	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_and_expand_contracts	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M019	P004-clear-expand	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::source_clear_retains_slots_until_overwrite_or_expand	100	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
M020	P005-source-drift	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	pkg-queue-lockdown.py	1	pkg/util/queue/queue.go	4bdbdc1f9a50aa149673d4e80612fcdc893f6fbfd426cb452b2f9db9afe46f93	PASS
M021	P006-symbol-gate	KILLED	834e7966fec7446cbc75486367988c4d8b04669b	queue::tests::queue_lockdown_inventory_and_symbols	101	rust/crates/tidb-util/src/queue.rs	c3653c9a5a51354e3234dd88deb87ee44e4286ff1c647e34a5eab30d8fa76ca7	PASS
