# pkg-size-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
Ofd6916352007c863	const	pkg/util/size/size.go	const:GB:0	58f8c02faf18a1c021fab1adee4dd47e7c9cd3b02e6b88893d0e9a3c1edab68a	const:GB:0	PORTED	GB	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O5c98a7b6d7e626f4	const	pkg/util/size/size.go	const:KB:0	859472b2491ae390e1626fa84f063623b0c62237d4bb74ab6461236ac46cf55e	const:KB:0	PORTED	KB	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O11391805ace2795c	const	pkg/util/size/size.go	const:MB:0	b6e1ed8ee8407e4facd7467f5db56abc0464b6a4390853cd8b3e5348d10bc5c8	const:MB:0	PORTED	MB	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O60f75608507729da	const	pkg/util/size/size.go	const:PB:0	ec2a4ec774bd114fb1b56b460d872147681165a02dd73168f61562f2d4498574	const:PB:0	PORTED	PB	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
Oa3a953937d1b022e	const	pkg/util/size/size.go	const:SizeOfBool:0	deb5409459d6f15c4d3d502c4b887c094362562ff968784fbe9b3c1d0e475d77	const:SizeOfBool:0	PORTED	SIZE_OF_BOOL	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
Of84d6f997d41a952	const	pkg/util/size/size.go	const:SizeOfByte:0	88628c7af5f3819ea3e0bd347faf2f72560e96b1c8eb0e21b432d7f68b597852	const:SizeOfByte:0	PORTED	SIZE_OF_BYTE	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O1eee132e2bbbd5a8	const	pkg/util/size/size.go	const:SizeOfFloat64:0	20b2fdf28fac6341d7246491a266b546431ecd82a938a2b2e277b52ac080083b	const:SizeOfFloat64:0	PORTED	SIZE_OF_FLOAT64	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
Oaf5493c176285356	const	pkg/util/size/size.go	const:SizeOfFunc:0	c65c5e2224788b424e609cf314c2c6dbfc8d3a889f3deed9ff6d4640b647384d	const:SizeOfFunc:0	PORTED	SIZE_OF_FUNC	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
Od6f7d291787a19ad	const	pkg/util/size/size.go	const:SizeOfInt32:0	d7cf3e6b7748fad5705c3386473d7e19c45fafd62f702feb5457dffd8330689d	const:SizeOfInt32:0	PORTED	SIZE_OF_INT32	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O54e042771f981b3c	const	pkg/util/size/size.go	const:SizeOfInt64:0	9df91bb5a2c442412531b36543cec6b66042d38040df48754458f993e6d5dbf0	const:SizeOfInt64:0	PORTED	SIZE_OF_INT64	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O4b0b689ec3177ddc	const	pkg/util/size/size.go	const:SizeOfInt:0	5bdadc47baf78993d15818b9b34187ab73ed943ea666b1a5fb886142c28078bc	const:SizeOfInt:0	PORTED	SIZE_OF_INT	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O1e91f7146818affc	const	pkg/util/size/size.go	const:SizeOfInterface:0	24079a098c9667190d6a37336dd2e62cf777272c6c965fee58af19196a41239d	const:SizeOfInterface:0	PORTED	SIZE_OF_INTERFACE	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
O242c9210e4944aea	const	pkg/util/size/size.go	const:SizeOfMap:0	fc2792b2c83a4bab62dca98f7fd22523957f0bced3bd5eaebe1615e6c94e920c	const:SizeOfMap:0	PORTED	SIZE_OF_MAP	rust-test:source_constant_table_is_exact_for_the_target_word_size	compile-owner-gate
