# pkg-size-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001	P001-unit-chain	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M002	P001-unit-chain	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M003	P001-unit-chain	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M004	P001-unit-chain	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M005	P001-unit-chain	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M006	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M007	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M008	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M009	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M010	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M011	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M012	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M013	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M014	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M015	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M016	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M017	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M018	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M019	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M020	P002-abi-sizes	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::source_constant_table_is_exact_for_the_target_word_size	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
M021	P003-inventory-drift	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::lockdown_inventory_matches_go_source_and_rust_symbols	101	rust/crates/tidb-util/src/size/size.inventory.tsv	bd6dbff11f1cc3379de320a12ed34d0759442ad140563bea1aee4f02d4304aa9	PASS
M022	P004-artifact-drift	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	pkg-size-lockdown.py	1	pkg/util/size/size.go	12f3b382a01df93e5dd0a0d022f9fe965679d7cdc501c9c764e52074829b5375	PASS
M023	P004-artifact-drift	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	pkg-size-lockdown.py	1	pkg/util/size/BUILD.bazel	284f23a6ab10e49c683bbad3a0e202d6a819bfa52dcf7365fb3e26319902897c	PASS
M024	P005-symbol-gate	KILLED	88f3d872a42208925072af4d8936eec0ee67473d	size::tests::lockdown_inventory_matches_go_source_and_rust_symbols	101	rust/crates/tidb-util/src/size/mod.rs	d1f00eccdb0dd324f4c3433342a5f9ad82df0199175110ed1668f14155fdce70	PASS
