# pkg-slice-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
O7dd7e8a19a73079d	test_main	pkg/util/slice/main_test.go	TestMain	d11620807604065247ad8929750f05253ac5709d14da04be7888aa128c70c1a8	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Od63a12b80a74dbf4	test_row	pkg/util/slice/main_test.go	TestMain/composite:1/element:0	02c5b54baa79aa721ac0d8ae08c21fea4842beccff6bedfbf4d58dd3bc65ac11	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Ofcae321774aa8f5f	test_row	pkg/util/slice/main_test.go	TestMain/composite:1/element:1	7dff9b05a1b906df6f04cdbed1cf6ed5e3b3071d1d11b406c39e111901f12bd0	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O1d04c021f3c43f3c	test_row	pkg/util/slice/main_test.go	TestMain/composite:1/element:2	f98532b02d1e36b1082d611b087502514ad461824a4defeb28c01ac47c49546b	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O734d33e917167bb6	test_row	pkg/util/slice/main_test.go	TestMain/composite:1/element:3	3b68f0438d52cb12418c036d95b9fdf80880b5908d4d3c40ee17e9d83fec15b5	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O97df6ec524e19653	function	pkg/util/slice/slice.go	AllOf	2a7b33e3e7a5515949a1f27c3db2dee416a75542027981431a800532f63ae83d	AllOf	PORTED	all_of	rust-test:slice_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O65601ca3cb397017	closure	pkg/util/slice/slice.go	AllOf/closure:1	6ee89c39b43a043b6cc64476cc49b09aeefe680e2cdf61d07349e8229b8f2737	AllOf	PORTED	all_of	rust-test:all_of_preserves_source_order_short_circuit_and_empty_truth	behavior-mutation
Oea00018b9dc1a4e7	function	pkg/util/slice/slice.go	DeepClone	d2d95f7bc1ee5ce997d1963fa491e8e21cff8e911da2f20eeccbd5ee67e4d887	DeepClone	PORTED	deep_clone	rust-test:slice_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O62d5f7d1cf2bcd94	branch	pkg/util/slice/slice.go	DeepClone/if:1/false	43ca1edbf27e93c964c1f3dacca532fb6564552c4b07d7cf9ec6ca7f5b60c2c9	DeepClone	PORTED	deep_clone	rust-test:deep_clone_preserves_nil_empty_and_element_clone_ownership	behavior-mutation
Oa70ec2dfa363c4a1	branch	pkg/util/slice/slice.go	DeepClone/if:1/true	43ca1edbf27e93c964c1f3dacca532fb6564552c4b07d7cf9ec6ca7f5b60c2c9	DeepClone	PORTED	deep_clone	rust-test:deep_clone_preserves_nil_empty_and_element_clone_ownership	behavior-mutation
O911025669a74a15b	loop	pkg/util/slice/slice.go	DeepClone/loop:1/enters	94398d2f6bf320b2c73122f34258ed7433a84467cb2af75b797300d487d43bd4	DeepClone	PORTED	deep_clone	rust-test:deep_clone_invokes_clone_once_per_item_in_source_order	behavior-mutation
Of6e784c5518afdb4	loop	pkg/util/slice/slice.go	DeepClone/loop:1/zero_iterations	94398d2f6bf320b2c73122f34258ed7433a84467cb2af75b797300d487d43bd4	DeepClone	PORTED	deep_clone	rust-test:deep_clone_preserves_nil_empty_and_element_clone_ownership	behavior-mutation
Oecdbb499ede00ec5	function	pkg/util/slice/slice.go	Int64sToStrings	c013bd0f9e5c49b8e98b188d85e792b2c725ecd08c0b0d3d71190003874ac166	Int64sToStrings	PORTED	int64s_to_strings	rust-test:slice_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O9f5666bd321250d0	loop	pkg/util/slice/slice.go	Int64sToStrings/loop:1/enters	aec358c038ddfbf53e91684f91c5e3a28f1161bee669c8c1f7f8da1ac08e17d1	Int64sToStrings	PORTED	int64s_to_strings	rust-test:int64s_to_strings_preserves_source_decimal_domain	behavior-mutation
O5211334ba4c29833	loop	pkg/util/slice/slice.go	Int64sToStrings/loop:1/zero_iterations	aec358c038ddfbf53e91684f91c5e3a28f1161bee669c8c1f7f8da1ac08e17d1	Int64sToStrings	PORTED	int64s_to_strings	rust-test:int64s_to_strings_preserves_source_decimal_domain	behavior-mutation
Od720e8b3560c9142	test	pkg/util/slice/slice_test.go	TestSlice	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
Oc5e487afccbf39f9	test_assertion	pkg/util/slice/slice_test.go	TestSlice/assertion:1:Equal	bfedfe9c3ca35608d9bf10189d8cd8a082296c444fbfd4d64d19301007644bc6	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
O6706c91bd169222e	test_helper_closure	pkg/util/slice/slice_test.go	TestSlice/closure:1	30d57c9490ec3172d09125ebb843caa0af4ee11e92b9993ab11fdd217e16f193	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
O09d7e3729644ee3a	test_helper_closure	pkg/util/slice/slice_test.go	TestSlice/closure:2	c135f9613a1a65bf981af578d87ab34befee6173b15b53c5df993aec362121b9	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
O5fe6a28a7809b66f	test_row	pkg/util/slice/slice_test.go	TestSlice/composite:1/element:0	0bacb17a6cfb64ac90c27bfa475c998fc7824961b620dfbe35970ddfa0b6d065	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
Ob35746d0c47b5d74	test_row	pkg/util/slice/slice_test.go	TestSlice/composite:1/element:1	33935d710222a06d04382e390ef33cfa00f43540aee205f87f5d565e82df0f95	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
O098ac7a814670464	test_row	pkg/util/slice/slice_test.go	TestSlice/composite:1/element:2	f67f45e0340cba8c7ebcbdacde198bbf0adb34611e4f2c8d6936e4ffb2fd555b	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
O4c1c1a8663d6fbba	test_row	pkg/util/slice/slice_test.go	TestSlice/composite:1/element:3	3ae7fa707064ddaf7b6c7f7e34a5c6e3ef9d2b31a216f4d6f2d6715de712808e	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
Oeb9c7ae8d80566df	test_row	pkg/util/slice/slice_test.go	TestSlice/composite:2/element:0	19d9ceb283a2c127e2c2f498fb84d707db97242210d5ff2bc1a35e2a371e43ae	TestSlice	PORTED	TestSlice	rust-test:TestSlice	test-evidence-gate
