# pkg-slice-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001-all-of-empty	S001-all-of	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::all_of_preserves_source_order_short_circuit_and_empty_truth	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M002-all-of-order	S001-all-of	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::all_of_preserves_source_order_short_circuit_and_empty_truth	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M003-all-of-result	S001-all-of	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::all_of_preserves_source_order_short_circuit_and_empty_truth	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M004-int64-empty	S002-int64-strings	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::int64s_to_strings_preserves_source_decimal_domain	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M005-int64-order	S002-int64-strings	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::int64s_to_strings_preserves_source_decimal_domain	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M006-int64-format	S002-int64-strings	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::int64s_to_strings_preserves_source_decimal_domain	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M007-clone-nil	S003-deep-clone	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::deep_clone_preserves_nil_empty_and_element_clone_ownership	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M008-clone-capacity	S003-deep-clone	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::deep_clone_preserves_nil_empty_and_element_clone_ownership	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M009-clone-order	S003-deep-clone	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::deep_clone_invokes_clone_once_per_item_in_source_order	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M010-clone-count	S003-deep-clone	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::deep_clone_invokes_clone_once_per_item_in_source_order	100	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M011-test-mapping	S004-go-test-mapping	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M012-test-main	S005-declined-support	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M013-test-main-row-0	S005-declined-support	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M014-test-main-row-1	S005-declined-support	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M015-test-main-row-2	S005-declined-support	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M016-test-main-row-3	S005-declined-support	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/slice.inventory.tsv	cbba33ead210356041e7e55926141944686783afdff7daeb71cd9f50e4676e89	PASS
M017-build-artifact	S006-artifact-drift	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	pkg/util/slice/BUILD.bazel	764e4887dbbd32b2088a5334b2c1290fa901fe0d581153a950d1b009ad51e7de	PASS
M018-main-test-artifact	S006-artifact-drift	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	pkg/util/slice/main_test.go	53d6fcd083db19b908006557cee85cc90e842b72d52579b2b85a68b86772179c	PASS
M019-go-source-artifact	S006-artifact-drift	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	pkg/util/slice/slice.go	7cd1bb4402d53901a203f8f4075859a4149f5c2fd440d23336747163c833970b	PASS
M020-go-test-artifact	S006-artifact-drift	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	pkg-slice-lockdown.py --inventory-only	1	pkg/util/slice/slice_test.go	23b14a7d7fd19fece9346a19a6c9967488c3281a78e9cf606bf2cb85a872470d	PASS
M021-all-of-symbol	S007-symbol-gate	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::slice_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
M022-int64-symbol	S007-symbol-gate	KILLED	d61d25c49cae55e4c8271ddc25e89701a2ac8ae5	slice::tests::slice_lockdown_inventory_is_complete_and_symbols_compile	101	rust/crates/tidb-util/src/slice.rs	22af2f7a91fd48c0353e7a99af61bb5b26d9636a5bacd41e844e9257c32185ac	PASS
