# pkg-texttree-obligations-v1
obligation_id	category	source_path	ast_anchor	node_sha256	owner	status	rust_symbol	evidence	mutation_policy
O390c46a2a3df04cb	test_main	pkg/util/texttree/main_test.go	TestMain	d11620807604065247ad8929750f05253ac5709d14da04be7888aa128c70c1a8	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O85541d1336e1e576	test_row	pkg/util/texttree/main_test.go	TestMain/composite:1/element:0	02c5b54baa79aa721ac0d8ae08c21fea4842beccff6bedfbf4d58dd3bc65ac11	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Oba455eff0a4296eb	test_row	pkg/util/texttree/main_test.go	TestMain/composite:1/element:1	7dff9b05a1b906df6f04cdbed1cf6ed5e3b3071d1d11b406c39e111901f12bd0	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Oebce4e823d6f7238	test_row	pkg/util/texttree/main_test.go	TestMain/composite:1/element:2	f98532b02d1e36b1082d611b087502514ad461824a4defeb28c01ac47c49546b	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
Oba6d52ce282c0b2e	test_row	pkg/util/texttree/main_test.go	TestMain/composite:1/element:3	3b68f0438d52cb12418c036d95b9fdf80880b5908d4d3c40ee17e9d83fec15b5	TestMain	DECLINED	-	source-quote:go_testsetup_and_goleak_only	classification-evidence-gate
O3c32571f710156f3	function	pkg/util/texttree/texttree.go	Indent4Child	7d936bd4bfd58bc1c5714d92ba493097115e7fe988a03034ef75e8a6663a6a59	Indent4Child	PORTED	indent_4_child	rust-test:texttree_lockdown_inventory_is_complete_and_symbols_compile	compile-owner-gate
O772ccc73295fb7cd	branch	pkg/util/texttree/texttree.go	Indent4Child/if:1/false	1cd5515bd3aa1c38ffdb5b09dc4af9dbbc40df7f61d3c7f6599522606e621870	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
Obeafe5fed02c39ff	branch	pkg/util/texttree/texttree.go	Indent4Child/if:1/true	1cd5515bd3aa1c38ffdb5b09dc4af9dbbc40df7f61d3c7f6599522606e621870	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
O6a0ec78823a1a04b	branch	pkg/util/texttree/texttree.go	Indent4Child/if:2/false	a9cfe3c4eea4d52c58831527279ae26d61b7d44221520df1002c9420654c4f33	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
O2e20428ef387b3a5	branch	pkg/util/texttree/texttree.go	Indent4Child/if:2/true	a9cfe3c4eea4d52c58831527279ae26d61b7d44221520df1002c9420654c4f33	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
O51eee01a696d91cd	loop	pkg/util/texttree/texttree.go	Indent4Child/loop:1/enters	4b8a0aff21d868b85acda06cdea813b79c8873449e69226ddcfddaae718f33ef	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
Occ6b95cabe0dd82e	loop	pkg/util/texttree/texttree.go	Indent4Child/loop:1/zero_iterations	4b8a0aff21d868b85acda06cdea813b79c8873449e69226ddcfddaae718f33ef	Indent4Child	PORTED	indent_4_child	rust-test:indent_4_child_preserves_source_rune_rules	behavior-mutation
