# pkg-texttree-mutation-results-v1
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001-tree-body	T001-constants	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::texttree_lockdown_inventory_is_complete_and_symbols_compile	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M002-tree-middle	T001-constants	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::texttree_lockdown_inventory_is_complete_and_symbols_compile	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M003-tree-last	T001-constants	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::texttree_lockdown_inventory_is_complete_and_symbols_compile	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M004-tree-gap	T001-constants	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::texttree_lockdown_inventory_is_complete_and_symbols_compile	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M005-tree-identifier	T001-constants	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::texttree_lockdown_inventory_is_complete_and_symbols_compile	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M006-indent-gate	T002-indent-rules	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::indent_4_child_preserves_source_rune_rules	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M007-indent-scan	T002-indent-rules	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::indent_4_child_preserves_source_rune_rules	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M008-indent-replace	T002-indent-rules	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::indent_4_child_preserves_source_rune_rules	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M009-indent-suffix	T002-indent-rules	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::indent_4_child_preserves_source_rune_rules	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
M010-pretty-empty	T003-pretty-rules	KILLED	a818661ca8eec4f3225946ebad2aefbe613248ac	texttree::tests::pretty_identifier_preserves_source_rune_rules	100	rust/crates/tidb-util/src/texttree.rs	93f536058b78a023780f5bf9ffafc715a3d4e37e805603da16687a6f72cfdd96	PASS
