# pkg-zeropool-mutation-results-v2
mutation_id	suite_id	status	baseline_commit	named_test	exit_code	source_file	source_sha256	restore_status
M001-zero-fallback	Z001-pool-behavior	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::source_factory_and_zero_value_boundaries_are_exact	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M002-factory-invocation	Z001-pool-behavior	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::source_factory_and_zero_value_boundaries_are_exact	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M003-pooled-retrieval	Z001-pool-behavior	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::source_factory_and_zero_value_boundaries_are_exact	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M004-put-availability	Z001-pool-behavior	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::source_factory_and_zero_value_boundaries_are_exact	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M005-poison-recovery	Z002-safety-and-ownership	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::poisoned_mutex_does_not_add_a_failure_mode	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M006-copy-prohibition	Z002-safety-and-ownership	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	zeropool::tests::pool_cannot_be_copied_after_use	101	rust/crates/tidb-util/src/zeropool/mod.rs	0c2837a895a24561b9bd29a1dda02aabf8d00dde43c5b9ebb609fec240dbd712	PASS
M007-go-test-mapping	Z003-go-test-mapping	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.inventory.tsv	8594a10c478378fd77fe81ab40f2bf3c26f149aee741dc062d500aca4945cf74	PASS
M008-benchmark-ZeropoolPool	Z004-benchmark-mapping	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.inventory.tsv	8594a10c478378fd77fe81ab40f2bf3c26f149aee741dc062d500aca4945cf74	PASS
M009-benchmark-SyncPoolValue	Z004-benchmark-mapping	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.inventory.tsv	8594a10c478378fd77fe81ab40f2bf3c26f149aee741dc062d500aca4945cf74	PASS
M010-benchmark-SyncPoolNewPointer	Z004-benchmark-mapping	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.inventory.tsv	8594a10c478378fd77fe81ab40f2bf3c26f149aee741dc062d500aca4945cf74	PASS
M011-benchmark-SyncPoolPointer	Z004-benchmark-mapping	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.inventory.tsv	8594a10c478378fd77fe81ab40f2bf3c26f149aee741dc062d500aca4945cf74	PASS
M012-semantic-S01	Z005-semantic-evidence	KILLED	0e633eeff8a9afd0f81a735a66bf2b74a331a8a7	pkg-zeropool-lockdown.py --inventory-only	1	rust/crates/tidb-util/src/zeropool/zeropool.semantic-divergences.tsv	0d2d87c91709340a7ac4c31517fa1c6faf3b3f0a1b87af6269f9dab2f9bbc180	PASS
