# Campaign 20 ownership transfers into the stored-column SQL-node milestone.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
planner-executor-right-natural-join-runtime	planner-static-bigint-projection-runtime	pkg/planner/core/logical_plan_builder.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 20 transfers pkg/planner/core/logical_plan_builder.go to the bounded multi-column read owner at conservative PARTIAL status while preserving explicit remaining gaps.
planner-tikv-table-read-task-runtime	planner-static-bigint-projection-runtime	pkg/planner/core/operator/physicalop/physical_table_scan.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 20 transfers pkg/planner/core/operator/physicalop/physical_table_scan.go to the bounded multi-column read owner at conservative PARTIAL status while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	pkg/planner/core/planbuilder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 20 transfers pkg/planner/core/planbuilder.go to the bounded multi-column read owner at conservative PARTIAL status while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	82	TestDAGPlanBuilderSimpleCase	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:82:TestDAGPlanBuilderSimpleCase to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	90	TestDAGPlanBuilderSimpleCaseForNextGen	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:90:TestDAGPlanBuilderSimpleCaseForNextGen to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	98	TestDAGPlanBuilderJoin	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:98:TestDAGPlanBuilderJoin to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	133	TestDAGPlanBuilderSubquery	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:133:TestDAGPlanBuilderSubquery to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	170	TestDAGPlanTopN	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:170:TestDAGPlanTopN to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	200	TestDAGPlanBuilderBasePhysicalPlan	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:200:TestDAGPlanBuilderBasePhysicalPlan to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
planner-single-table-read-lowering	planner-static-bigint-projection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	244	TestDAGPlanBuilderUnion	rust/difftests/corpus/coverage/evidence/tests/planner-single-table-read-lowering.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-static-bigint-projection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_scan_source.rs	Campaign 20 transfers pkg/planner/core/casetest/dag/dag_test.go:244:TestDAGPlanBuilderUnion to the bounded multi-column read owner at PARTIAL while preserving explicit remaining gaps.
