# Campaign 21 ownership transfers into the concurrent authenticated SQL-node milestone.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	client-go::internal/client/client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/src/rpc/transport_runtime.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	client-go::internal/client/client_async.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batch-coprocessor-dispatch-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/src/rpc/transport_runtime.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	client-go::internal/client/client_batch.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/src/rpc/transport_runtime.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	client-go::internal/client/conn_pool.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/src/rpc/transport_runtime.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_async_test.go	38	TestSendRequestAsyncBasic	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_async_test.go	104	TestSendRequestAsyncAttachContext	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_async_test.go	239	TestSendRequestAsyncTimeout	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_async_test.go	354	TestSendRequestAsyncAndCloseClientOnHandle	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_async_test.go	406	TestSendRequestAsyncAndCloseClientBeforeSend	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-region-cache-maintenance-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	68	TestConn	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-region-cache-maintenance-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	103	TestGetConnAfterClose	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	172	TestSendWhenReconnect	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	406	TestForwardMetadataByBatchCommands	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	941	TestBatchClientRecoverAfterServerRestart	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-scheduler-core	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	1018	TestLimitConcurrency	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-live-pd-batch-topology	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	1177	TestRandomRestartStoreAndForwarding	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-tonic-failure-generation-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	1272	TestErrConn	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-tonic-failure-generation-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batch-coprocessor-dispatch-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	1303	TestFastFailWhenNoAvailableConn	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-batchcommands-tonic-stream-runtime	txnkv-cloneable-transport-authority	-	client-go::internal/client/client_test.go	1335	TestConcurrentCloseConnPanic	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-cloneable-transport-authority.tsv,rust/crates/tidb-txnkv/tests/transport_authority_concurrency_source.rs	Campaign 21 transfers the exact obligation to txnkv-cloneable-transport-authority at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-read-runtime-seams	distsql-session-read-authority-runtime	pkg/store/copr/coprocessor.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-read-runtime-seams.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-read-runtime-seams	distsql-session-read-authority-runtime	-	pkg/store/copr/coprocessor_test.go	902	TestBasicSmallTaskConc	-	rust/difftests/corpus/coverage/evidence/tests/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/tests/session_read_authority_source.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-read-runtime-seams	distsql-session-read-authority-runtime	-	pkg/store/copr/coprocessor_test.go	988	TestSmallTaskConcurrencyLimit	-	rust/difftests/corpus/coverage/evidence/tests/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/tests/session_read_authority_source.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-unlocked-store-refresh-runtime	distsql-session-read-authority-runtime	client-go::internal/locate/region_cache.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
distsql-batchcommands-region-request-runtime	distsql-session-read-authority-runtime	client-go::internal/locate/region_request.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
txnkv-unlocked-store-refresh-runtime	distsql-session-read-authority-runtime	-	client-go::internal/locate/region_cache_test.go	100	TestBackgroundRunner	-	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-session-read-authority-runtime.tsv,rust/crates/tidb-distsql/tests/session_read_authority_source.rs	Campaign 21 transfers the exact obligation to distsql-session-read-authority-runtime at conservative PARTIAL status; predecessor evidence is preserved by the checked chain and remaining gaps stay explicit.
