# Campaign 23 ownership transfers for DAG Selection lowering, real TiKV execution, and live proof.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	pkg/planner/core/planbuilder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 23 transfers the configured read-only planner source at conservative PARTIAL and adds bounded signed-BIGINT Selection binding without claiming the general PlanBuilder surface.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	pkg/planner/core/logical_plan_builder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 23 transfers the logical planner source at conservative PARTIAL and adds one scan-plus-Selection path while general logical planning remains open.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	pkg/planner/core/operator/physicalop/physical_table_scan.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-static-bigint-projection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/src/read_only_scan.rs	Campaign 23 transfers the bounded table-scan source at conservative PARTIAL and adds predicate-only scan inputs plus final projection offsets without claiming ranges indexes partitions costs or statistics.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	82	TestDAGPlanBuilderSimpleCase	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; only the configured single-scan signed-BIGINT Selection subset is added and the broader data-driven corpus remains open.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	90	TestDAGPlanBuilderSimpleCaseForNextGen	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; next-generation planner construction and its original corpus remain open.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	98	TestDAGPlanBuilderJoin	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; joins remain outside the bounded configured-table Selection planner.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	133	TestDAGPlanBuilderSubquery	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; subqueries and correlation remain outside the bounded planner.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	170	TestDAGPlanTopN	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; TopN ordering and limits remain unported.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	200	TestDAGPlanBuilderBasePhysicalPlan	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; only bounded table-scan and Selection ownership is added while the physical-plan hierarchy remains open.
planner-static-bigint-projection-runtime	planner-read-only-bigint-selection-runtime	-	pkg/planner/core/casetest/dag/dag_test.go	244	TestDAGPlanBuilderUnion	-	rust/difftests/corpus/coverage/evidence/tests/planner-read-only-bigint-selection-runtime.tsv,rust/crates/tidb-planner/tests/read_only_bigint_selection_source.rs	Campaign 23 transfers the exact test at conservative PARTIAL; UNION and set-operation planning remain unported.
