# Campaign 24 ownership transfers for exact clustered signed BIGINT range detachment.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
planner-range-detacher-wave	planner-clustered-signed-bigint-ranger-runtime	-	pkg/util/ranger/ranger_test.go	45	TestTableRange	rust/difftests/corpus/coverage/evidence/tests/planner-range-detacher-wave.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-clustered-signed-bigint-ranger-runtime.tsv,rust/crates/tidb-planner/tests/clustered_signed_bigint_ranger_source.rs	Transfer remains PARTIAL and adds only the exact signed clustered-handle subset; the predecessor boolean detachment evidence and the original typed matrix remain represented as open gaps.
planner-range-detacher-wave	planner-clustered-signed-bigint-ranger-runtime	-	pkg/util/ranger/ranger_test.go	1917	TestRangeFallbackForDetachCondAndBuildRangeForIndex	rust/difftests/corpus/coverage/evidence/tests/planner-range-detacher-wave.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-clustered-signed-bigint-ranger-runtime.tsv,rust/crates/tidb-planner/tests/clustered_signed_bigint_ranger_source.rs	Transfer remains PARTIAL and adds stable access-index and residual ownership without claiming index detachment or range-memory fallback.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	pkg/distsql/request_builder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/src/signed_handle_range.rs	Campaign 24 transfers this source at conservative PARTIAL for exact signed-handle range bytes while broader RequestBuilder behavior remains open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	46	TestTableHandlesToKVRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	79	TestTablePartitionHandlesToKVRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	123	TestTableRangesToKVRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	185	TestIndexRangesToKVRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	249	TestRequestBuilder1	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	333	TestRequestBuilder2	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
distsql-request-builder-complete-envelope	distsql-signed-handle-range-request-runtime	-	pkg/distsql/request_builder_test.go	417	TestRequestBuilder3	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-signed-handle-range-request-runtime.tsv,rust/crates/tidb-distsql/tests/signed_handle_range_request_source.rs	Campaign 24 transfers the exact obligation at conservative PARTIAL; only the signed-handle encoding subset is added and the remaining source behavior stays open.
