# Campaign 25 ownership transfers, appended only as each dependency root is implemented and promoted.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
planner-read-only-bigint-selection-runtime	planner-configured-relation-tree-binding-runtime	pkg/planner/core/planbuilder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-read-only-bigint-selection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/planner-configured-relation-tree-binding-runtime.tsv,rust/crates/tidb-planner/src/configured_relation_tree.rs	Transfer remains PARTIAL: the successor adds exactly-two-relation configured name binding while general PlanBuilder operators, coercion, subqueries, aggregation, ordering, DML, and optimizer behavior remain open.
planner-read-only-bigint-selection-runtime	planner-configured-relation-tree-binding-runtime	pkg/planner/core/logical_plan_builder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-read-only-bigint-selection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/planner-configured-relation-tree-binding-runtime.tsv,rust/crates/tidb-planner/src/configured_relation_tree.rs	Transfer remains PARTIAL: the successor binds direct projections and per-relation signed-BIGINT predicates but leaves FullSchema join planning, ON and USING classification, pushdown, reordering, and general logical-plan construction open.
planner-outer-to-inner-join-wave	planner-configured-relation-tree-binding-runtime	-	pkg/planner/core/logical_plans_test.go	202	TestSimplifyOuterJoin	rust/difftests/corpus/coverage/evidence/tests/planner-outer-to-inner-join-wave.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-configured-relation-tree-binding-runtime.tsv,rust/crates/tidb-planner/tests/configured_relation_tree_binding_source.rs	Transfer remains PARTIAL and adds fail-closed rejection of outer joins; null-rejection analysis and outer-to-inner rewriting remain open.
planner-residual-condition-wave	planner-configured-relation-tree-binding-runtime	-	pkg/planner/core/logical_plans_test.go	402	TestDupRandJoinCondsPushDown	rust/difftests/corpus/coverage/evidence/tests/planner-residual-condition-wave.tsv	rust/difftests/corpus/coverage/evidence/tests/planner-configured-relation-tree-binding-runtime.tsv,rust/crates/tidb-planner/tests/configured_relation_tree_binding_source.rs	Transfer remains PARTIAL and adds source-identified local conjunction binding; RAND conditions, general residual evaluation, pushdown, and join execution remain open.
planner-static-bigint-projection-runtime	planner-configured-relation-tree-binding-runtime	-	pkg/planner/core/logical_plans_test.go	568	TestPlanBuilder	-	rust/difftests/corpus/coverage/evidence/tests/planner-configured-relation-tree-binding-runtime.tsv,rust/crates/tidb-planner/tests/configured_relation_tree_binding_source.rs	Transfer remains PARTIAL and extends the configured projection boundary to two name-bound relations; general catalogs and planner construction remain open.
planner-executor-typed-join-runtime	planner-configured-fullschema-join-runtime	pkg/planner/core/operator/logicalop/logical_join.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-configured-fullschema-join-runtime.tsv,rust/crates/tidb-planner/src/configured_join_plan.rs,rust/crates/tidb-planner/src/join_condition.rs	Transfer remains PARTIAL: the successor composes stable FullSchema offsets and one configured non-null signed-BIGINT equality while the predecessor typed equality authority remains reused; semi, anti, null-aware, outer joins, residual execution, predicate derivation, reordering, statistics, and physical alternatives remain open.
planner-logical-schema-producer-wave	planner-configured-fullschema-join-runtime	pkg/planner/core/operator/logicalop/logical_schema_producer.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-logical-schema-producer-wave.tsv	rust/difftests/corpus/coverage/evidence/source/planner-configured-fullschema-join-runtime.tsv,rust/crates/tidb-planner/src/configured_join_plan.rs,rust/crates/tidb-planner/src/logical_schema_producer.rs	Transfer remains PARTIAL and adds bounded physical and visible FullSchema offsets without erasing the predecessor identity implementation; general schema propagation, names, BaseLogicalPlan children, full FieldType, collation, VirtualExpr metadata, hashing, and arbitrary operators remain open.
planner-executor-typed-join-runtime	planner-configured-fullschema-join-runtime	-	pkg/planner/core/casetest/join/join_test.go	96	TestJoinWithNullEQ	-	rust/difftests/corpus/coverage/evidence/tests/planner-configured-fullschema-join-runtime.tsv,rust/crates/tidb-planner/tests/configured_fullschema_join_source.rs,rust/crates/tidb-exec/tests/typed_join_runtime_source.rs	Transfer remains PARTIAL: Campaign 25 adds a typed fail-closed NullEQ boundary while the predecessor live NullEQ runtime and immutable planner-executor-typed-join-runtime split-domain label remain represented; Cascades plan shape, derived and INTERSECT semi joins, nullable configured execution, and null-aware anti joins remain open.
executor-real-tikv-bigint-selection-runtime	executor-real-tikv-multi-relation-scan-runtime	pkg/distsql/select_result.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-real-tikv-bigint-selection-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/executor-real-tikv-multi-relation-scan-runtime.tsv,rust/crates/tidb-exec/src/real_tikv_multi_read.rs	Transfer remains PARTIAL and adds two source-ordered lazy results under one statement snapshot; complete result iteration, memory, paging, feedback, and non-BIGINT decoding remain open.
executor-real-tikv-clustered-pk-range-runtime	executor-real-tikv-multi-relation-scan-runtime	pkg/executor/builder.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-real-tikv-clustered-pk-range-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/executor-real-tikv-multi-relation-scan-runtime.tsv,rust/crates/tidb-exec/src/real_tikv_multi_read.rs	Transfer remains PARTIAL and composes exactly two validated configured readers; general executor construction, joins, aggregation, writes, and dynamic catalogs remain open.
