# Campaign 27 moves the parser entry point from broad parser-manifest ownership to one exact prepared-marker owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
parser-workstream	parser-prepared-param-marker-runtime	pkg/parser/parser.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/source/parser-prepared-param-marker-runtime.tsv,rust/crates/tidb-planner/tests/prepared_param_marker_source.rs	Transfer remains PARTIAL: the successor owns typed statement-local marker numbering and one configured signed-BIGINT primary-key binding path; the broad parser entry point, SQL PREPARE/EXECUTE runtime, arbitrary parameters, and all other parser behavior remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/conn.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/driver.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/driver_tidb.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/internal/parse/parse.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/server.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	pkg/server/user_connections.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/src/mysql_connection.rs	Transfer remains PARTIAL: the authenticated prepared route adds per-connection handles, typed execute binding, real-PD/TiKV execution, and binary rows; broader server, commands, writes, and transactions remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	595	TestIssue1768	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	621	TestInitialHandshake	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	670	TestDispatch	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	789	TestDispatchClientProtocol41	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	909	TestQueryEndWithZero	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	991	TestGetSessionVarsWaitTimeout	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1024	TestConnExecutionTimeout	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1108	TestShutDown	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1168	TestCommitWaitGroup	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1532	TestHandleAuthPlugin	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1879	TestChangeUserAuth	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
