# Checked consolidation of FieldType, Datum, conversion-context, truncate, and OutputFormat owners.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
datatype-field-type-authority	datatype-value-context-and-format	pkg/parser/types/field_type.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/src/field_type/mod.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	Parser FieldType moves into the collision-free datatype ownership bundle; its real OutputFormat call path remains independent.
datatype-field-type-authority	datatype-value-context-and-format	pkg/types/field_type.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/src/field_type/aggregate.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	Runtime FieldType aggregation moves into the same ownership bundle without inventing a new consumer.
datatype-conversion-context	datatype-value-context-and-format	pkg/types/context.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-conversion-context.tsv	rust/crates/tidb-datatype/src/conversion_context/mod.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	Typed warning-appender input remains datatype-owned while storage stays external.
datatype-datum-sentinel-order	datatype-value-context-and-format	pkg/types/datum.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-datum-sentinel-order.tsv	rust/crates/tidb-datatype/src/datum.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	Datum scalar and sentinel ordering move into the ownership bundle while remaining on the independent Datum path.
datatype-truncate-policy	datatype-value-context-and-format	pkg/types/truncate.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-truncate-policy.tsv	rust/crates/tidb-datatype/src/truncate.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	Truncation decision moves with ConversionContext flags and warning input.
datatype-output-format-authority	datatype-value-context-and-format	pkg/util/format/format.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/datatype-output-format-authority.tsv	rust/crates/tidb-datatype/src/format.rs,rust/difftests/corpus/coverage/evidence/source/datatype-value-context-and-format.tsv	OutputFormat moves with FieldType formatting.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/parser/types/field_type_test.go	30	TestFieldType	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Parser FieldType vectors move to the canonical FieldType test target.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/parser/types/field_type_test.go	197	TestHasCharsetFromStmt	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Charset partition vectors move with FieldType.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/parser/types/field_type_test.go	245	TestEnumSetFlen	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Enum and set length vectors move with FieldType.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/parser/types/field_type_test.go	276	TestFieldTypeEqual	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	FieldType equality vectors move to the canonical owner.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/parser/types/field_type_test.go	303	TestCompactStr	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Compact formatting moves with OutputFormat consumption.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	25	TestFieldType	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Runtime FieldType metadata vectors move to the canonical FieldType test target.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	159	TestDefaultTypeForValue	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Value-shape FieldType vectors move to the canonical owner.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	209	TestAggFieldType	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Aggregate FieldType table vectors move together.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	303	TestAggFieldTypeForTypeFlag	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Type-flag aggregate vectors move together.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	330	TestAggFieldTypeForIntegralPromotion	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Integral-promotion vectors move together.
datatype-field-type-authority	datatype-value-context-and-format	-	pkg/types/field_type_test.go	368	TestAggregateEvalType	rust/difftests/corpus/coverage/evidence/tests/datatype-field-type-authority.tsv	rust/crates/tidb-datatype/tests/field_type_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Aggregate eval-type vectors move together.
datatype-conversion-context	datatype-value-context-and-format	-	pkg/types/context_test.go	0	context_test.go	rust/difftests/corpus/coverage/evidence/tests/datatype-conversion-context.tsv	rust/crates/tidb-datatype/tests/conversion_context_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Context test-file obligation moves with ConversionContext.
datatype-conversion-context	datatype-value-context-and-format	-	pkg/types/context_test.go	27	TestWithNewFlags	rust/difftests/corpus/coverage/evidence/tests/datatype-conversion-context.tsv	rust/crates/tidb-datatype/tests/conversion_context_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	WithFlags vectors move with ConversionContext.
datatype-conversion-context	datatype-value-context-and-format	-	pkg/types/context_test.go	36	TestSimpleOnOffFlags	rust/difftests/corpus/coverage/evidence/tests/datatype-conversion-context.tsv	rust/crates/tidb-datatype/tests/conversion_context_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Flag vectors move with ConversionContext.
datatype-truncate-policy	datatype-value-context-and-format	-	pkg/types/binary_literal_test.go	194	TestBinaryLiteral/TestToInt	rust/difftests/corpus/coverage/evidence/tests/datatype-truncate-policy.tsv	rust/crates/tidb-datatype/tests/truncate_policy_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Binary-literal truncation vectors move with their decision context.
datatype-datum-sentinel-order	datatype-value-context-and-format	-	pkg/types/compare_test.go	154	TestCompareDatum	rust/difftests/corpus/coverage/evidence/tests/datatype-datum-sentinel-order.tsv	rust/crates/tidb-datatype/tests/datum_sentinel_order_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Datum sentinel ordering vectors move with the canonical Datum test target.
datatype-output-format-authority	datatype-value-context-and-format	-	pkg/util/format/format_test.go	0	format_test.go	rust/difftests/corpus/coverage/evidence/tests/datatype-output-format-authority.tsv	rust/crates/tidb-datatype/tests/format_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Formatter file obligation moves with OutputFormat.
datatype-output-format-authority	datatype-value-context-and-format	-	pkg/util/format/format_test.go	34	TestFormat	rust/difftests/corpus/coverage/evidence/tests/datatype-output-format-authority.tsv	rust/crates/tidb-datatype/tests/format_source.rs,rust/difftests/corpus/coverage/evidence/tests/datatype-value-context-and-format.tsv	Formatter vectors move with OutputFormat.
