# Consolidate isolated EMA, KeyRanges, and task-construction evidence into paging continuation.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-read-bytes-ema	distsql-cop-paging-continuation	pkg/store/copr/ema.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-read-bytes-ema.tsv	rust/crates/tidb-distsql/src/read_bytes_ema.rs,rust/crates/tidb-distsql/src/cop_paging.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	EMA now has its source response-byte extractor and observation call site.
txnkv-copr-key-ranges	distsql-cop-paging-continuation	pkg/store/copr/key_ranges.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-copr-key-ranges.tsv	rust/crates/tidb-txnkv/src/key_ranges.rs,rust/crates/tidb-distsql/src/cop_paging.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	Canonical KeyRanges now drives directional retry and successful continuation.
distsql-region-task-construction	distsql-cop-paging-continuation	pkg/store/copr/coprocessor.go	-	-	-	-	rust/crates/tidb-distsql/src/region_task.rs,rust/crates/tidb-distsql/src/cop_paging.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	Task paging construction now connects to response continuation while the old owner file remains for untransferred region-cache evidence.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	607	TestBuildPagingTasks	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Minimum row page construction remains covered in the connected owner; the old owner file retains untransferred tests.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	639	TestBuildCopTaskDoesNotCancelBoCtx	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Immutable request-state evidence transfers while the absent Backoffer cancellation object remains partial.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	674	TestBuildPagingTasksDisablePagingForSmallLimit	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Small-limit paging downgrade remains covered.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	710	TestBuildCopTasksWithPagingSizeBytes	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Byte budget channel sizing and prediction now feed the continuation owner.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	913	TestBuildCopTasksWithRowCountHint	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	All row-hint splits and concurrency outcomes transfer unchanged.
distsql-region-task-construction	distsql-cop-paging-continuation	-	pkg/store/copr/coprocessor_test.go	1055	TestStoreBatchTasksPreserveChildBucketsVersion	-	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Child bucket versions remain preserved on the StoreBatchTask wire projection.
distsql-read-bytes-ema	distsql-cop-paging-continuation	-	pkg/store/copr/ema_test.go	28	TestRUEMASeedAndConverge	rust/difftests/corpus/coverage/evidence/tests/distsql-read-bytes-ema.tsv	rust/crates/tidb-distsql/tests/read_bytes_ema_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Seed and convergence evidence transfers unchanged.
distsql-read-bytes-ema	distsql-cop-paging-continuation	-	pkg/store/copr/ema_test.go	29	TestRUEMASeedAndConverge/seeded prediction	rust/difftests/corpus/coverage/evidence/tests/distsql-read-bytes-ema.tsv	rust/crates/tidb-distsql/tests/read_bytes_ema_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Seeded prediction subtest transfers unchanged.
distsql-read-bytes-ema	distsql-cop-paging-continuation	-	pkg/store/copr/ema_test.go	40	TestRUEMASeedAndConverge/unseeded first observation	rust/difftests/corpus/coverage/evidence/tests/distsql-read-bytes-ema.tsv	rust/crates/tidb-distsql/tests/read_bytes_ema_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	Unseeded first observation subtest transfers unchanged.
