# Atomically consolidate seven predecessor manifests into one canonical coprocessor read-task owner; historical transfer ledgers remain immutable.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	pkg/store/copr/coprocessor.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/src/cop_paging.rs,rust/crates/tidb-distsql/src/region_task.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	Paging continuation and task construction now have one source owner; live transport gaps remain explicit.
distsql-copr-cache-live-runtime	distsql-cop-read-task-runtime	pkg/store/copr/coprocessor_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-copr-cache-live-runtime.tsv	rust/crates/tidb-distsql/src/copr_cache.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	The bounded cache authority moves unchanged beside the read-task lifecycle that prepares and restores it.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	pkg/store/copr/ema.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/src/read_bytes_ema.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	EMA feedback remains connected to the paging-response byte extractor.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	pkg/store/copr/key_ranges.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-paging-continuation.tsv	rust/crates/tidb-txnkv/src/key_ranges.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	Canonical KeyRanges remains the task-building and directional-continuation authority.
distsql-region-task-construction	distsql-cop-read-task-runtime	pkg/store/copr/region_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/src/region_location.rs,rust/crates/tidb-distsql/src/region_task.rs,rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	Checked location coverage moves with its sole region-task consumer; live RegionCache and PD behavior remain open.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	43	TestEnsureMonotonicKeyRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Monotonic ordering evidence transfers unchanged.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	63	TestBuildTasksWithoutBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Non-bucket task construction transfers unchanged.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	189	TestBuildTasksByBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Bucket task construction transfers unchanged.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	387	TestSplitKeyRangesByLocationsWithoutBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Location splitting evidence transfers unchanged.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	473	TestSplitKeyRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Region-range split tables transfer unchanged.
distsql-region-task-construction	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	544	TestRebuild	rust/difftests/corpus/coverage/evidence/tests/distsql-region-task-construction.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Observable-topology rebuild evidence transfers with live refresh still partial.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	607	TestBuildPagingTasks	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Minimum row paging construction transfers unchanged.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	639	TestBuildCopTaskDoesNotCancelBoCtx	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Immutable request-state evidence transfers while Backoffer cancellation remains partial.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	674	TestBuildPagingTasksDisablePagingForSmallLimit	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Small-limit paging downgrade transfers unchanged.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	710	TestBuildCopTasksWithPagingSizeBytes	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Byte paging and EMA prediction evidence transfers unchanged.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	786	TestCalculateRetry	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/cop_paging_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Directional retry tables transfer unchanged.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	844	TestCalculateRemain	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/cop_paging_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Successful continuation tables transfer unchanged.
distsql-cop-paging-continuation	distsql-cop-read-task-runtime	-	pkg/store/copr/coprocessor_test.go	902	TestBasicSmallTaskConc	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-paging-continuation.tsv	rust/crates/tidb-distsql/tests/region_task_builder_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	Small-task concurrency boundaries transfer unchanged.
