# Exact 92-row atomic transfer from the three predecessor owners into the connected direct-unary successor.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/coprocessor.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/coprocessor_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-distsql/src/copr_cache.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/ema.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-distsql/src/read_bytes_ema.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/key_ranges.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-txnkv/src/key_ranges.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/region_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-distsql/src/region_task.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/copr/store.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-txnkv/src/client.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/driver/backoff/backoff.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-txnkv/src/client.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/driver/options/options.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-txnkv/src/client.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-tikv-unary-rpc-contract	distsql-direct-unary-client-runtime	pkg/store/driver/tikv_driver.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-txnkv/src/client.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
distsql-query-response-runtime	distsql-direct-unary-client-runtime	pkg/distsql/distsql.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-query-response-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-direct-unary-client-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Source ownership moves atomically into the connected successor; prior status and explicit live-network, discovery, retry, lock, cancellation, and broader-semantic gaps remain measured.
