# Atomically consolidate DistSQL query dispatch and response-consumption ownership without claiming concrete transport.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-injected-query-runtime	distsql-query-response-runtime	pkg/distsql/distsql.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/src/query_runtime.rs,rust/difftests/corpus/coverage/evidence/source/distsql-query-response-runtime.tsv	The injected request dispatch and its returned pull-based raw QueryResponse become one canonical source owner while all concrete transport gaps remain explicit.
distsql-select-response-consumption	distsql-query-response-runtime	pkg/distsql/select_result.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-select-response-consumption.tsv	rust/crates/tidb-distsql/src/query_runtime/query_response.rs,rust/crates/tidb-distsql/src/response_channel.rs,rust/difftests/corpus/coverage/evidence/source/distsql-query-response-runtime.tsv	The existing response decoder is consumed once by the new raw QuerySelectResult lifecycle owner; no concrete RPC, table-reader, or additional decoding behavior is claimed.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/BUILD.bazel	57	distsql_test	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	The package target remains PARTIAL around the same dependency-closed Rust runtime.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	0	distsql_test.go	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	The distsql.go test-file obligation moves intact.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	42	TestSelectNormal	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-exec/tests/distsql_query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	The real Rust request-to-raw-response-to-iterator-to-DistSqlRecordSet consumer path moves intact; concrete TiKV response production remains open.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	61	TestSelectMemTracker	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	Request memory-tracker metadata moves without claiming byte accounting.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	73	TestSelectNormalChunkSize	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	Paging and concurrency metadata plus bounded RecordSet consumption move unchanged.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	82	TestSelectWithRuntimeStats	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	Runtime plan metadata remains attached across the sole raw-owner-to-iterator transfer.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	106	TestSelectResultRuntimeStats	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	Same-pull runtime data and its accumulation move with the query-to-response owner while exact Go formatting remains open.
distsql-injected-query-runtime	distsql-query-response-runtime	-	pkg/distsql/distsql_test.go	154	TestAnalyze	rust/difftests/corpus/coverage/evidence/tests/distsql-injected-query-runtime.tsv	rust/crates/tidb-distsql/tests/query_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/distsql-query-response-runtime.tsv	ANALYZE request-source and result-label evidence moves unchanged.
