# Consolidates all request-builder fragments into one canonical source and test owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-table-handle-row-key-ranges	distsql-request-builder-complete-envelope	pkg/distsql/request_builder.go	-	-	-	-	rust/crates/tidb-distsql/src/request_builder.rs,rust/crates/tidb-distsql/src/transport.rs	The full Go source anchor moves once into the canonical owner while the bounded range implementation remains a helper
distsql-raw-request-envelope-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	0	request_builder_test.go	-	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	The file-level partial obligation moves to the complete inventory
distsql-table-handle-row-key-ranges	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	46	TestTableHandlesToKVRanges	-	rust/crates/tidb-distsql/tests/table_handle_ranges_source.rs	Exact prior handle test evidence moves without status loss
distsql-table-handle-row-key-ranges	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	79	TestTablePartitionHandlesToKVRanges	-	rust/difftests/corpus/coverage/evidence/tests/distsql-request-builder-complete-envelope.tsv	Exact prior partition-handle test evidence moves without status loss
distsql-raw-request-envelope-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	249	TestRequestBuilder1	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Raw payload evidence is absorbed into the canonical target
distsql-request-builder-source-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	587	TestRequestBuilder7	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Replica-mode evidence moves to the canonical target
distsql-request-kv-build-wave3	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	628	TestRequestBuilder8	-	rust/crates/tidb-distsql/src/request_builder.rs,rust/crates/tidb-distsql/tests/request_builder_source.rs	Build defaults move from the fragment builder to RequestBuilder
distsql-request-builder-source-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	654	TestRequestBuilderKeepsPagingSizeBytesWhenPagingDisabled	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Paging-byte evidence moves to canonical session projection
distsql-request-builder-source-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	667	TestRequestBuilderTiKVClientReadTimeout	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Read-timeout evidence moves to canonical session projection
distsql-request-builder-source-wave	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	694	TestRequestBuilderMaxExecutionTime	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Execution-time evidence moves to canonical session projection
distsql-request-envelope-wave2	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	763	TestScanLimitConcurrency	-	rust/crates/tidb-distsql/src/request_builder.rs,rust/crates/tidb-distsql/tests/request_builder_source.rs	DAG concurrency policy is consumed by the canonical builder
distsql-request-envelope-wave2	distsql-request-builder-complete-envelope	-	pkg/distsql/request_builder_test.go	798	TestIndexLookUpPushDownScanConcurrency	-	rust/crates/tidb-distsql/tests/request_builder_source.rs	Index-lookup policy is consumed by the canonical builder
