# Checked successor transfer from the integrated pre-transport read-task owner to the RPC-ready contract; all statuses and open gaps remain unchanged.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	pkg/store/copr/coprocessor.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	Existing source evidence transfers unchanged; the successor adds only an RPC-ready wire contract and still claims no network transport.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	pkg/store/copr/coprocessor_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	Existing source evidence transfers unchanged; the successor adds only an RPC-ready wire contract and still claims no network transport.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	pkg/store/copr/ema.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	Existing source evidence transfers unchanged; the successor adds only an RPC-ready wire contract and still claims no network transport.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	pkg/store/copr/key_ranges.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	Existing source evidence transfers unchanged; the successor adds only an RPC-ready wire contract and still claims no network transport.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	pkg/store/copr/region_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/source/distsql-tikv-unary-rpc-contract.tsv	Existing source evidence transfers unchanged; the successor adds only an RPC-ready wire contract and still claims no network transport.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	-	pkg/store/copr/coprocessor_test.go	0	coprocessor_test.go	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-tikv-unary-rpc-contract.tsv	Existing test status and evidence transfer unchanged; every live TiKV, PD, retry, lock, and transport gap remains explicit.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	-	pkg/store/copr/coprocessor_test.go	43	TestEnsureMonotonicKeyRanges	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-tikv-unary-rpc-contract.tsv	Existing test status and evidence transfer unchanged; every live TiKV, PD, retry, lock, and transport gap remains explicit.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	-	pkg/store/copr/coprocessor_test.go	63	TestBuildTasksWithoutBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-tikv-unary-rpc-contract.tsv	Existing test status and evidence transfer unchanged; every live TiKV, PD, retry, lock, and transport gap remains explicit.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	-	pkg/store/copr/coprocessor_test.go	189	TestBuildTasksByBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-tikv-unary-rpc-contract.tsv	Existing test status and evidence transfer unchanged; every live TiKV, PD, retry, lock, and transport gap remains explicit.
distsql-cop-read-task-runtime	distsql-tikv-unary-rpc-contract	-	pkg/store/copr/coprocessor_test.go	387	TestSplitKeyRangesByLocationsWithoutBuckets	rust/difftests/corpus/coverage/evidence/tests/distsql-cop-read-task-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/distsql-tikv-unary-rpc-contract.tsv	Existing test status and evidence transfer unchanged; every live TiKV, PD, retry, lock, and transport gap remains explicit.
