# Atomic Campaign 14 ownership transfer into distsql-unary-forwarding-runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-unary-active-cancel-runtime	distsql-unary-forwarding-runtime	client-go::internal/locate/region_request.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 14 becomes the terminal owner while retaining the prior bounded evidence and making the adaptive route behavior explicit.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request3_test.go	71	TestRegionRequestToThreeStores	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request3_test.go	704	TestRegionRequestToThreeStores/TestSendReqWithReplicaSelector	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request3_test.go	1531	TestRegionRequestToThreeStores/TestLeaderStuck	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	78	TestRegionRequestToSingleStore	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	266	TestRegionRequestToSingleStore/TestOnSendFailedWithCloseKnownStoreThenUseNewOne	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-active-cancel-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	310	TestRegionRequestToSingleStore/TestOnSendFailedWithCancelled	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-active-cancel-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/active_cancellation_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-active-cancel-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	350	TestRegionRequestToSingleStore/TestNoReloadRegionWhenCtxCanceled	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-active-cancel-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/active_cancellation_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-active-cancel-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	798	TestRegionRequestToSingleStore/TestNoReloadRegionForGrpcWhenCtxCanceled	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-active-cancel-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-txnkv/tests/tikv_active_cancellation_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
distsql-unary-transport-retry-runtime	distsql-unary-forwarding-runtime	-	client-go::internal/locate/region_request_test.go	916	TestRegionRequestToSingleStore/TestCloseConnectionOnStoreNotMatch	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-transport-retry-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/distsql-unary-forwarding-runtime.tsv,rust/crates/tidb-distsql/tests/direct_unary_client_runtime_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
