# Consolidate the isolated string-fragment FIRST_ROW leaf under the Datum-backed aggregate runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
executor-first-row-wave	executor-first-row-live-aggregate-runtime	pkg/executor/aggfuncs/func_first_row.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-first-row-wave.tsv	rust/crates/tidb-exec/src/first_row.rs,rust/difftests/corpus/coverage/evidence/source/executor-first-row-live-aggregate-runtime.tsv	The Datum-backed state replaces the string-fragment leaf and adds direct fold plus source-compatible Int, Float64, and String spill seams; parser reachability, eager expression resolution, and unrepresented Go typed domains remain partial.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/func_first_row_test.go	27	TestMergePartialResult4FirstRow	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs,rust/crates/tidb-exec/tests/first_row_live_aggregate_source.rs	Merge and first-row semantics now execute over typed Datum values rather than string fragments.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/func_first_row_test.go	52	TestMemFirstRow	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	The first retained String payload charge is asserted while Go per-type allocation layouts and executor memory tracking remain partial.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	941	TestPartialResult4FirstRowDecimal	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Decimal remains partial because Rust does not reproduce Go MyDecimal's raw in-memory spill encoding.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	986	TestPartialResult4FirstRowInt	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	The exact Int spill fixtures now round-trip through Go's field order and native encoding.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1031	TestPartialResult4FirstRowTime	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Time remains partial until Datum owns a typed temporal representation.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1076	TestPartialResult4FirstRowString	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	The exact source long string, Go field order, native length, raw bytes, and reusable buffer growth now execute.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1122	TestPartialResult4FirstRowFloat32	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Float32 stays partial instead of being erased into the f64 Datum variant.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1167	TestPartialResult4FirstRowFloat64	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Raw Float64 payloads now round-trip through Go's field order and native encoding.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1212	TestPartialResult4FirstRowDuration	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Duration stays partial until Datum owns duration and FSP together.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1257	TestPartialResult4FirstRowJSON	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	JSON stays partial until Datum owns BinaryJSON type-code and payload.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1303	TestPartialResult4FirstRowEnum	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Enum stays partial until Datum owns name and numeric identity.
executor-first-row-wave	executor-first-row-live-aggregate-runtime	-	pkg/executor/aggfuncs/spill_helper_test.go	1349	TestPartialResult4FirstRowSet	rust/difftests/corpus/coverage/evidence/tests/executor-first-row-wave.tsv	rust/crates/tidb-exec/tests/first_row_source.rs	Set stays partial until Datum owns name and numeric identity.
