# Checked consolidation of ranking, distribution, bucket, and row-offset windows into one physical-partition runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/row_number.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	ROW_NUMBER moves from peer-only geometry to the canonical buffered physical partition.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/func_rank.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	RANK and DENSE_RANK retain one peer geometry now co-owned with physical row handles and cursor.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/func_percent_rank.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	PERCENT_RANK retains canonical peer-start and partition-length derivation.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/func_cume_dist.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/crates/tidb-exec/src/cume_dist.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	CUME_DIST retains canonical peer ends; the isolated state remains compatibility-only.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/func_ntile.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/crates/tidb-exec/src/ntile.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	Live NTILE arithmetic moves from an independent cursor to canonical partition positions; the five-field leaf remains compatibility-only.
executor-lead-lag-live-window-runtime	executor-window-complete-live-runtime	pkg/executor/aggfuncs/func_lead_lag.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-lead-lag-live-window-runtime.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/crates/tidb-exec/src/lead_lag.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-complete-live-runtime.tsv	Live LAG and LEAD move from their independent buffer to the canonical partition buffer and cursor; the leaf remains compatibility-only.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/row_number_test.go	0	row_number_test.go	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	File obligation moves with stable physical order and reset coverage.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/row_number_test.go	25	TestMemRowNumber	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	Physical positions execute under the consolidated owner while memory and sliding hooks stay partial.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_rank_test.go	0	func_rank_test.go	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	File obligation moves with tied and unique rank coverage.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_rank_test.go	25	TestMemRank	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	Canonical peer geometry remains executable while Go memory contracts stay partial.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_percent_rank_test.go	0	func_percent_rank_test.go	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	File obligation moves with tied and single-row denominator coverage.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_percent_rank_test.go	25	TestMemPercentRank	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	Peer-aware percentage behavior remains live while Go memory contracts stay partial.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_cume_dist_test.go	0	func_cume_dist_test.go	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/crates/tidb-exec/tests/cume_dist_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	File obligation moves with live and compatibility peer-end coverage.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_cume_dist_test.go	25	TestMemCumeDist	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/cume_dist_source.rs,rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	Peer-end behavior remains canonical while Go chunk memory stays partial.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_ntile_test.go	0	func_ntile_test.go	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/crates/tidb-exec/tests/ntile_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	File obligation moves with live physical buckets and compatibility state vectors.
executor-window-ranking-live-runtime	executor-window-complete-live-runtime	-	pkg/executor/aggfuncs/func_ntile_test.go	25	TestMemNtile	rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	rust/crates/tidb-exec/tests/ntile_source.rs,rust/crates/tidb-exec/tests/window_complete_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-complete-live-runtime.tsv	The five-field state stays explicit while live bucket arithmetic consolidates.
