# Consolidate isolated ranking/distribution leaves into the live window consumer.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
executor-window-rank-source-wave	executor-window-ranking-live-runtime	pkg/executor/aggfuncs/row_number.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	ROW_NUMBER now shares the canonical sorted-partition runtime consumed by Database::compute_window; Go allocator/sliding hooks remain partial.
executor-window-rank-source-wave	executor-window-ranking-live-runtime	pkg/executor/aggfuncs/func_rank.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	RANK and DENSE_RANK now derive from one peer-start and dense-ordinal geometry instead of local match-arm cursors.
executor-window-rank-source-wave	executor-window-ranking-live-runtime	pkg/executor/aggfuncs/func_percent_rank.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	PERCENT_RANK now derives from the same peer starts as live RANK.
executor-cume-dist-wave	executor-window-ranking-live-runtime	pkg/executor/aggfuncs/func_cume_dist.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-cume-dist-wave.tsv	rust/crates/tidb-exec/src/cume_dist.rs,rust/crates/tidb-exec/src/window.rs,rust/crates/tidb-exec/src/window/ranking_runtime.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	The isolated integer-key cursor is a compatibility facade; the live consumer derives CUME_DIST from canonical peer ends.
executor-ntile-wave	executor-window-ranking-live-runtime	pkg/executor/aggfuncs/func_ntile.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-ntile-wave.tsv	rust/crates/tidb-exec/src/ntile.rs,rust/crates/tidb-exec/src/window.rs,rust/difftests/corpus/coverage/evidence/source/executor-window-ranking-live-runtime.tsv	The five-field Ntile cursor is now the sole bucket arithmetic authority under Database::compute_window.
executor-window-rank-source-wave	executor-window-ranking-live-runtime	-	pkg/executor/aggfuncs/row_number_test.go	25	TestMemRowNumber	rust/difftests/corpus/coverage/evidence/tests/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/tests/window_ranking_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	Stable physical positions now execute through the live SQL window consumer; Go memory/sliding hooks remain partial.
executor-window-rank-source-wave	executor-window-ranking-live-runtime	-	pkg/executor/aggfuncs/func_rank_test.go	25	TestMemRank	rust/difftests/corpus/coverage/evidence/tests/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/tests/window_ranking_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	Gapped and dense ranks now execute through the canonical geometry and live consumer; Go memory assertions remain partial.
executor-window-rank-source-wave	executor-window-ranking-live-runtime	-	pkg/executor/aggfuncs/func_percent_rank_test.go	25	TestMemPercentRank	rust/difftests/corpus/coverage/evidence/tests/executor-window-rank-source-wave.tsv	rust/crates/tidb-exec/tests/window_ranking_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	Peer-aware percentages now execute through the live consumer; Go memory assertions remain partial.
executor-cume-dist-wave	executor-window-ranking-live-runtime	-	pkg/executor/aggfuncs/func_cume_dist_test.go	25	TestMemCumeDist	rust/difftests/corpus/coverage/evidence/tests/executor-cume-dist-wave.tsv	rust/crates/tidb-exec/tests/cume_dist_source.rs,rust/crates/tidb-exec/tests/window_ranking_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	The facade and live consumer share canonical peer ends; Go chunk memory accounting remains partial.
executor-ntile-wave	executor-window-ranking-live-runtime	-	pkg/executor/aggfuncs/func_ntile_test.go	25	TestMemNtile	rust/difftests/corpus/coverage/evidence/tests/executor-ntile-wave.tsv	rust/crates/tidb-exec/tests/ntile_source.rs,rust/crates/tidb-exec/tests/window_ranking_live_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-window-ranking-live-runtime.tsv	The source cursor state now executes below the live SQL consumer; prepared/deferred constants and Go memory/chunk contracts remain partial.
