# Atomically consolidate aggregate descriptor and field-name resolution ownership without composing their independent runtime paths.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
expression-aggregate-descriptor-authority	expression-aggregate-and-field-resolution	pkg/expression/aggregation/aggregation.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/expression-aggregate-descriptor-authority.tsv	rust/crates/tidb-planner/src/aggregation_descriptor.rs,rust/difftests/corpus/coverage/evidence/source/expression-aggregate-and-field-resolution.tsv	Aggregate kind and mode ownership moves unchanged; all existing partial seams remain explicit.
expression-aggregate-descriptor-authority	expression-aggregate-and-field-resolution	pkg/expression/aggregation/base_func.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/expression-aggregate-descriptor-authority.tsv	rust/crates/tidb-planner/src/aggregation_descriptor.rs,rust/crates/tidb-exec/src/result_field_resolver.rs,rust/difftests/corpus/coverage/evidence/source/expression-aggregate-and-field-resolution.tsv	Base descriptor and the existing COUNT result-field connection move unchanged without adding a synthetic consumer.
expression-aggregate-descriptor-authority	expression-aggregate-and-field-resolution	pkg/expression/aggregation/descriptor.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/expression-aggregate-descriptor-authority.tsv	rust/crates/tidb-planner/src/aggregation_descriptor.rs,rust/difftests/corpus/coverage/evidence/source/expression-aggregate-and-field-resolution.tsv	Aggregate descriptor hash identity moves unchanged with all uncovered methods retained as partial gaps.
expression-field-name-resolution	expression-aggregate-and-field-resolution	pkg/types/field_name.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/expression-field-name-resolution.tsv	rust/crates/tidb-datatype/src/field_name.rs,rust/difftests/corpus/coverage/evidence/source/expression-aggregate-and-field-resolution.tsv	FieldName metadata ownership moves unchanged; Go identity, aliasing, accounting, and case-folding gaps remain open.
expression-field-name-resolution	expression-aggregate-and-field-resolution	pkg/expression/simple_rewriter.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/expression-field-name-resolution.tsv	rust/crates/tidb-expr/src/field_name.rs,rust/difftests/corpus/coverage/evidence/source/expression-aggregate-and-field-resolution.tsv	FindFieldName resolution ownership moves unchanged; parser-backed rewriting remains outside the claim.
expression-aggregate-descriptor-authority	expression-aggregate-and-field-resolution	-	pkg/expression/aggregation/aggregation_test.go	620	TestAggFuncDesc	rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-descriptor-authority.tsv	rust/crates/tidb-planner/src/logical_aggregation.rs,rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-and-field-resolution.tsv	The covered descriptor mutation sequence moves unchanged.
expression-field-name-resolution	expression-aggregate-and-field-resolution	-	pkg/expression/simple_rewriter_test.go	66	TestFindFieldName	rust/difftests/corpus/coverage/evidence/tests/expression-field-name-resolution.tsv	rust/crates/tidb-expr/tests/field_name_resolution_source.rs,rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-and-field-resolution.tsv	The ten source table cases remain partial pending integration.
expression-field-name-resolution	expression-aggregate-and-field-resolution	-	pkg/expression/simple_rewriter_test.go	199	BenchmarkFindFieldName	rust/difftests/corpus/coverage/evidence/tests/expression-field-name-resolution.tsv	rust/crates/tidb-expr/tests/field_name_resolution_source.rs,rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-and-field-resolution.tsv	The benchmark shapes move unchanged while timing and allocation parity remain unclaimed.
expression-field-name-resolution	expression-aggregate-and-field-resolution	-	pkg/expression/simple_rewriter_test.go	0	simple_rewriter_test.go	rust/difftests/corpus/coverage/evidence/tests/expression-field-name-resolution.tsv	rust/crates/tidb-expr/tests/field_name_resolution_source.rs,rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-and-field-resolution.tsv	The complete test-file obligation moves unchanged.
expression-field-name-resolution	expression-aggregate-and-field-resolution	-	pkg/expression/simple_rewriter_test.go	165	TestFindFieldName/<generated>	rust/difftests/corpus/coverage/evidence/tests/expression-field-name-resolution.tsv	rust/crates/tidb-expr/tests/field_name_resolution_source.rs,rust/difftests/corpus/coverage/evidence/tests/expression-aggregate-and-field-resolution.tsv	The generated-case obligation moves unchanged.
