# Consolidate existing index-choice, table-scan, table-reader, property, and access-path evidence into one table/index scan-task authority.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/statistics/index.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-cardinality-live-index-choice.tsv	rust/crates/tidb-planner/src/access_path.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The equality estimator remains connected to the canonical index task branch.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/cardinality/row_count_index.go	-	-	-	-	rust/crates/tidb-planner/src/access_path.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	Source cardinality admission moves with the unified scan task.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/stats.go	-	-	-	-	rust/crates/tidb-planner/src/logical_data_source_task.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	Exact upstream row counts now reach both represented scan kinds.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/plan_cost_ver2.go	-	-	-	-	rust/crates/tidb-planner/src/logical_data_source_task.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The predecessor index cost behavior remains intact while unowned cross-kind costing rejects.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/find_best_task.go	-	-	-	-	rust/crates/tidb-planner/src/logical_data_source_task.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The datasource task authority now includes the bounded table branch.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/operator/logicalop/logical_datasource.go	-	-	-	-	rust/crates/tidb-planner/src/logical_data_source.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	One datasource API owns the represented table/index transition.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/operator/physicalop/task.go	-	-	-	-	rust/crates/tidb-planner/src/index_task.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The task sum gains the table Cop-to-root branch without changing index behavior.
planner-cardinality-live-index-choice	planner-tikv-table-read-task-runtime	pkg/planner/core/operator/physicalop/task_base.go	-	-	-	-	rust/crates/tidb-planner/src/index_task.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The missing table-only CopTask root conversion is now directly consumed.
planner-executor-tikv-scan-dag-lowering	planner-tikv-table-read-task-runtime	pkg/planner/core/operator/physicalop/physical_table_scan.go	-	-	-	-	rust/crates/tidb-planner/src/physical_table_scan.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	The existing DAG-ready table scan now has one source-admitted planner producer; index DAG ownership remains with the predecessor.
planner-physical-table-reader-wave	planner-tikv-table-read-task-runtime	pkg/planner/core/operator/physicalop/physical_table_reader.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-physical-table-reader-wave.tsv	rust/crates/tidb-planner/src/physical_table_reader.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	Metadata-only TableReader evidence becomes an owned physical-scan consumer.
planner-physical-property-wave	planner-tikv-table-read-task-runtime	pkg/planner/property/physical_property.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-physical-property-wave.tsv	rust/crates/tidb-planner/src/physical_property.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	Property classifications now gate a real datasource table/index consumer.
planner-column-length-wave	planner-tikv-table-read-task-runtime	pkg/planner/util/path.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/planner-column-length-wave.tsv	rust/crates/tidb-planner/src/access_path.rs,rust/difftests/corpus/coverage/evidence/source/planner-tikv-table-read-task-runtime.tsv	AccessPath source ownership moves to the real scan-task consumer while existing column-length behavior remains available.
