# Transfer isolated evidence into the connected DistSQL-to-server consumer.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
executor-result-field-adapter-source-wave	server-distsql-streaming-resultset	pkg/executor/adapter.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/executor-result-field-adapter-source-wave.tsv	rust/crates/tidb-exec/src/distsql_recordset.rs,rust/difftests/corpus/coverage/evidence/source/server-distsql-streaming-resultset.tsv	The connected RecordSet lifecycle becomes the sole adapter.go source owner while preserving the existing result-field resolver implementation as a prerequisite.
server-auth-session-attempt-wave	server-distsql-streaming-resultset	pkg/session/session.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-auth-session-attempt-wave.tsv	rust/crates/tidb-server/src/auth_session.rs,rust/crates/tidb-server/src/connection_resultset.rs,rust/difftests/corpus/coverage/evidence/source/server-distsql-streaming-resultset.tsv	The connected lifecycle becomes the sole session.go owner while retaining the prior pending-authentication boundary unchanged.
server-command-source-wave	server-distsql-streaming-resultset	pkg/server/conn.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-command-source-wave.tsv	rust/crates/tidb-server/src/error_response.rs,rust/crates/tidb-server/src/connection_resultset.rs,rust/difftests/corpus/coverage/evidence/source/server-distsql-streaming-resultset.tsv	The connected result-set response becomes the sole conn.go source owner while retaining the prior command, error, handshake, and bounded catalog execution leaves unchanged.
distsql-runtime-wave	server-distsql-streaming-resultset	-	pkg/distsql/distsql_test.go	42	TestSelectNormal	-	rust/crates/tidb-exec/tests/distsql_recordset_source.rs,rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	The runtime metadata leaf now feeds a decoded iterator consumed through bounded RecordSet and server framing; the old evidence file retains untransferred runtime tests.
distsql-runtime-wave	server-distsql-streaming-resultset	-	pkg/distsql/distsql_test.go	61	TestSelectMemTracker	-	rust/crates/tidb-exec/tests/distsql_recordset_source.rs,rust/crates/tidb-server/tests/resultset_writer_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	The connected consumer adds bounded raw-row batches and a caller-owned packet sink without claiming byte tracker accounting or bounded memory for the Vec convenience wrapper.
distsql-runtime-wave	server-distsql-streaming-resultset	-	pkg/distsql/distsql_test.go	73	TestSelectNormalChunkSize	-	rust/crates/tidb-exec/tests/distsql_recordset_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	The connected consumer executes repeated bounded pulls; adaptive Go chunk growth remains partial.
distsql-runtime-wave	server-distsql-streaming-resultset	-	pkg/distsql/distsql_test.go	82	TestSelectWithRuntimeStats	-	rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	A response-attached runtime sample crosses SelectResponseIter, raw-Datum RecordSet, and the connected server response without losing accumulated state; the old evidence file retains untransferred runtime tests.
distsql-select-response-consumption	server-distsql-streaming-resultset	-	pkg/distsql/select_result_test.go	288	TestSelectResultIter	-	rust/crates/tidb-exec/tests/distsql_recordset_source.rs,rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	The raw-response iterator remains the decoding authority and is now consumed by the connected lazy response path; the old evidence file retains untransferred decoding tests.
distsql-select-response-consumption	server-distsql-streaming-resultset	-	pkg/distsql/select_result_test.go	387	TestSelectResultIter/<generated>	rust/difftests/corpus/coverage/evidence/tests/distsql-select-response-consumption.tsv	rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	The no-intermediate-output and no-main-output vectors move into the connected server-owned test and preserve exact emitted row values and priority order; numeric channel indexes stop at the DistSqlRecordSet adapter boundary.
protocol-resultset-source-wave	server-distsql-streaming-resultset	-	pkg/server/conn_test.go	2145	TestOkEof	rust/difftests/corpus/coverage/evidence/tests/protocol-resultset-source-wave.tsv	rust/crates/tidb-protocol/tests/resultset_stream_source.rs,rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	Exact EOF payload authority is reused incrementally after Finish rather than through an all-row helper.
result-metadata-source-wave	server-distsql-streaming-resultset	-	pkg/server/driver_tidb_test.go	45	TestConvertColumnInfo	rust/difftests/corpus/coverage/evidence/tests/result-metadata-source-wave.tsv	rust/crates/tidb-server/tests/distsql_streaming_response_source.rs,rust/difftests/corpus/coverage/evidence/tests/server-distsql-streaming-resultset.tsv	Converted metadata is now consumed through the connected streaming server path while conversion vectors remain partial.
