# Consolidates seven scalar leaves and their owned tests into the canonical runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
stats-auto-analyze-window-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/analysis_job_factory.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/factory.rs	Factory source ownership moves to concrete job construction
stats-priority-calculator-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/calculator.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/calculator.rs	Calculator becomes canonical concrete-job scoring
stats-dynamic-partition-helpers-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/dynamic_partitioned_table_analysis_job.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/jobs/dynamic_partitioned.rs	Dynamic helpers move into the concrete job
stats-analysis-interval-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/interval.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/interval.rs	Interval conversion gains injected SQL execution
stats-non-partitioned-analysis-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/non_partitioned_table_analysis_job.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/jobs/non_partitioned.rs	Nonpartitioned SQL metadata moves into the concrete job
stats-ddl-queue-gate-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/queue_ddl_handler.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/ddl.rs	DDL gate expands into exact event mutation behavior
stats-static-partitioned-analysis-wave	stats-auto-analyze-complete-runtime	pkg/statistics/handle/autoanalyze/priorityqueue/static_partitioned_table_analysis_job.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_runtime/jobs/static_partitioned.rs	Static SQL metadata moves into the concrete job
stats-analysis-policy-wave	stats-auto-analyze-complete-runtime	-	pkg/statistics/handle/autoanalyze/priorityqueue/analysis_job_factory_test.go	31	TestCalculateChangePercentage	-	rust/crates/tidb-stats/tests/auto_analyze_complete_runtime_source.rs	Threshold test moves into the complete factory
stats-auto-analyze-window-wave	stats-auto-analyze-complete-runtime	-	pkg/statistics/handle/autoanalyze/priorityqueue/analysis_job_factory_test.go	489	TestAutoAnalysisTimeWindow	-	rust/crates/tidb-stats/tests/auto_analyze_complete_runtime_source.rs	Window test moves with the factory
stats-priority-calculator-wave	stats-auto-analyze-complete-runtime	-	pkg/statistics/handle/autoanalyze/priorityqueue/calculator_test.go	32	TestCalculateWeight	-	rust/crates/tidb-stats/tests/auto_analyze_complete_runtime_source.rs	Weight test moves to concrete jobs
stats-priority-calculator-wave	stats-auto-analyze-complete-runtime	-	pkg/statistics/handle/autoanalyze/priorityqueue/calculator_test.go	127	TestGetSpecialEvent	-	rust/crates/tidb-stats/tests/auto_analyze_complete_runtime_source.rs	Event test moves to concrete jobs
stats-dynamic-partition-helpers-wave	stats-auto-analyze-complete-runtime	-	pkg/statistics/handle/autoanalyze/priorityqueue/dynamic_partitioned_table_analysis_job_test.go	31	TestAnalyzeDynamicPartitionedTable	-	rust/crates/tidb-stats/tests/auto_analyze_complete_runtime_source.rs	Dynamic table execution gains a concrete job
