# Consolidate prior CMSketch and estimator evidence into one live owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
stats-cmsketch-family	stats-cmsketch-estimator-live-family	pkg/statistics/cmsketch.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/stats-cmsketch-family.tsv	rust/crates/tidb-stats/src/cmsketch.rs,rust/difftests/corpus/coverage/evidence/source/stats-cmsketch-estimator-live-family.tsv	The former byte leaf now includes exact integer Datum queries and original seeded accuracy suites; noninteger/histogram/handle boundaries remain partial.
stats-global-singleton	stats-cmsketch-estimator-live-family	pkg/statistics/estimate.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/stats-global-singleton.tsv,rust/difftests/corpus/coverage/evidence/transfers/stats-ndv-gee-wave.tsv	rust/crates/tidb-stats/src/estimate.rs,rust/difftests/corpus/coverage/evidence/source/stats-cmsketch-estimator-live-family.tsv	The estimator and earlier GEE transfer now terminate at one owner with runtime-selectable exact intest assertions.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	107	TestCMSketch	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact seeded Zipf accuracy replaces the former smoke fixture.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	151	TestCMSketchCoding	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact coding vector is retained under the consolidated owner.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	167	TestCMSketchTopN	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact million-row Zipf/TopN accuracy replaces the former smoke fixture.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	259	TestCMSketchTopNUniqueData	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	All one million integer queries now cross the source encoding path.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	280	TestCMSketchCodingTopN	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Nil/empty and TopN coding behavior is consolidated.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	312	TestSortTopnMeta	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Ranking evidence moves unchanged.
stats-cmsketch-family	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	324	TestTopNScale	rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-family.tsv	rust/crates/tidb-stats/tests/cmsketch_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Scaling evidence moves unchanged.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/cmsketch_test.go	205	TestEstimateNDVByGEE	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv,rust/difftests/corpus/coverage/evidence/transfers/stats-ndv-gee-wave.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact runtime assertion semantics close the prior GEE gap.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/estimate_test.go	60	TestEstimateGlobalSingletonBySketches	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	The complete table moves to the consolidated owner.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/estimate_test.go	136	TestEstimateGlobalSingletonBySketches/NegativeContributionIsClamped	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Raw hashes are replaced by the exact integer sample encoding path.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/estimate_test.go	154	TestEstimateGlobalSingletonBySketches/NilEntry	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact assertion payloads close the nil-entry gap.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/estimate_test.go	169	TestEstimateGlobalSingletonBySketches/EmptyInput	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact assertion payload closes the empty-input gap.
stats-global-singleton	stats-cmsketch-estimator-live-family	-	pkg/statistics/estimate_test.go	175	TestEstimateGlobalSingletonBySketches/MismatchedLengths	rust/difftests/corpus/coverage/evidence/tests/stats-global-singleton.tsv	rust/crates/tidb-stats/tests/estimate_source.rs,rust/difftests/corpus/coverage/evidence/tests/stats-cmsketch-estimator-live-family.tsv	Exact assertion payload closes the mismatched-length gap.
