# Consolidates heap job and queue-gate fragments into the canonical live owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	pkg/statistics/handle/autoanalyze/priorityqueue/heap.go	-	-	-	-	rust/crates/tidb-stats/src/priority_heap.rs	Heap source ownership moves to the live queue
stats-auto-analyze-job-wave	stats-priority-heap-live-analysis-job	pkg/statistics/handle/autoanalyze/priorityqueue/job.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_job.rs,rust/crates/tidb-stats/src/priority_heap.rs	Job metadata now feeds live identity
stats-queue-gate-wave	stats-priority-heap-live-analysis-job	pkg/statistics/handle/autoanalyze/priorityqueue/queue.go	-	-	-	-	rust/crates/tidb-stats/src/auto_analyze_queue.rs	Queue gate is absorbed by the live lifecycle
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	86	TestHeap_AddOrUpdate	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	121	TestHeapEmptyPop	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	127	TestHeap_Delete	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	162	TestHeap_Update	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	186	TestHeap_Get	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	207	TestHeap_GetByKey	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	228	TestHeap_List	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	250	TestHeap_ListKeys	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	273	TestHeap_Peek	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	296	TestHeap_IsEmpty	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-priority-heap-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/heap_test.go	309	TestHeap_Len	-	rust/crates/tidb-stats/tests/priority_heap_source.rs	Heap test ownership moves without loss
stats-auto-analyze-job-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/job_test.go	24	TestStringer	-	rust/crates/tidb-stats/tests/auto_analyze_job_source.rs	Job test ownership moves
stats-auto-analyze-job-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/job_test.go	146	TestIsDynamicPartitionedTableAnalysisJob	-	rust/crates/tidb-stats/tests/auto_analyze_job_source.rs	Job kind test ownership moves
stats-queue-gate-wave	stats-priority-heap-live-analysis-job	-	pkg/statistics/handle/autoanalyze/priorityqueue/queue_test.go	36	TestCallAPIBeforeInitialize	-	rust/crates/tidb-stats/tests/priority_heap_live_source.rs	Gate test expands to the live API
