# Campaign 17 transfers into txnkv-batchcommands-tonic-stream-runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-region-cache-maintenance-runtime	txnkv-batchcommands-tonic-stream-runtime	client-go::internal/client/client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	client-go::internal/client/client_async.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	client-go::internal/client/client_batch.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	client-go::internal/client/conn_batch.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-batchcommands-tonic-stream-runtime	client-go::internal/client/conn_pool.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/channel_pool.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	client-go::tikvrpc/tikvrpc.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/wire.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	-	client-go::internal/client/client_async_test.go	38	TestSendRequestAsyncBasic	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/tests/batch_tonic_stream_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	-	client-go::internal/client/client_async_test.go	239	TestSendRequestAsyncTimeout	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/tests/batch_inflight_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	-	client-go::internal/client/client_async_test.go	354	TestSendRequestAsyncAndCloseClientOnHandle	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/tests/batch_tonic_stream_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
txnkv-batchcommands-wire-inflight-core	txnkv-batchcommands-tonic-stream-runtime	-	client-go::internal/client/client_async_test.go	406	TestSendRequestAsyncAndCloseClientBeforeSend	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-wire-inflight-core.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-batchcommands-tonic-stream-runtime.tsv,rust/crates/tidb-txnkv/tests/batch_inflight_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds the local tonic BatchCommands stream lifecycle; production TLS, metrics, and live TiKV remain PARTIAL.
