# Consolidate existing read, merge, and prefix authorities into the mutable transaction consumer.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-transaction-read-driver	txnkv-mutable-transaction-runtime	pkg/store/driver/txn/batch_getter.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-transaction-read-driver.tsv	rust/crates/tidb-txnkv/src/batch_getter.rs,rust/crates/tidb-txnkv/src/driver/read.rs,rust/crates/tidb-txnkv/src/driver/mem_buffer.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	The canonical merge gains its missing source-shaped mutable buffer consumer without duplicating the algorithm.
txnkv-transaction-read-driver	txnkv-mutable-transaction-runtime	pkg/store/driver/txn/scanner.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-transaction-read-driver.tsv	rust/crates/tidb-txnkv/src/driver/read.rs,rust/crates/tidb-txnkv/src/driver/mem_buffer.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	Scanner-facing iterator semantics move with the sole connected transaction consumer while concrete client conversion stays open.
txnkv-transaction-read-driver	txnkv-mutable-transaction-runtime	pkg/store/driver/txn/snapshot.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-transaction-read-driver.tsv	rust/crates/tidb-txnkv/src/driver/read.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	Snapshot reads and interception remain one authority beside the new mutable buffer.
txnkv-transaction-read-driver	txnkv-mutable-transaction-runtime	pkg/store/driver/txn/txn_driver.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-transaction-read-driver.tsv	rust/crates/tidb-txnkv/src/driver/read.rs,rust/crates/tidb-txnkv/src/driver/mem_buffer.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	The read driver becomes the canonical mutable transaction consumer instead of retaining an injected test-only buffer seam.
txnkv-transaction-read-driver	txnkv-mutable-transaction-runtime	pkg/store/driver/txn/union_iter.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-transaction-read-driver.tsv	rust/crates/tidb-txnkv/src/union_iter.rs,rust/crates/tidb-txnkv/src/driver/read.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	The complete merge remains unchanged and gains MemBufferDriver iterators as its live upstream.
txnkv-prefix-transaction-ops	txnkv-mutable-transaction-runtime	pkg/util/prefix_helper.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/txnkv-prefix-transaction-ops.tsv	rust/crates/tidb-txnkv/src/prefix_ops.rs,rust/crates/tidb-txnkv/src/driver/read.rs,rust/crates/tidb-txnkv/src/driver/mem_buffer.rs,rust/difftests/corpus/coverage/evidence/source/txnkv-mutable-transaction-runtime.tsv	The covered prefix utility remains exact and now terminates at the canonical mutable driver.
txnkv-buffer-batch-getter	txnkv-mutable-transaction-runtime	-	pkg/store/driver/txn/batch_getter_test.go	0	batch_getter_test.go	rust/difftests/corpus/coverage/evidence/tests/txnkv-buffer-batch-getter.tsv	rust/crates/tidb-txnkv/tests/batch_getter_source.rs,rust/difftests/corpus/coverage/evidence/tests/txnkv-mutable-transaction-runtime.tsv	The complete covered batch test file moves beside its mutable consumer.
txnkv-buffer-batch-getter	txnkv-mutable-transaction-runtime	-	pkg/store/driver/txn/batch_getter_test.go	25	TestBufferBatchGetter	rust/difftests/corpus/coverage/evidence/tests/txnkv-buffer-batch-getter.tsv	rust/crates/tidb-txnkv/tests/batch_getter_source.rs,rust/difftests/corpus/coverage/evidence/tests/txnkv-mutable-transaction-runtime.tsv	The exact covered merge vector moves without status loss.
txnkv-union-iterator	txnkv-mutable-transaction-runtime	-	pkg/store/driver/txn/union_iter_test.go	0	union_iter_test.go	rust/difftests/corpus/coverage/evidence/tests/txnkv-union-iterator.tsv	rust/crates/tidb-txnkv/tests/union_iter_source.rs,rust/difftests/corpus/coverage/evidence/tests/txnkv-mutable-transaction-runtime.tsv	The complete covered iterator file moves beside the canonical mutable scan path.
txnkv-union-iterator	txnkv-mutable-transaction-runtime	-	pkg/store/driver/txn/union_iter_test.go	36	TestUnionIter	rust/difftests/corpus/coverage/evidence/tests/txnkv-union-iterator.tsv	rust/crates/tidb-txnkv/tests/union_iter_source.rs,rust/difftests/corpus/coverage/evidence/tests/txnkv-mutable-transaction-runtime.tsv	All covered forward and reverse tables move without status loss.
