# Campaign 17 transfers into txnkv-pd-prev-region-wire-runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-pd-bucket-batch-wire	txnkv-pd-prev-region-wire-runtime	client-go::internal/locate/pd_codec.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-pd-bucket-batch-wire.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/src/pd_loader.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-pd-prev-region-wire-runtime	pd-client::client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-pd-prev-region-wire-runtime	pd-client::clients/router/client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-pd-prev-region-wire-runtime	pd-client::clients/router/request.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	1394	TestRegionCache/TestListRegionIDsInCache	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_end_key_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	1412	TestRegionCache/TestScanRegions	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_scan_residual_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	1471	TestRegionCache/TestBatchLoadRegions	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_batch_locate_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	1677	TestRegionCache/TestContainsByEnd	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_end_key_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	2834	TestRegionCache/TestBatchScanRegionsMerger	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_batch_locate_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	2906	TestRegionCache/TestBatchScanRegions	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_batch_locate_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	2910	TestRegionCache/TestBatchScanRegionsFallback	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/pd_region_loader_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
txnkv-region-cache-batch-bucket-core	txnkv-pd-prev-region-wire-runtime	-	client-go::internal/locate/region_cache_test.go	3097	TestRegionCache/TestScanRegionsWithGaps	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-pd-prev-region-wire-runtime.tsv,rust/crates/tidb-txnkv/tests/region_batch_locate_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds local GetPrevRegion wire, failover, and projection coverage; live PD and router behavior remain PARTIAL.
