# Campaign 18 transfers into unlocked cache, concrete BatchCommands, DistSQL integration, and live topology owners.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-shared-cache-maintenance-runtime	txnkv-unlocked-store-refresh-runtime	client-go::internal/locate/region_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-unlocked-store-refresh-runtime.tsv,rust/crates/tidb-txnkv/src/region/background.rs	Campaign 18 transfers this exact qualified source to txnkv-unlocked-store-refresh-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-shared-cache-maintenance-runtime	txnkv-unlocked-store-refresh-runtime	client-go::internal/locate/store_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-unlocked-store-refresh-runtime.tsv,rust/crates/tidb-txnkv/src/region/cache.rs	Campaign 18 transfers this exact qualified source to txnkv-unlocked-store-refresh-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-batchcommands-tonic-stream-runtime	txnkv-batch-coprocessor-dispatch-runtime	client-go::internal/client/client_async.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-batch-coprocessor-dispatch-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/batch/coprocessor.rs	Campaign 18 transfers this exact qualified source to txnkv-batch-coprocessor-dispatch-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-async-region-request-runtime	distsql-batchcommands-region-request-runtime	client-go::internal/locate/accessmode.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-async-region-request-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-batchcommands-region-request-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 18 transfers this exact qualified source to distsql-batchcommands-region-request-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-shared-cache-maintenance-runtime	distsql-batchcommands-region-request-runtime	client-go::internal/locate/region_request.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-batchcommands-region-request-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 18 transfers this exact qualified source to distsql-batchcommands-region-request-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-shared-cache-maintenance-runtime	distsql-batchcommands-region-request-runtime	client-go::internal/locate/replica_selector.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/distsql-batchcommands-region-request-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 18 transfers this exact qualified source to distsql-batchcommands-region-request-runtime at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-batchcommands-tonic-stream-runtime	txnkv-live-pd-batch-topology	client-go::internal/client/client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-live-pd-batch-topology.tsv,rust/difftests/transaction-tests/tests/realtikv_replica_read.rs	Campaign 18 transfers this exact qualified source to txnkv-live-pd-batch-topology at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-batchcommands-tonic-stream-runtime	txnkv-live-pd-batch-topology	client-go::internal/client/client_batch.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-live-pd-batch-topology.tsv,rust/difftests/transaction-tests/tests/realtikv_replica_read.rs	Campaign 18 transfers this exact qualified source to txnkv-live-pd-batch-topology at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-batchcommands-tonic-stream-runtime	txnkv-live-pd-batch-topology	client-go::internal/client/conn_batch.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-live-pd-batch-topology.tsv,rust/difftests/transaction-tests/tests/realtikv_replica_read.rs	Campaign 18 transfers this exact qualified source to txnkv-live-pd-batch-topology at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
txnkv-batchcommands-tonic-stream-runtime	txnkv-live-pd-batch-topology	client-go::internal/client/conn_pool.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-live-pd-batch-topology.tsv,rust/difftests/transaction-tests/tests/realtikv_replica_read.rs	Campaign 18 transfers this exact qualified source to txnkv-live-pd-batch-topology at conservative PARTIAL status while preserving the predecessor evidence chain and explicit remaining boundaries.
