# Campaign 13 transfer into the command-neutral unary/shared-read seam.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	pkg/store/copr/coprocessor.go	pkg/store/copr/coprocessor_test.go	0	coprocessor_test.go	-	rust/difftests/corpus/coverage/evidence/source/txnkv-read-runtime-seams.tsv,rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs,rust/crates/tidb-distsql/tests/direct_unary_delegation_source.rs	The Campaign 13 seam becomes the terminal owner of the Cop source and exact test file without upgrading any row beyond PARTIAL.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	43	TestEnsureMonotonicKeyRanges	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	63	TestBuildTasksWithoutBuckets	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	189	TestBuildTasksByBuckets	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	387	TestSplitKeyRangesByLocationsWithoutBuckets	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	473	TestSplitKeyRanges	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	544	TestRebuild	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves conservatively into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	607	TestBuildPagingTasks	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	639	TestBuildCopTaskDoesNotCancelBoCtx	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact cancellation-adjacent test ownership moves conservatively into the shared seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	674	TestBuildPagingTasksDisablePagingForSmallLimit	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	710	TestBuildCopTasksWithPagingSizeBytes	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged into the shared read-runtime seam.
distsql-unary-transport-retry-runtime	txnkv-read-runtime-seams	-	pkg/store/copr/coprocessor_test.go	786	TestCalculateRetry	-	rust/difftests/corpus/coverage/evidence/tests/txnkv-read-runtime-seams.tsv	Exact test ownership moves unchanged without creating a second retry authority.
