# Campaign 16 transfers into the canonical region-cache maintenance owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
distsql-unary-active-cancel-runtime	txnkv-region-cache-maintenance-runtime	client-go::internal/client/client.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/region/background.rs	The canonical maintenance successor retains the earlier unary cancellation authority while adding one joined cache and store worker; broader live client behavior remains partial.
txnkv-tonic-failure-generation-runtime	txnkv-region-cache-maintenance-runtime	client-go::internal/client/conn_pool.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-tonic-failure-generation-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/rpc/channel_pool.rs	The terminal owner retains channel generations and composes them with canonical maintenance without claiming live reconnect parity.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	client-go::internal/locate/region_cache.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/region/cache.rs,rust/crates/tidb-txnkv/src/region/background.rs	Campaign 16 succeeds the cache owner with request-shaped residuals and bounded maintenance while preserving all earlier cache evidence as partial.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	client-go::internal/locate/store_cache.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/region/cache.rs	The terminal store owner adds in-place metadata refresh and tombstone expiry while retaining earlier health state and explicit live-probe gaps.
txnkv-pd-bucket-batch-wire	txnkv-region-cache-maintenance-runtime	pd-client::client.go	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-bucket-batch-wire.tsv	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	The request-shaped query successor retains bucket and scan wire evidence and adds explicit routing policy; GetPrevRegion and live PD remain open.
txnkv-pd-bucket-batch-wire	txnkv-region-cache-maintenance-runtime	pd-client::clients/router/client.go	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-bucket-batch-wire.tsv	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	The terminal owner preserves router topology projection without claiming an unimplemented QueryRegion stream.
txnkv-pd-bucket-batch-wire	txnkv-region-cache-maintenance-runtime	pd-client::clients/router/request.go	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-pd-bucket-batch-wire.tsv	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	The terminal owner preserves exact key, ID, and scan requests while leaving GetPrevRegion, pooling, and live routing open.
pd-member-refresh-runtime	txnkv-region-cache-maintenance-runtime	pd-client::opt/option.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/pd-client/source/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-pd-client/src/client.rs	Explicit query routing succeeds the bounded deadline option evidence without claiming the broader PD option surface.
txnkv-tonic-failure-generation-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/client/client_test.go	68	TestConn	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/tikv_tonic_coprocessor_source.rs	Channel reuse and generation evidence move to the maintenance successor; multi-connection and live batch behavior remain partial.
txnkv-tonic-failure-generation-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/client/client_test.go	103	TestGetConnAfterClose	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/tikv_tonic_coprocessor_source.rs	Generation-safe recreation and terminal close evidence move without claiming tonic shutdown observation.
txnkv-region-topology-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1028	TestRegionCache/TestSendFailInvalidateRegionsInSameStore	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-topology-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_topology_observation_source.rs	The terminal cache owner retains topology invalidation and adds cache-issued stale-observation rejection.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	527	TestRegionCache/TestNeedExpireRegionAfterTTL	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_region_gc_source.rs	TTL evidence moves into its bounded-GC consumer while production timing remains partial.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1412	TestRegionCache/TestScanRegions	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_scan_residual_source.rs	The exact residual scan shapes now have source-shaped coverage; live PD remains open.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1584	TestRegionCache/TestPeersLenChange	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_topology_observation_source.rs	The prior topology row moves to the cache-issued observation guard while production dispatch wiring remains partial.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1618	TestRegionCache/TestPeersLenChangedByWitness	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_topology_observation_source.rs	Witness-vector evidence moves to the guarded observation owner while live transport feedback remains open.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2111	TestRegionCache/TestLoadRegionsWithLeader	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_scan_residual_source.rs	Leader-only retry evidence moves to the request-shaped scan successor without claiming live router redirection.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2490	TestRegionCache/TestSplitThenLocateRegionNeedDelayedReload	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_region_gc_source.rs	Delayed reload evidence moves into the bounded maintenance owner while the original live split sequence remains partial.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	3147	TestRegionCache/TestIssue1401	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	The successor adds pointer-stable metadata refresh and tombstone expiry; live liveness recovery remains open.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	3317	TestRegionCache/TestRegionCacheValidAfterLoading	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_cache_validity_source.rs	Direct versus publishing validity evidence moves to its terminal owner while the full eleven-API matrix remains partial.
txnkv-region-cache-batch-bucket-core	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	3468	TestRegionCache/TestLocateRegionByIDFromPD	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_cache_validity_source.rs	ID lookup publication evidence moves to the request-shaped cache owner without claiming live PD.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2291	TestRegionCache/TestSlowScoreStat	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/replica_health_scoring_source.rs	Slow-score evidence is retained by the terminal store-maintenance owner; production sampling remains open.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2317	TestRegionCache/TestHealthCheckWithAddressChange	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	Address-change evidence moves to pointer-stable refresh while a live health RPC remains open.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2357	TestRegionCache/TestTiKVSideSlowScore	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/replica_health_scoring_source.rs	TiKV slow-score evidence is retained while live feedback transport stays open.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2397	TestRegionCache/TestStoreHealthStatus	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/replica_health_scoring_source.rs	Tri-state health evidence is retained by the terminal store owner while the production loop remains open.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	2430	TestRegionCache/TestRegionCacheHandleHealthStatus	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	Health-state consumption moves to the canonical cache owner without claiming live callback sequencing.
txnkv-replica-health-scoring-runtime	txnkv-region-cache-maintenance-runtime	-	client-go::internal/locate/region_request3_test.go	1634	TestRegionRequestToThreeStores/TestTiKVRecoveredFromDown	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-region-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	Recovery evidence moves to canonical in-place maintenance while the real three-store lifecycle remains partial.
