# Atomic Campaign 14 ownership transfer into txnkv-replica-health-scoring-runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	client-go::internal/locate/replica_selector.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/src/region/replica_selector.rs	Campaign 14 becomes the terminal owner while retaining the prior bounded evidence and making the adaptive route behavior explicit.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	client-go::internal/locate/slow_score.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/src/region/request_selector.rs	Campaign 14 becomes the terminal owner while retaining the prior bounded evidence and making the adaptive route behavior explicit.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	client-go::internal/locate/store_cache.go	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/src/region/store_state.rs	Campaign 14 becomes the terminal owner while retaining the prior bounded evidence and making the adaptive route behavior explicit.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	726	TestRegionCache/TestUpdateLeader	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	746	TestRegionCache/TestUpdateLeader2	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	800	TestRegionCache/TestUpdateLeader3	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	842	TestRegionCache/TestSendFailedButLeaderNotChange	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	1053	TestRegionCache/TestSendFailedInMultipleNode	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	1518	TestRegionCache/TestFollowerReadFallback	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	1549	TestRegionCache/TestMixedReadFallback	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_cache_test.go	1691	TestRegionCache/TestSwitchPeerWhenNoLeader	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	130	TestRegionRequestToThreeStores/TestSwitchPeerWhenNoLeader	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	159	TestRegionRequestToThreeStores/TestSwitchPeerWhenNoLeaderErrorWithNewLeaderInfo	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	377	TestRegionRequestToThreeStores/TestLearnerReplicaSelector	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/replica_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	434	TestRegionRequestToThreeStores/TestReplicaSelector	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	1059	TestRegionRequestToThreeStores/TestAccessFollowerAfter1TiKVDown	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
txnkv-replica-read-policy-runtime	txnkv-replica-health-scoring-runtime	-	client-go::internal/locate/region_request3_test.go	1232	TestRegionRequestToThreeStores/TestReplicaReadFallbackToLeaderRegionError	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-read-policy-runtime.tsv	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-replica-health-scoring-runtime.tsv,rust/crates/tidb-txnkv/tests/request_selector_source.rs	Exact test ownership moves atomically; status remains conservative and the prior source-shaped evidence is retained.
