# Campaign 17 transfers into txnkv-shared-cache-maintenance-runtime.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	client-go::internal/locate/region_cache.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/read_runtime.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-async-region-request-runtime	txnkv-shared-cache-maintenance-runtime	client-go::internal/locate/region_request.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-async-region-request-runtime	txnkv-shared-cache-maintenance-runtime	client-go::internal/locate/replica_selector.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	client-go::internal/locate/store_cache.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/client-go/source/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/src/read_runtime.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	100	TestBackgroundRunner	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_runner_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	403	TestRegionCache/TestResolveStateTransition	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	527	TestRegionCache/TestNeedExpireRegionAfterTTL	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_region_gc_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1028	TestRegionCache/TestSendFailInvalidateRegionsInSameStore	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_topology_observation_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1297	TestRegionCache/TestReconnect	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/background_store_maintenance_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
txnkv-region-cache-maintenance-runtime	txnkv-shared-cache-maintenance-runtime	-	client-go::internal/locate/region_cache_test.go	1584	TestRegionCache/TestPeersLenChange	-	rust/difftests/corpus/coverage/evidence/client-go/tests/txnkv-shared-cache-maintenance-runtime.tsv,rust/crates/tidb-txnkv/tests/region_topology_observation_source.rs	Campaign 17 succeeds the current terminal owner, retains its bounded evidence, and adds one shared cache authority with guarded production failure feedback; live PD/TiKV recovery remains PARTIAL.
